event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0178,3,0,"[2.78, 1.02, 0.14]","[1.6226, -0.2111, 0.0041]","[0.0, 36.01047, 37.67118]","[1.54108, -0.37388, -0.03902]","[-0.2142, 0.107, 0.01164]","[0.1404, 1.4124, 18.6518]","[-0.3411, -1.9555, -6.2844]","[0.0788, 1.0413, 5.2841]","[0.04939, 1.25573, 18.38435]"
0179,3,0,"[2.86, 1.78, 0.03]","[1.7706, -0.3246, 0.0002]","[0.0, 176.8328, 210.408]","[1.86988, -0.39463, -0.00614]","[-0.61556, 0.45565, 0.00716]","[0.2228, 0.753, 81.0089]","[-0.1197, 0.078, 19.3227]","[0.1579, 1.7707, 23.66]","[0.00796, 0.40476, 80.28046]"
0180,3,0,"[1.21, 0.61, 0.01]","[2.8741, -0.6359, 0.0001]","[0.0, 160.2595, 183.8749]","[-0.83956, 0.46249, 0.00552]","[-1.43722, 0.26805, 0.00371]","[0.3383, 1.2156, 107.1527]","[0.0897, -0.7173, -25.0235]","[-0.2862, -1.051, -54.5975]","[0.00329, 0.20752, 102.4722]"
0181,3,0,"[3.49, 5.44, 0.05]","[2.8035, -3.6423, 0.0002]","[0.0, 148.5374, 213.593]","[-0.27065, 0.61804, 0.00096]","[-1.50948, 0.4363, 0.00242]","[0.3837, 0.7344, 68.813]","[0.1464, -0.2857, -5.1574]","[-0.0408, -0.5133, -5.3328]","[0.00304, 0.04158, 65.8651]"
0182,3,0,"[1.08, 0.54, 0.06]","[1.8727, -1.1991, 0.0149]","[0.0, 22.2334, 25.07229]","[0.36208, 0.06195, -0.0014]","[-1.30191, 0.56446, 0.0389]","[0.2245, 0.7954, 9.6459]","[0.2354, 0.886, 2.7992]","[0.1095, -0.3015, -0.1085]","[0.09881, 0.61169, 9.30218]"
0183,3,0,"[1.8, 2.74, 0.04]","[-1.2653, 3.2351, 0.0007]","[329.6108, 0.0, 356.1575]","[-0.43187, 0.9998, -0.00947]","[-0.65569, 2.31762, -0.01133]","[1.0919, 0.3273, 42.7354]","[0.3743, 0.2497, -2.1627]","[-0.8116, -0.2848, -14.432]","[0.03865, 0.00118, 37.43955]"
0184,3,0,"[0.95, 2.72, 0.05]","[-0.7577, 2.0179, 0.0013]","[35.61519, 0.0, 41.78345]","[0.04485, -0.38854, 0.00196]","[-0.28503, 0.70975, -0.00729]","[0.6894, 0.2486, 28.8391]","[1.1531, 0.2043, 4.3017]","[0.2941, 0.1652, 1.8471]","[0.29454, 0.02183, 27.79041]"
0185,2,0,"[1.98, 2.54]","[2.5002, -1.1714]","[0.0, 95.38072]","[1.26528, -0.66579]","[-0.71942, -0.36067]","[0.3274, 0.7286]","[-0.1444, -0.4552]","[0.1776, -0.8486]","[0.0046, 0.03427]"
0186,3,0,"[2.63, 0.63, 0.19]","[4.8308, -0.6102, 0.0057]","[0.0, 442.8314, 452.4021]","[2.92249, -0.40963, -0.02881]","[0.5973, -0.09629, -0.00548]","[0.47, 1.3718, 14.3586]","[-0.1708, -1.1461, -1.3993]","[-0.2116, -0.6808, 1.3668]","[0.00069, 0.14011, 11.99417]"
0187,5,0,"[1.05, 0.63, 0.81, 1.06, 0.01]","[3.1785, -1.0053, -5.2504, 6.2064, 0.0006]","[0.0, 424.8483, 216.2208, 195.1758, 469.1518]","[-1.7397, 0.91635, -2.04273, -0.84214, 0.01088]","[-3.09784, 0.08444, 0.88149, 2.41319, 0.00261]","[0.4328, 1.3868, 0.7377, 0.5147, 46.312]","[0.0659, -1.0668, -0.356, 0.0953, -16.1612]","[-0.0526, -0.0787, 0.3641, 0.2556, -6.3827]","[0.00101, 0.08462, 0.00595, 0.00214, 42.55963]"
