event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0178,0.9276097,1.941707,0.1300697,0.8406653,-0.147851,0,False,-1.0,0,0.169,1200132000000.0,0.0,0.0,0.1024011,-49.63907,7.492072,1,0.169,63293880000.0,0.0,0.0,0.2886999,51.9457,0.2811104,2,0.169,2.88,0.0,0.0,0.01610543,65.97073,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0179,0.8343249,2.505091,0.1833571,0.7042588,-0.4485999,0,False,-1.0,0,0.481,22592090000000.0,0.0,0.0,0.4411039,-164.3761,3.216745,1,0.481,189844800000.0,0.0,0.0,0.4837898,-170.8821,0.1732448,2,0.481,1.74,0.0,0.0,0.05827904,-2.181195,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0180,1.185871,2.145531,0.2212527,-1.874998,-1.593393,0,True,0.2841122,2,0.974,18515390000000.0,-42.43903,-29.9233,0.3276538,86.92058,5.598405,3,0.974,130035200000.0,-42.43903,-29.9233,0.284945,28.52037,0.08781127,4,0.974,11.97,0.0,0.0,0.08071522,79.41594,0.0,0,0.974,2300168000000.0,0.0,0.0,0.1779876,106.3571,15.77887,1,0.974,52430090000.0,0.0,0.0,0.5826544,121.2457,0.06989696
0181,1.237055,2.139124,0.7697225,-0.06658933,-0.2447651,0,False,-1.0,0,1.239,7804815000000.0,0.0,0.0,0.2690386,94.2798,7.563966,1,1.239,91309300000.0,0.0,0.0,0.3817939,86.88814,0.1106882,2,1.239,4.23,0.0,0.0,0.08338828,72.07296,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0182,0.8360402,1.890346,0.6403066,0.03365313,-0.409851,0,False,-1.0,0,0.213,2096977000000.0,0.0,0.0,0.2597603,141.5675,6.336732,1,0.213,88123160000.0,0.0,0.0,0.1140281,164.6798,0.5081048,2,0.213,9.11,0.0,0.0,0.1102309,-67.45371,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0183,1.955882,3.300038,0.3911275,1.222137,3.048472,0,True,0.2853162,2,0.674,35816280000000.0,26.68813,74.23049,0.1843073,-20.94415,3.13118,3,0.674,174718500000.0,26.68813,74.23049,0.2137777,-35.10583,0.3530476,4,0.674,2.72,0.0,0.0,0.0334437,-41.50669,0.0,0,0.674,5464542000000.0,0.0,0.0,0.1375673,-103.3116,21.62129,1,0.674,76503780000.0,0.0,0.0,0.3912594,-80.92597,0.1126367
0184,0.5383906,1.085089,0.3754944,-0.08279726,0.2810032,0,False,-1.0,0,0.754,1059526000000.0,0.0,0.0,0.03549583,84.5898,7.751827,1,0.754,42558950000.0,0.0,0.0,0.1838936,112.5536,0.1242329,2,0.754,6.2,0.0,0.0,0.1058899,144.4527,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0185,1.019173,1.964109,0.468525,0.2362446,-0.002678769,0,False,-1.0,0,0.917,4870633000000.0,0.0,0.0,0.43122,-46.10006,8.804403,1,0.917,92524330000.0,0.0,0.0,0.1124658,-14.96799,0.05640269,2,0.917,5.57,0.0,0.0,0.05085912,141.9121,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0186,1.654322,3.40354,0.1263168,0.8819618,0.3233908,0,False,-1.0,0,0.952,19911140000000.0,0.0,0.0,0.3784684,69.17729,5.995552,1,0.952,149525600000.0,0.0,0.0,0.7122676,25.51636,0.218148,2,0.952,9.16,0.0,0.0,0.1693382,-28.53871,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0187,2.372862,5.58364,1.0,-4.924906,2.490451,0,True,0.2745951,2,0.972,68538490000000.0,-34.40306,17.38499,0.2328941,-95.92833,2.971048,3,0.972,259898500000.0,-34.40306,17.38499,0.08107316,-121.3257,0.07043313,4,0.972,11.61,0.0,0.0,0.0676655,-141.3919,0.0,0,0.972,17784060000000.0,0.0,0.0,0.4853654,-83.51512,7.36075,1,0.972,109219500000.0,0.0,0.0,0.2825806,-85.04748,0.1568353
