event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0017,1.9979,4.305224,0.3598108,2.609966,2.679715,0,True,0.2805001,2,0.445,70958700000000.0,100.6259,97.86507,0.5434597,-81.31414,4.420099,3,0.445,386369800000.0,100.6259,97.86507,0.4498723,-116.175,1.0291,4,0.445,2.61,0.0,0.0,0.06412241,132.8321,0.0,0,0.445,22455690000000.0,0.0,0.0,0.2538473,24.06577,10.28497,1,0.445,155079200000.0,0.0,0.0,0.2058209,-24.74415,0.4053794
0018,0.08426437,0.182879,1.0,-0.2187974,-0.1147258,0,True,0.3069674,2,0.37,471063300000.0,-3.747638,-2.122049,0.03241463,-162.2679,9.696176,3,0.37,13272900000.0,-3.747638,-2.122049,0.1045512,-167.841,0.3313343,4,0.37,3.06,0.0,0.0,0.1417801,16.25154,0.0,0,0.37,39456950000.0,0.0,0.0,0.1596304,-42.04354,51.97822,1,0.37,139542800.0,0.0,0.0,0.05119282,-13.87846,0.2551823
0019,1.273116,2.314216,0.2200071,-1.043054,-1.722796,0,True,0.303966,2,0.262,20854410000000.0,-63.82782,-113.5857,0.1537067,165.284,5.560862,3,0.262,157315700000.0,-63.82782,-113.5857,0.2621145,219.9751,0.5149253,4,0.262,2.34,0.0,0.0,0.02124157,153.619,0.0,0,0.262,1753718000000.0,0.0,0.0,0.2598136,45.82299,26.33985,1,0.262,61653480000.0,0.0,0.0,0.3419933,99.32336,0.3773158
0020,11.66565,0.0,0.0,-25.31444,-1.723815,0,True,0.2751589,2,0.406,837429100000000.0,-172.0149,-23.59638,0.3594806,-45.84552,4.559504,3,0.406,1201056000000.0,-172.0149,-23.59638,0.181376,-87.30016,1.902117,4,0.406,1.75,0.0,0.0,0.04543606,91.23475,0.0,0,0.406,348556000000000.0,0.0,0.0,0.4371574,155.2263,7.76152,1,0.406,510910600000.0,0.0,0.0,0.1368384,188.1437,1.161102
0021,0.9056613,0.0,0.0,2.878496,-1.637918,0,True,0.3106028,2,0.33,30024290000000.0,4.733234,-3.592155,0.3466488,-0.004761162,4.762674,3,0.33,223466100000.0,4.733234,-3.592155,0.3498614,49.44183,0.5601621,4,0.33,2.9,0.0,0.0,0.1604443,-69.24321,0.0,0,0.33,1339951000000.0,0.0,0.0,0.2752542,-127.9488,19.34176,1,0.33,39460820000.0,0.0,0.0,0.08593889,-75.60628,0.3570841
0022,1.322857,2.221569,0.1252295,0.8520738,-0.1309791,0,True,0.2799512,2,0.542,17402970000000.0,30.27105,-11.70141,0.167638,65.02218,5.370868,3,0.542,141463700000.0,30.27105,-11.70141,0.02008796,128.4806,0.3329864,4,0.542,1.32,0.0,0.0,0.02987401,-154.9279,0.0,0,0.542,7165714000000.0,0.0,0.0,0.1809277,-146.399,15.43969,1,0.542,122456900000.0,0.0,0.0,0.3940985,-103.438,0.281489
0023,0.6437561,0.0,0.0,0.7833633,0.1268844,0,False,-1.0,0,0.418,930665500000.0,0.0,0.0,0.5356473,-83.11795,11.50353,1,0.418,49815320000.0,0.0,0.0,0.6208854,-82.95868,0.5743271,2,0.418,4.06,0.0,0.0,0.1693049,98.6192,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0024,0.8729185,2.028664,0.1948853,-0.5179798,0.3374517,0,False,-1.0,0,0.529,12255050000000.0,0.0,0.0,0.1486584,23.02158,6.785171,1,0.529,173103700000.0,0.0,0.0,0.4654925,-6.458103,0.4214266,2,0.529,2.02,0.0,0.0,0.07595604,-121.8241,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0025,3.38986,6.947174,0.7765939,0.8476564,-6.06372,0,True,0.2864361,2,0.372,79226310000000.0,-1.04147,-36.06828,0.2684076,-21.20173,5.70081,3,0.372,378398800000.0,-1.04147,-36.06828,0.3366634,-13.25948,1.405925,4,0.372,2.26,0.0,0.0,0.122041,-34.24965,0.0,0,0.372,15272230000000.0,0.0,0.0,0.3859386,-106.5302,17.62213,1,0.372,176820200000.0,0.0,0.0,0.4078332,-118.6002,0.5089765
0026,0.03802159,0.0,0.0,0.0311334,-0.05104651,0,False,-1.0,0,1.037,225394100000.0,0.0,0.0,0.3068851,27.367,7.38725,1,1.037,1688507000.0,0.0,0.0,0.3721611,54.81068,0.1072928,2,1.037,4.74,0.0,0.0,0.1441738,38.89489,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0027,0.2247808,0.0,0.0,-0.6883893,0.4116473,0,True,0.3103317,2,0.711,13627710000000.0,-10.76092,7.110425,0.375721,-128.7867,3.222904,3,0.711,149933100000.0,-10.76092,7.110425,0.06300939,-106.2548,0.1974878,4,0.711,1.58,0.0,0.0,0.04185563,179.6173,0.0,0,0.711,305141500000.0,0.0,0.0,0.1315484,-149.4138,30.32837,1,0.711,6399409000.0,0.0,0.0,0.3779248,-133.6353,0.1275204
0028,0.5355408,1.066415,0.3508638,0.07143922,0.1762893,0,False,-1.0,0,0.748,1468476000000.0,0.0,0.0,0.02582435,-97.13013,10.41642,1,0.748,57646600000.0,0.0,0.0,0.1432417,-137.1439,0.09721088,2,0.748,2.02,0.0,0.0,0.04977725,136.6445,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0029,0.08260438,0.1754747,0.2079733,-0.06462901,0.2615628,0,True,0.2851914,2,1.464,1151925000000.0,-1.47826,4.410947,0.3296464,44.15338,3.696373,3,1.464,27692920000.0,-1.47826,4.410947,0.527576,55.42415,0.0318297,4,1.464,3.85,0.0,0.0,0.03639674,-22.69761,0.0,0,1.464,130041800000.0,0.0,0.0,0.1677808,123.8644,18.2122,1,1.464,1262353000.0,0.0,0.0,0.406592,133.9103,0.05744292
0030,0.3553933,0.8969641,1.0,0.03316673,-0.01524819,0,False,-1.0,0,0.631,1313966000000.0,0.0,0.0,0.06783768,-23.72552,6.885418,1,0.631,38975320000.0,0.0,0.0,0.5160028,-31.71684,0.1352482,2,0.631,2.84,0.0,0.0,0.1113709,-138.5425,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
