event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,0,"[0.37, 1.34, 0.0]","[-0.4818, 3.1442, 0.0001]","[80.6381, 0.0, 116.1248]","[0.28649, -0.75276, 0.00201]","[-0.4217, 0.77778, -0.00327]","[0.5066, 0.2259, 99.5152]","[0.447, 0.0165, 17.77]","[1.4557, 0.5301, 11.6819]","[0.25712, 0.0316, 98.90792]"
0002,3,0,"[1.07, 0.5, 0.15]","[2.2288, -0.448, 0.063]","[0.0, 649.8402, 651.4424]","[1.02598, -0.01741, -0.00683]","[-4.03704, 0.44135, 0.15693]","[0.3232, 1.9486, 5.9949]","[0.08, 1.7597, 3.0138]","[0.0548, 0.1895, 0.0185]","[0.00544, 1.18318, 5.02242]"
0003,3,0,"[1.42, 1.4, 0.0]","[2.9373, -3.2413, 0.0]","[0.0, 141.5827, 233.5667]","[0.45162, 0.28534, -0.0]","[-1.58242, 0.71481, 0.00064]","[0.3912, 0.6263, 375.6327]","[0.1711, 0.4171, -1.9811]","[0.0302, -0.5237, -30.5433]","[0.00222, 0.02754, 373.0178]"
0004,3,0,"[1.03, 0.41, 0.0]","[2.4629, -0.7461, 0.0001]","[0.0, 55.02427, 86.98885]","[0.55867, -0.07844, -0.00034]","[-0.38763, 0.32374, 0.00115]","[0.2703, 0.5348, 129.0936]","[-0.028, 1.0652, 23.014]","[0.3544, 0.6497, -19.2163]","[0.01067, 0.11862, 127.7597]"
0005,3,0,"[0.81, 2.1, 0.0]","[-0.7695, 2.4142, 0.0]","[52.50118, 0.0, 76.3289]","[0.25876, -0.72842, 0.00114]","[-0.37785, 0.67508, -0.00193]","[0.5621, 0.2428, 155.4091]","[0.3686, 0.0022, 39.1599]","[1.1642, 0.3989, 30.3862]","[0.16852, 0.01534, 153.5373]"
0006,5,0,"[1.03, 0.58, 1.04, 0.58, 0.0]","[3.2177, -4.0124, 6.439, -3.8519, 0.0]","[0.0, 10.37427, 8.642887, 10.3698, 64.75647]","[0.11742, -0.60531, -0.09907, 0.52325, -2e-05]","[-0.76116, 0.18765, 0.6759, 0.33472, 9e-05]","[0.2872, 0.334, 0.3103, 0.3034, 524.9131]","[0.4318, -0.7382, 0.5509, -0.4068, 20.4245]","[0.1041, 0.3844, 0.1299, -0.7612, 39.9337]","[0.02867, 0.06489, 0.04003, 0.05251, 523.7223]"
0007,3,0,"[0.51, 1.14, 0.01]","[-0.9642, 2.2125, 0.0005]","[113.25, 0.0, 135.8579]","[-0.64401, 1.88674, -0.01085]","[-0.22896, -0.1436, -0.00202]","[0.7814, 0.2901, 49.6377]","[-0.7272, -0.2269, -14.4284]","[-0.7457, -0.0219, -6.9039]","[0.23243, 0.01441, 47.88791]"
0008,3,0,"[1.17, 0.53, 0.01]","[2.8464, -0.5868, 0.0001]","[0.0, 60.82854, 82.44008]","[0.01461, 0.01738, 4e-05]","[-0.67961, 0.2954, 0.00285]","[0.3025, 0.7121, 90.5526]","[0.3676, 1.3176, 33.0556]","[-0.0092, -0.2261, 1.3188]","[0.03957, 0.33174, 89.49794]"
0009,3,0,"[1.23, 0.5, 0.0]","[3.5215, -0.581, 0.0001]","[0.0, 44.87319, 81.18018]","[0.21484, -0.28716, -0.00112]","[-0.47804, 0.09841, 0.00042]","[0.3165, 0.6759, 136.0612]","[0.2002, -1.0686, -43.4292]","[0.3783, 0.8273, 31.7996]","[0.02492, 0.30359, 134.9326]"
0010,3,0,"[1.17, 0.59, 0.11]","[3.1088, -0.6625, 0.0605]","[0.0, 41.94683, 42.7541]","[-0.39741, 0.11015, 0.0249]","[0.32383, -0.07947, -0.01776]","[0.2885, 1.3005, 5.5125]","[-0.027, -0.321, -0.8355]","[0.4287, 1.2234, 1.7737]","[0.06417, 0.91399, 4.94113]"
0011,3,0,"[1.07, 0.39, 0.02]","[3.6501, -0.3976, 0.0006]","[0.0, 17.01089, 22.55556]","[-0.00513, -0.00151, -2e-05]","[-0.30488, 0.14968, 0.00296]","[0.2491, 0.8695, 49.2664]","[0.5377, 1.591, 23.2588]","[-0.0266, 0.0291, 0.5124]","[0.13917, 0.72807, 48.94969]"
0012,3,0,"[0.31, 1.06, 0.04]","[-1.1148, 6.044, 0.0093]","[4.300571, 0.0, 4.702229]","[0.00887, -0.06191, 0.00116]","[-0.05345, 0.14532, -0.00315]","[1.0539, 0.4702, 12.6951]","[0.9447, 0.2873, 3.1249]","[0.0862, 0.1807, 4.4664]","[0.22278, 0.02658, 10.8194]"
0013,3,0,"[0.75, 2.75, 0.02]","[-0.6397, 3.0486, 0.0003]","[48.71994, 0.0, 71.05296]","[0.39425, -0.77907, 0.00401]","[-0.13024, 0.21061, -0.00122]","[0.5511, 0.2348, 64.6379]","[-1.0486, -0.4294, -14.2605]","[0.8157, 0.2704, 8.5613]","[0.33839, 0.0647, 64.1322]"
0014,3,0,"[1.2, 1.17, 0.01]","[2.1932, -2.0964, 0.0002]","[0.0, 21.90804, 31.84257]","[-0.18802, 0.12917, 0.00084]","[-0.3464, 0.14419, 0.00107]","[0.2876, 0.536, 67.3885]","[0.1346, 0.0959, -2.8737]","[-0.183, -0.8265, -13.7138]","[0.02091, 0.15803, 66.21743]"
