event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.7158528,1.587066,0.1532516,-0.2846507,0.3467843,0,False,-1.0,0,0.616,9172297000000.0,0.0,0.0,0.09895097,-33.33162,2.952784,1,0.616,133829200000.0,0.0,0.0,0.2559391,-11.61236,0.1317878,2,0.616,2.0,0.0,0.0,0.1030127,39.62127,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,1.98618,4.598334,0.2009822,0.2821813,-1.486352,0,False,-1.0,0,0.52,67285780000000.0,0.0,0.0,0.3842824,121.9622,4.457909,1,0.52,392748600000.0,0.0,0.0,0.3155614,126.4309,0.4771912,2,0.52,1.72,0.0,0.0,0.04473756,-99.08964,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,1.282606,2.303245,0.9062166,0.02678677,-0.3174108,0,False,-1.0,0,1.023,14134310000000.0,0.0,0.0,0.3834029,92.59629,5.232674,1,1.023,99839460000.0,0.0,0.0,0.3059895,107.0757,0.06099596,2,1.023,4.48,0.0,0.0,0.09120041,143.0535,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.4307299,0.9549648,0.302951,0.1020581,-0.1756575,0,False,-1.0,0,1.51,1902735000000.0,0.0,0.0,0.3572492,2.525727,4.412338,1,1.51,58330860000.0,0.0,0.0,0.4584008,-36.94137,0.06747874,2,1.51,6.73,0.0,0.0,0.06748353,1.047566,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.6022093,1.443324,0.3187388,-0.231869,0.2653256,0,False,-1.0,0,0.557,1442029000000.0,0.0,0.0,0.289736,116.1997,13.89319,1,0.557,64227190000.0,0.0,0.0,0.3708391,185.4683,0.07741705,2,0.557,1.79,0.0,0.0,0.06961889,18.03778,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,0.6944447,1.453282,1.0,0.006929909,-0.0517942,0,False,-1.0,0,0.787,3696433000000.0,0.0,0.0,0.3234792,-145.7191,3.406603,1,0.787,67465980000.0,0.0,0.0,0.127513,-113.9337,0.06238645,2,0.787,8.64,0.0,0.0,0.1393228,109.0786,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,1.187412,2.532197,0.4357685,0.574616,0.08472571,0,False,-1.0,0,0.5,5894694000000.0,0.0,0.0,0.3827388,173.9283,9.622946,1,0.5,105355700000.0,0.0,0.0,0.222943,108.0008,0.1764039,2,0.5,3.6,0.0,0.0,0.06090463,136.976,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,0.3865062,0.9750151,0.2061531,-0.01345852,-0.2393968,0,False,-1.0,0,1.259,2653690000000.0,0.0,0.0,0.1068045,147.3507,4.884505,1,1.259,58261040000.0,0.0,0.0,0.3404265,184.4483,0.06941704,2,1.259,3.4,0.0,0.0,0.01842221,115.3908,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.522522,0.7644002,0.1649742,0.1214613,-0.05235959,0,False,-1.0,0,1.727,3158808000000.0,0.0,0.0,0.1162136,-112.7254,3.854506,1,1.727,60545780000.0,0.0,0.0,0.4359463,-106.1316,0.05925074,2,1.727,4.16,0.0,0.0,0.1300461,76.10126,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.3789806,0.648283,0.2131027,-0.1657444,0.1432037,0,False,-1.0,0,1.018,2029791000000.0,0.0,0.0,0.2655917,89.9455,6.719779,1,1.018,69653240000.0,0.0,0.0,0.2243739,115.3653,0.1850217,2,1.018,1.87,0.0,0.0,0.1012765,-149.1543,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
