event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,0,"[1.45, 0.5, 0.0]","[1.5191, -0.1775, 0.0]","[0.0, 149.5328, 185.0467]","[1.12943, -0.26308, -0.00085]","[0.24139, -0.03349, -6e-05]","[0.1651, 0.5822, 564.2964]","[-0.1771, -2.3131, -68.0759]","[-0.0864, -0.6774, 46.9984]","[0.00266, 0.18601, 562.8685]"
0002,3,0,"[1.1, 0.38, 0.18]","[2.0648, -0.4086, 0.0499]","[0.0, 162.1075, 163.0181]","[-0.23144, -0.07848, -0.02026]","[2.28186, -0.34293, -0.10654]","[0.2653, 1.8285, 6.4712]","[0.2223, 1.5342, 2.8603]","[-0.0775, -0.8832, -1.3103]","[0.02025, 1.26082, 5.69241]"
0003,3,0,"[1.15, 0.43, 0.02]","[1.6947, -0.302, 0.001]","[0.0, 226.9377, 235.9869]","[-0.25122, 0.00463, 0.00063]","[-1.07195, 0.1854, 0.00927]","[0.2129, 1.3147, 34.4458]","[0.1677, 1.8466, 9.7051]","[-0.0366, -0.021, -0.606]","[0.00334, 0.3891, 31.84253]"
0004,3,0,"[1.65, 2.07, 0.07]","[3.5889, -2.8088, 0.0044]","[0.0, 14.89758, 23.27571]","[-1.10111, 0.8332, 0.01391]","[-0.97932, 0.48357, 0.00958]","[0.3334, 0.589, 16.5888]","[-0.0234, -0.3637, -1.9694]","[-0.4065, -0.6266, -3.6458]","[0.14127, 0.36261, 16.04239]"
0005,3,0,"[2.41, 0.07, 0.56]","[1.6923, 0.0005, -0.1975]","[0.0, 98.37977, 88.09833]","[0.16147, 0.00179, 0.04887]","[-0.83668, 0.0079, 0.23027]","[0.1614, 47.7486, 0.915]","[0.3331, 10.7421, 2.1292]","[0.0366, -11.4442, -0.7321]","[0.0185, 47.3202, 0.69252]"
0006,3,0,"[1.25, 0.57, 0.11]","[3.9944, -0.3071, 0.0118]","[0.0, 24.50137, 25.5104]","[0.11612, -0.05508, -0.00724]","[-0.48501, 0.13275, 0.01828]","[0.3133, 1.6508, 12.09]","[0.4135, 1.3259, 4.4577]","[0.2242, 1.3864, 4.2579]","[0.0922, 1.24333, 11.39104]"
0007,5,0,"[1.72, 0.69, 1.27, 1.59, 0.0]","[-1.4331, 2.6842, 2.7711, -1.7464, 0.0]","[3.420121, 0.0, 0.104709, 2.553165, 16.82936]","[-0.03402, 0.34084, -0.33476, 0.03167, -1e-05]","[-0.29621, 0.0146, 0.04388, 0.30705, -6e-05]","[0.443, 0.2046, 0.202, 0.4186, 167.3637]","[0.9913, -0.5101, -0.4916, 0.9458, 51.3307]","[-0.1591, 0.0004, 0.1852, -0.1269, -24.0804]","[0.24841, 0.04579, 0.04436, 0.22661, 166.5719]"
0008,3,0,"[2.43, 0.32, 0.01]","[2.3433, -0.2527, 0.0003]","[0.0, 433.4218, 446.3053]","[0.74459, 0.00436, 7e-05]","[1.73152, -0.24457, -0.00879]","[0.2901, 1.5975, 58.2309]","[0.2146, 2.0764, 15.6038]","[-0.1763, 0.058, 8.0337]","[0.00073, 0.29477, 54.62913]"
0009,3,0,"[1.77, 1.09, 0.05]","[1.9875, -0.4315, 0.0016]","[0.0, 164.789, 177.5978]","[0.62313, -0.15551, -0.00714]","[0.26026, -0.05441, -0.00234]","[0.2485, 0.8339, 25.9671]","[-0.17, -1.1534, -3.9745]","[-0.181, -1.0073, -1.2094]","[0.01065, 0.39366, 25.06585]"
0010,3,0,"[1.02, 0.16, 0.01]","[1.4239, -0.241, 0.0013]","[0.0, 32.10955, 34.60576]","[-0.14785, 0.03439, 0.00179]","[0.17468, -0.04442, -0.00233]","[0.1187, 0.8259, 29.6151]","[0.0501, 0.4787, 2.1141]","[0.2681, 1.9877, 5.5001]","[0.0207, 0.67262, 29.34459]"
