event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.5391844,1.41938,0.1168264,0.6001944,0.1114258,0,False,-1.0,0,0.883,2078402000000.0,0.0,0.0,0.3771689,27.54022,7.721961,1,0.883,69468240000.0,0.0,0.0,0.2608334,34.9972,0.03398005,2,0.883,2.27,0.0,0.0,0.01606639,-12.17774,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,1.30478,2.629242,0.1978919,0.1526565,0.9528613,0,False,-1.0,0,0.412,12339770000000.0,0.0,0.0,0.4501176,87.40844,6.640588,1,0.412,164754700000.0,0.0,0.0,0.02496578,125.4894,0.3912881,2,0.412,2.24,0.0,0.0,0.134862,-34.44761,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.5956677,1.28312,0.1781865,0.3327879,-0.7750281,0,True,0.2779232,2,1.194,7052960000000.0,19.73739,-17.67402,0.3771963,41.18823,2.877569,3,1.194,122223400000.0,19.73739,-17.67402,0.3380922,67.50814,0.08599841,4,1.194,2.01,0.0,0.0,0.07694219,-115.308,0.0,0,1.194,1847461000000.0,0.0,0.0,0.1573049,-120.811,19.31262,1,1.194,66379130000.0,0.0,0.0,0.173715,-103.9194,0.06928589
0004,1.242794,2.425198,0.7826257,-0.2242404,-0.170664,0,False,-1.0,0,0.16,4121213000000.0,0.0,0.0,0.3028044,-58.54533,8.197937,1,0.16,108867900000.0,0.0,0.0,0.1789118,-69.01382,0.5906414,2,0.16,2.42,0.0,0.0,0.08859762,36.65781,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.5021587,1.07288,0.1167341,-0.01655715,-0.4637211,0,False,-1.0,0,0.719,3710572000000.0,0.0,0.0,0.1747249,-11.22655,3.822895,1,0.719,88198210000.0,0.0,0.0,0.3412274,-49.59867,0.101981,2,0.719,1.45,0.0,0.0,0.1006241,147.5094,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,0.2855573,0.6410493,0.07687613,0.08112942,-0.2067007,0,False,-1.0,0,0.774,767523400000.0,0.0,0.0,0.4290548,38.92855,9.512656,1,0.774,36539830000.0,0.0,0.0,0.3568271,20.91519,0.1203141,2,0.774,1.85,0.0,0.0,0.04026363,-167.2489,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.2482894,0.6762329,1.0,0.001241784,0.008167039,0,False,-1.0,0,0.906,862635100000.0,0.0,0.0,0.3611776,162.2745,4.246151,1,0.906,29503530000.0,0.0,0.0,0.4320625,166.6137,0.06482082,2,0.906,2.94,0.0,0.0,0.07236872,-166.688,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,1.09531,2.110185,0.1078239,-1.773529,-2.364293,0,True,0.2815785,2,1.086,79545350000000.0,-3.578967,-7.386256,0.5732301,51.56268,4.450582,3,1.086,344200400000.0,-3.578967,-7.386256,0.3075719,53.11833,0.2151456,4,1.086,2.44,0.0,0.0,0.04602683,9.300034,0.0,0,1.086,3750513000000.0,0.0,0.0,0.5675908,-125.7289,16.33638,1,1.086,77043820000.0,0.0,0.0,0.4141836,-126.129,0.06790678
0009,0.3396284,0.8398156,0.2171175,0.2803756,0.1145599,0,False,-1.0,0,1.402,7578408000000.0,0.0,0.0,0.3108458,-153.6641,6.717216,1,1.402,98752490000.0,0.0,0.0,0.3394294,-148.1326,0.08292272,2,1.402,1.93,0.0,0.0,0.03254021,-62.24386,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.1250774,0.2849859,0.1692281,-0.0812343,0.09927451,0,False,-1.0,0,1.599,1082109000000.0,0.0,0.0,0.1321393,130.9539,4.252566,1,1.599,21295920000.0,0.0,0.0,0.2388073,135.6033,0.0319549,2,1.599,2.07,0.0,0.0,0.01046196,152.7945,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
