event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
2117,3,2,"[49.21, 56.43, 0.26]","[2.7909, -3.7103, 0.0022]","[0.0, 5.965474, 7.545982]","[0.61453, -0.29473, -0.0042]","[-0.39756, 0.20268, 0.00301]","[0.3207, 0.659, 22.4594]","[-0.1159, -0.2152, 0.5709]","[0.2995, 0.5827, -0.129]","[0.00606, 0.04138, 19.06928]"
2119,3,1,"[21.98, 6.68, 0.28]","[3.2955, -0.2732, 0.0004]","[0.0, 120.6955, 132.0723]","[-0.15504, 0.2408, 0.0058]","[1.87702, -0.3478, -0.00999]","[0.3866, 1.3364, 52.5847]","[0.2287, 0.5447, 9.4957]","[0.1433, 1.8647, 14.6576]","[0.00805, 0.39318, 50.30414]"
4915,3,1,"[10.94, 3.12, 0.13]","[1.9105, -0.4006, 0.0002]","[0.0, 88.00322, 104.6311]","[-0.59733, 0.13983, 0.00196]","[-0.97254, 0.31513, 0.00465]","[0.2445, 0.7055, 81.993]","[0.1055, 1.0281, 18.5239]","[-0.1902, -1.2353, -10.5327]","[0.01325, 0.34326, 81.16106]"
0001,3,2,"[17.86, 8.38, 0.02]","[3.6164, -0.6676, 0.0]","[0.0, 23.87757, 46.56884]","[0.37894, -0.06458, -0.0001]","[-0.36599, 0.28172, 0.00035]","[0.2778, 0.498, 404.7964]","[0.1038, 1.1962, 71.0517]","[0.4841, 0.5648, 24.5028]","[0.01619, 0.10892, 402.9487]"
4916,2,1,"[15.59, 5.36]","[2.4859, -0.2552]","[0.0, 329.6312]","[0.99669, 0.10413]","[-1.63682, 0.40754]","[0.3332, 0.9417]","[0.1986, 1.5545]","[-0.0541, -1.2271]","[0.0026, 0.19951]"
0002,3,2,"[50.94, 11.37, 0.74]","[2.4144, -0.4981, 0.0003]","[0.0, 64.03641, 81.40828]","[0.57135, -0.2256, -0.00319]","[-0.08117, 0.03909, 0.00047]","[0.259, 0.6874, 65.4341]","[-0.3333, -1.3372, -18.1699]","[0.1541, 0.5633, 2.7484]","[0.03332, 0.35194, 64.56507]"
2121,3,1,"[4.62, 37.8, 0.59]","[-0.7228, 4.428, 0.0038]","[13.2178, 0.0, 15.63067]","[0.03297, -0.12988, 0.00152]","[-0.07046, 0.13888, -0.00262]","[0.8714, 0.3897, 18.2228]","[0.8987, 0.1536, 1.5325]","[0.7696, 0.3507, 5.6519]","[0.43045, 0.07057, 17.30754]"
4917,3,1,"[8.43, 5.26, 0.05]","[-0.8956, 2.2803, 0.0022]","[3.486381, 0.0, 4.33133]","[-0.04286, 0.11168, -0.00121]","[-0.01847, -0.0166, -0.00021]","[0.6811, 0.2972, 23.0376]","[-0.5629, -0.2302, -6.1322]","[-0.9495, -0.0484, -0.6906]","[0.35217, 0.05883, 22.39165]"
0003,3,2,"[43.52, 99.93, 0.91]","[-0.4946, 2.4551, 0.0017]","[23.28186, 0.0, 27.60126]","[-0.24726, 0.61574, -0.00838]","[0.03774, 0.02064, 0.00104]","[0.7524, 0.2146, 26.0615]","[-1.3817, -0.4575, -6.3761]","[0.4173, -0.0115, 2.4065]","[0.52213, 0.06062, 25.55597]"
0004,3,2,"[13.42, 29.76, 1.36]","[-0.6012, 2.6159, 0.0165]","[48.78563, 0.0, 50.68755]","[0.07292, -0.16114, 0.00884]","[-0.23418, 0.89342, -0.02967]","[1.2589, 0.3153, 9.7782]","[1.0785, 0.2684, 3.322]","[0.7531, 0.1207, 2.3501]","[0.71419, 0.03838, 8.77772]"
4568,3,2,"[48.03, 18.17, 0.28]","[2.9338, -2.6695, 0.0002]","[0.0, 20.71707, 30.31727]","[0.79397, -0.37497, -0.00205]","[-0.23233, -0.03961, 0.00061]","[0.3957, 0.6018, 84.9702]","[-0.156, -0.6294, -18.5924]","[0.0062, -0.3701, 28.335]","[0.016, 0.06492, 82.81209]"
0005,2,2,"[13.0, 31.97]","[-1.8677, 7.8765]","[157.3998, 0.0]","[-1.02655, 1.98864]","[0.30155, 0.32519]","[0.6977, 0.4806]","[-0.6491, -0.3771]","[0.4534, -0.0248]","[0.02058, 0.00373]"
4918,3,1,"[16.83, 7.17, 0.1]","[2.0053, -0.3567, 0.0001]","[0.0, 86.24824, 103.7073]","[0.51053, -0.0838, -0.00129]","[-1.0013, 0.32141, 0.00376]","[0.2676, 0.9081, 130.4639]","[0.1887, 1.5633, 44.1417]","[0.0456, 0.6069, 41.6634]","[0.01895, 0.4356, 128.9742]"
4919,2,1,"[26.87, 6.89]","[1.9762, -0.4032]","[0.0, 217.3225]","[-0.46098, 0.19753]","[-1.52368, 0.39375]","[0.2613, 0.6057]","[0.1184, 0.9677]","[-0.16, -1.3034]","[0.0026, 0.11077]"
4920,3,1,"[19.4, 2.87, 2.45]","[1.8444, -0.3258, 0.2481]","[0.0, 101.438, 101.4388]","[0.78175, -0.04769, -0.04109]","[-0.21559, 0.02257, 0.01954]","[0.2084, 5.6899, 6.8048]","[-0.2502, -3.2987, -3.5147]","[0.1476, 3.7661, 4.1608]","[0.01108, 4.90844, 5.98942]"
4921,3,1,"[22.75, 6.33, 0.1]","[2.0723, -0.2446, 0.0001]","[0.0, 162.6923, 188.5452]","[1.10683, -0.1741, -0.00201]","[-0.19666, 0.18669, 0.00182]","[0.2748, 0.8595, 117.3012]","[-0.0553, 0.2265, 6.3442]","[0.2007, 2.014, 12.1981]","[0.0039, 0.24109, 115.6325]"
4922,2,1,"[10.43, 6.41]","[-0.3279, 2.7418]","[67.24875, 0.0]","[-0.1763, 0.42873]","[-0.00211, 0.03729]","[0.513, 0.2746]","[-1.8122, -0.4011]","[0.0546, -0.0243]","[0.15126, 0.0126]"
4569,3,2,"[38.74, 17.66, 0.67]","[2.497, -0.5332, 0.0007]","[0.0, 12.97366, 14.93581]","[0.04357, -0.14595, -0.00285]","[-0.83678, 0.21226, 0.00584]","[0.3556, 1.0785, 44.1857]","[0.0976, 0.2302, 13.6078]","[0.072, 1.3523, 16.889]","[0.01666, 0.4344, 42.56497]"
2125,3,2,"[103.18, 199.99, 0.15]","[4.7717, -10.0742, 0.0]","[0.0, 19.06223, 66.82554]","[-0.74614, 0.57956, 0.00024]","[-0.06044, -0.05483, 0.0]","[0.3864, 0.4698, 334.495]","[-0.405, -0.5988, -38.2969]","[-0.0543, 0.1479, 0.2438]","[0.01862, 0.03788, 331.4522]"
1900,5,4,"[14.17, 12.41, 23.91, 22.74, 0.42]","[2.2361, -1.7686, 22.7905, -21.1966, 0.001]","[0.0, 3.990295, 3.298529, 3.299743, 6.805663]","[-0.06475, 0.16896, -0.07945, -0.108, 0.00068]","[-0.28651, 0.07621, 0.17983, 0.16027, 0.00103]","[0.2869, 0.6464, 0.4008, 0.4198, 34.061]","[0.2386, -0.6363, 0.2811, 0.135, -2.5209]","[-0.0655, -0.5344, 0.486, 0.6046, -9.1224]","[0.03732, 0.27821, 0.07646, 0.08212, 32.9019]"
0006,3,2,"[16.44, 15.86, 0.16]","[1.6212, -0.2144, 0.0001]","[0.0, 52.21484, 62.60441]","[-0.49076, 0.16015, 0.00221]","[-0.45042, 0.11509, 0.00136]","[0.1395, 0.571, 112.1356]","[-0.0241, -0.5028, -21.98]","[-0.3507, -2.1435, -10.9908]","[0.01295, 0.37051, 111.6672]"
4923,3,1,"[17.93, 7.78, 4.07]","[2.2643, -0.2313, 0.0247]","[0.0, 52.26394, 52.4749]","[-0.33712, 0.06134, 0.01822]","[-0.74379, 0.08559, 0.02602]","[0.2576, 2.6832, 9.6822]","[0.276, 0.8914, 1.6431]","[-0.1826, -2.5224, -5.6805]","[0.00967, 1.41605, 7.66934]"
0007,3,2,"[55.64, 12.38, 3.22]","[1.7472, -0.4904, 0.0458]","[0.0, 80.32404, 81.30035]","[0.4503, -0.09642, -0.02441]","[-0.12146, 0.01303, 0.0038]","[0.2091, 1.4692, 6.3798]","[-0.2111, -1.4585, -2.5668]","[0.093, 0.3637, 0.7069]","[0.04783, 1.21781, 6.05071]"
0008,3,2,"[31.18, 21.5, 0.03]","[2.2774, -0.9992, 0.0001]","[0.0, 47.61099, 84.15172]","[-0.3221, 0.26702, 0.00093]","[-0.49991, 0.21456, 0.00081]","[0.1901, 0.3839, 132.9425]","[0.1982, -0.1875, -18.8736]","[-0.4214, -1.1598, -19.8837]","[0.03295, 0.18315, 132.3635]"
2127,3,1,"[10.82, 0.86, 0.05]","[3.3556, -0.2722, 0.0]","[0.0, 196.2165, 243.7643]","[-1.05168, 0.3397, 0.00217]","[0.60058, -0.08073, -0.00068]","[0.3338, 0.7434, 189.2668]","[-0.3061, -1.7733, -16.2118]","[0.2282, 0.7715, 21.7969]","[0.00747, 0.21062, 187.8409]"
0009,3,2,"[19.02, 21.31, 0.4]","[1.7026, -2.0783, 0.0029]","[0.0, 37.8218, 43.43189]","[-0.41108, 0.10604, 0.00389]","[-0.16337, 0.10323, 0.00187]","[0.2317, 0.5969, 19.6866]","[-0.0217, 0.1157, -1.2221]","[-0.0489, -0.7939, -0.5772]","[0.01217, 0.19301, 18.72741]"
