event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
2117,0.4814302,1.08952,0.7521914,0.5830846,-0.8455641,0,True,0.3151543,2,0.223,6344507000000.0,68.92289,-104.6934,0.1957415,80.42965,5.140604,3,0.223,143305500000.0,68.92289,-104.6934,0.3248612,95.48981,0.7494225,4,0.223,4.6,0.0,0.0,0.02238221,167.4797,0.0,0,0.223,306023400000.0,0.0,0.0,0.1485307,135.7802,46.58677,1,0.223,7227619000.0,0.0,0.0,0.4675886,148.406,0.09891499
2119,1.077435,2.259765,0.08289287,-4.650508,0.2350118,0,True,0.2957947,2,0.526,79084670000000.0,-110.5257,-13.16384,0.5694775,-80.51607,5.44232,3,0.526,253549900000.0,-110.5257,-13.16384,0.4464731,-108.8314,0.4672451,4,0.526,3.97,0.0,0.0,0.08130497,50.8471,0.0,0,0.526,4920712000000.0,0.0,0.0,0.3712909,-140.1326,11.35863,1,0.526,76976600000.0,0.0,0.0,0.1455911,-165.6572,0.1315585
4915,0.5922092,1.483742,0.2096821,-0.2342722,-0.4276917,0,False,-1.0,0,0.853,5408223000000.0,0.0,0.0,0.180476,-124.9096,3.18041,1,0.853,69232600000.0,0.0,0.0,0.2049985,-166.588,0.09478287,2,0.853,6.87,0.0,0.0,0.03231271,-134.0543,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0001,0.3940423,0.7850028,0.1846063,0.05276129,-0.1494187,0,False,-1.0,0,1.141,728396700000.0,0.0,0.0,0.1474217,143.3507,7.986869,1,1.141,29598650000.0,0.0,0.0,0.1397195,172.9384,0.03274814,2,1.141,6.4,0.0,0.0,0.1303512,-170.2693,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4916,0.9028506,2.230709,0.1026483,1.878743,0.6815108,0,True,0.2739205,2,1.47,20137470000000.0,6.572955,5.141086,0.1988916,179.0817,4.554861,3,1.47,107376800000.0,6.572955,5.141086,0.2851423,186.1888,0.1784519,4,1.47,7.11,0.0,0.0,0.1325015,-21.54417,0.0,0,1.47,3376321000000.0,0.0,0.0,0.3469425,-52.47515,5.846194,1,1.47,107883800000.0,0.0,0.0,0.3507207,7.734546,0.04863612
0002,0.4226277,0.805971,0.206294,0.2256751,-0.04661213,0,False,-1.0,0,1.564,1659191000000.0,0.0,0.0,0.3088238,-68.42992,4.520179,1,1.564,53202040000.0,0.0,0.0,0.1791552,-80.31714,0.06831656,2,1.564,3.8,0.0,0.0,0.07152709,-150.0478,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2121,0.1389511,0.265224,0.1632445,-0.152714,-0.281786,0,True,0.2693407,2,2.41,4216169000000.0,-4.78541,-17.58958,0.3168182,-160.7776,4.523684,3,2.41,80643380000.0,-4.78541,-17.58958,0.1135246,-181.6229,0.1041139,4,2.41,3.89,0.0,0.0,0.131731,153.2207,0.0,0,2.41,626594900000.0,0.0,0.0,0.517285,-143.9878,7.104676,1,2.41,12898510000.0,0.0,0.0,0.2828252,-119.4517,0.04444428
4917,0.07908331,0.1545445,0.3927494,0.03019799,0.008193874,0,False,-1.0,0,2.689,417674200000.0,0.0,0.0,0.2570065,-53.42045,3.970528,1,2.689,3141089000.0,0.0,0.0,0.2157975,-111.598,0.02367939,2,2.689,5.61,0.0,0.0,0.1545104,-23.84796,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.4371253,0.8631688,0.2014659,0.2585285,-0.02084576,0,False,-1.0,0,0.546,1073139000000.0,0.0,0.0,0.2940141,51.00018,6.462158,1,0.546,45360790000.0,0.0,0.0,0.09001353,48.99991,0.1318561,2,0.546,1.64,0.0,0.0,0.04376412,84.35348,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.5319915,1.151638,0.2298269,-0.08669161,0.3298409,0,False,-1.0,0,0.643,2209875000000.0,0.0,0.0,0.01209012,91.82252,10.04848,1,0.643,58300810000.0,0.0,0.0,0.1768617,26.25853,0.1867641,2,0.643,1.93,0.0,0.0,0.02783339,69.00026,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
