event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[17.86, 8.38, 0.02]","[3.6164, -0.6676, 0.0]","[0.0, 23.87757, 46.56884]","[0.37894, -0.06458, -0.0001]","[-0.36599, 0.28172, 0.00035]","[0.2778, 0.498, 404.7964]","[0.1038, 1.1962, 71.0517]","[0.4841, 0.5648, 24.5028]","[0.01619, 0.10892, 402.9487]"
0002,3,2,"[50.94, 11.37, 0.74]","[2.4144, -0.4981, 0.0003]","[0.0, 64.03641, 81.40828]","[0.57135, -0.2256, -0.00319]","[-0.08117, 0.03909, 0.00047]","[0.259, 0.6874, 65.4341]","[-0.3333, -1.3372, -18.1699]","[0.1541, 0.5633, 2.7484]","[0.03332, 0.35194, 64.56507]"
0003,3,2,"[43.52, 99.93, 0.91]","[-0.4946, 2.4551, 0.0017]","[23.28186, 0.0, 27.60126]","[-0.24726, 0.61574, -0.00838]","[0.03774, 0.02064, 0.00104]","[0.7524, 0.2146, 26.0615]","[-1.3817, -0.4575, -6.3761]","[0.4173, -0.0115, 2.4065]","[0.52213, 0.06062, 25.55597]"
0004,3,2,"[13.42, 29.76, 1.36]","[-0.6012, 2.6159, 0.0165]","[48.78563, 0.0, 50.68755]","[0.07292, -0.16114, 0.00884]","[-0.23418, 0.89342, -0.02967]","[1.2589, 0.3153, 9.7782]","[1.0785, 0.2684, 3.322]","[0.7531, 0.1207, 2.3501]","[0.71419, 0.03838, 8.77772]"
0005,2,2,"[13.0, 31.97]","[-1.8677, 7.8765]","[157.3998, 0.0]","[-1.02655, 1.98864]","[0.30155, 0.32519]","[0.6977, 0.4806]","[-0.6491, -0.3771]","[0.4534, -0.0248]","[0.02058, 0.00373]"
0006,3,2,"[16.44, 15.86, 0.16]","[1.6212, -0.2144, 0.0001]","[0.0, 52.21484, 62.60441]","[-0.49076, 0.16015, 0.00221]","[-0.45042, 0.11509, 0.00136]","[0.1395, 0.571, 112.1356]","[-0.0241, -0.5028, -21.98]","[-0.3507, -2.1435, -10.9908]","[0.01295, 0.37051, 111.6672]"
0007,3,2,"[55.64, 12.38, 3.22]","[1.7472, -0.4904, 0.0458]","[0.0, 80.32404, 81.30035]","[0.4503, -0.09642, -0.02441]","[-0.12146, 0.01303, 0.0038]","[0.2091, 1.4692, 6.3798]","[-0.2111, -1.4585, -2.5668]","[0.093, 0.3637, 0.7069]","[0.04783, 1.21781, 6.05071]"
0008,3,2,"[31.18, 21.5, 0.03]","[2.2774, -0.9992, 0.0001]","[0.0, 47.61099, 84.15172]","[-0.3221, 0.26702, 0.00093]","[-0.49991, 0.21456, 0.00081]","[0.1901, 0.3839, 132.9425]","[0.1982, -0.1875, -18.8736]","[-0.4214, -1.1598, -19.8837]","[0.03295, 0.18315, 132.3635]"
0009,3,2,"[19.02, 21.31, 0.4]","[1.7026, -2.0783, 0.0029]","[0.0, 37.8218, 43.43189]","[-0.41108, 0.10604, 0.00389]","[-0.16337, 0.10323, 0.00187]","[0.2317, 0.5969, 19.6866]","[-0.0217, 0.1157, -1.2221]","[-0.0489, -0.7939, -0.5772]","[0.01217, 0.19301, 18.72741]"
0010,3,2,"[27.6, 29.12, 2.73]","[-0.8707, 1.4739, 0.0318]","[27.782, 0.0, 28.55505]","[0.08425, -0.34828, 0.01356]","[-0.05809, 0.23182, -0.00927]","[0.9116, 0.1597, 6.8099]","[-0.3753, -0.0536, -0.5513]","[1.0077, 0.1572, 1.4107]","[0.70732, 0.03298, 6.50329]"
0011,3,2,"[12.79, 13.94, 0.12]","[2.3448, -0.3351, 0.0]","[0.0, 291.8127, 352.4109]","[0.50668, -0.11609, -0.00081]","[0.79599, -0.21895, -0.0016]","[0.3146, 0.7217, 167.1893]","[0.0537, 0.9341, 21.6327]","[-0.2011, -1.4797, -8.5867]","[0.00472, 0.19965, 165.8893]"
0012,3,2,"[31.91, 10.66, 0.24]","[-1.7846, 1.9405, 0.0012]","[367.6452, 0.0, 388.9637]","[0.51171, -3.04793, 0.01374]","[-0.39345, 0.62969, -0.00587]","[0.9767, 0.2821, 29.7691]","[-0.0115, 0.0063, -0.743]","[0.7488, 0.0011, 3.3115]","[0.07536, 0.00081, 27.19519]"
0013,3,2,"[22.61, 32.37, 0.03]","[-1.2706, 2.9629, 0.0]","[40.8076, 0.0, 88.6677]","[-0.1138, 0.22537, -4e-05]","[-0.17411, 0.27131, -0.00018]","[0.3391, 0.2444, 739.9752]","[0.2381, 0.0185, 405.5027]","[-1.0803, -0.4827, 62.0146]","[0.03445, 0.00572, 738.7307]"
0014,3,2,"[8.84, 16.81, 0.44]","[2.0631, -0.2712, 0.0003]","[0.0, 133.2435, 151.8694]","[0.30169, -0.07867, -0.00255]","[-0.76189, 0.22633, 0.0059]","[0.2627, 1.1328, 67.96]","[0.2044, 1.6573, 21.2384]","[0.131, 0.9792, 28.3776]","[0.03378, 0.71164, 66.94873]"
0015,3,2,"[14.84, 32.83, 1.33]","[-0.5914, 2.3376, 0.0089]","[28.0991, 0.0, 30.38708]","[-0.56745, 1.6298, -0.04599]","[-0.06673, 0.62554, -0.00979]","[0.979, 0.2696, 12.5483]","[-1.2995, -0.3141, -3.7746]","[-0.051, -0.0844, -2.6001]","[0.67198, 0.07118, 11.98633]"
