event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.3940423,0.7850028,0.1846063,0.05276129,-0.1494187,0,False,-1.0,0,1.141,728396700000.0,0.0,0.0,0.1474217,143.3507,7.986869,1,1.141,29598650000.0,0.0,0.0,0.1397195,172.9384,0.03274814,2,1.141,6.4,0.0,0.0,0.1303512,-170.2693,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.4226277,0.805971,0.206294,0.2256751,-0.04661213,0,False,-1.0,0,1.564,1659191000000.0,0.0,0.0,0.3088238,-68.42992,4.520179,1,1.564,53202040000.0,0.0,0.0,0.1791552,-80.31714,0.06831656,2,1.564,3.8,0.0,0.0,0.07152709,-150.0478,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.4371253,0.8631688,0.2014659,0.2585285,-0.02084576,0,False,-1.0,0,0.546,1073139000000.0,0.0,0.0,0.2940141,51.00018,6.462158,1,0.546,45360790000.0,0.0,0.0,0.09001353,48.99991,0.1318561,2,0.546,1.64,0.0,0.0,0.04376412,84.35348,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.5319915,1.151638,0.2298269,-0.08669161,0.3298409,0,False,-1.0,0,0.643,2209875000000.0,0.0,0.0,0.01209012,91.82252,10.04848,1,0.643,58300810000.0,0.0,0.0,0.1768617,26.25853,0.1867641,2,0.643,1.93,0.0,0.0,0.02783339,69.00026,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,1.537075,3.015288,0.237124,0.4147629,-0.08437881,0,False,-1.0,0,0.769,17631090000000.0,0.0,0.0,0.1939163,-8.263411,6.597856,1,0.769,146163900000.0,0.0,0.0,0.1171465,-34.54091,0.05918182,2,0.769,4.75,0.0,0.0,0.1316604,-109.1897,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,0.4531513,0.8622554,0.1322798,-0.2845697,-0.2474456,0,False,-1.0,0,0.915,1362812000000.0,0.0,0.0,0.2367171,-134.9162,3.267335,1,0.915,41736670000.0,0.0,0.0,0.3267649,-109.4496,0.05557324,2,0.915,3.09,0.0,0.0,0.05452575,-50.4262,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.2578471,0.5630209,0.280669,0.2048266,-0.03768494,0,False,-1.0,0,0.993,14483030000000.0,0.0,0.0,0.2450444,-41.22572,4.469584,1,0.993,100265400000.0,0.0,0.0,0.05602417,-34.33795,0.1226884,2,0.993,1.22,0.0,0.0,0.04284618,154.8028,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,0.5390791,0.9260233,0.438733,-0.1208064,-0.1415637,0,False,-1.0,0,1.016,3390689000000.0,0.0,0.0,0.3372109,-94.62014,3.422524,1,1.016,83699040000.0,0.0,0.0,0.2707057,-90.00326,0.07142657,2,1.016,1.99,0.0,0.0,0.01306802,153.4336,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.2086391,0.581794,0.819186,-0.1143598,-0.06069859,0,False,-1.0,0,2.007,1027009000000.0,0.0,0.0,0.3356237,178.6481,5.786503,1,2.007,24534720000.0,0.0,0.0,0.3657361,213.8174,0.06900924,2,2.007,4.39,0.0,0.0,0.1658849,-157.9223,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.208639,0.5207034,0.5907404,-0.1465779,0.1004315,0,False,-1.0,0,1.359,1058810000000.0,0.0,0.0,0.3132055,133.5828,2.821948,1,1.359,31393650000.0,0.0,0.0,0.3289772,145.5509,0.1161149,2,1.359,3.33,0.0,0.0,0.08343553,-27.50634,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
