event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0027,3,3,"[40.04, 13.6, 9.06]","[1.8437, -0.4336, 0.1287]","[0.0, 44.48591, 44.54111]","[-0.52194, 0.06923, 0.03444]","[-0.25474, 0.02692, 0.01326]","[0.217, 2.0762, 4.5733]","[-0.1631, -1.3332, -1.6971]","[-0.2102, -1.2989, -1.4555]","[0.02057, 1.64969, 4.06665]"
0028,3,3,"[35.33, 44.6, 29.59]","[1.9564, -0.5926, 0.2637]","[0.0, 13.79663, 13.80205]","[-0.15045, 0.00625, 0.0043]","[0.335, -0.04635, -0.02917]","[0.25, 2.662, 4.3297]","[0.17, 2.0574, 2.6301]","[0.1499, 0.4655, 0.6142]","[0.02962, 2.11009, 3.70526]"
0046,3,3,"[18.06, 31.09, 9.16]","[-2.1476, 1.724, 0.4231]","[17.44085, 0.0, 17.49802]","[-0.08708, 0.43666, -0.03564]","[-0.04285, 0.24424, -0.02017]","[1.1868, 0.2193, 2.7221]","[-0.5115, -0.0855, -0.4362]","[-0.4888, -0.1489, -0.6417]","[0.6401, 0.02222, 1.97272]"
0066,3,3,"[87.94, 47.65, 8.84]","[4.065, -1.5587, 0.1211]","[0.0, 8.672549, 9.137405]","[-0.04958, -0.10058, -0.01401]","[-0.63891, 0.23582, 0.03989]","[0.4378, 1.2031, 4.442]","[0.2624, 0.4954, 1.4457]","[-0.0352, 0.6614, 1.2244]","[0.15319, 0.79799, 3.78212]"
2214,3,3,"[8.11, 27.62, 28.34]","[2.9745, -48.0004, 50.4152]","[0.0, 0.883442, 0.883355]","[0.04958, 0.01013, 0.00572]","[-0.08228, 0.04153, 0.04431]","[0.4198, 0.7366, 0.7074]","[0.0186, 0.1111, 0.1263]","[0.0069, -0.279, -0.2232]","[0.00669, 0.04652, 0.04171]"
2239,3,3,"[110.77, 48.13, 15.66]","[4.689, -2.1383, 0.6991]","[0.0, 25.98465, 26.0751]","[-1.08772, 0.35038, 0.16129]","[1.12998, -0.1657, -0.08155]","[0.4591, 1.543, 2.6645]","[-0.042, -0.6117, -0.7272]","[0.2784, 0.6232, 0.9007]","[0.06088, 0.65431, 1.4893]"
2241,3,3,"[12.37, 13.35, 8.91]","[9.7171, -8.9151, 3.2254]","[0.351289, 0.36044, 0.0]","[0.1061, 0.07976, -0.09093]","[-0.00559, 0.04134, 0.12945]","[0.541, 0.6486, 0.4305]","[-0.2315, -0.1421, 0.1152]","[-0.2327, -0.4642, -0.0328]","[0.00173, 0.00329, 0.00078]"
0136,3,3,"[31.31, 18.59, 8.72]","[2.1651, -0.3338, 0.0231]","[0.0, 31.24472, 31.59969]","[-0.68824, 0.11872, 0.02449]","[-0.3706, 0.0408, 0.00827]","[0.2368, 1.3672, 7.8328]","[-0.214, -1.3421, -1.6806]","[-0.2736, -1.1529, -0.8149]","[0.00952, 0.75313, 6.85707]"
0156,3,3,"[10.03, 17.76, 12.27]","[3.1884, -7.6603, 7.6412]","[0.0, 2996.176, 2848.934]","[-6.97366, -16.18203, -14.44413]","[-16.62702, 1.53027, 8.23001]","[0.3622, 0.6257, 0.4794]","[0.1932, -0.5161, -0.2201]","[-0.2364, 0.0652, 0.3028]","[6e-05, 0.00028, 0.00033]"
0157,3,3,"[31.83, 19.57, 8.5]","[1.297, -0.27, 0.0534]","[0.0, 4.79181, 4.803982]","[0.07717, -0.01076, -0.00435]","[-0.06433, 0.00716, 0.00301]","[0.1176, 2.3079, 6.6744]","[-0.0803, -1.0353, -1.3234]","[0.0345, 2.0838, 3.4215]","[0.02925, 2.16854, 6.51263]"
2336,3,3,"[26.53, 21.65, 30.56]","[4.6783, -4.9138, 3.1569]","[0.332676, 0.44373, 0.0]","[0.11062, 0.14684, 0.12718]","[-0.13641, -0.03283, 0.14786]","[0.4387, 0.6386, 0.3872]","[-0.1688, -0.5459, -0.1773]","[0.2698, 0.1899, -0.1653]","[0.00704, 0.01114, 0.00574]"
0171,3,3,"[25.78, 14.43, 9.45]","[1.8978, -1.8515, 0.7988]","[0.0, 2.301733, 2.303335]","[0.19749, -0.03268, -0.02004]","[-0.0996, 0.02137, 0.01312]","[0.2326, 1.5205, 2.4673]","[-0.193, -0.4078, -0.3144]","[0.1573, 0.8029, 0.8956]","[0.04805, 1.21965, 2.13349]"
2346,3,3,"[32.59, 33.72, 48.49]","[2.5198, -3.7108, 5.3772]","[0.0, 3887.224, 3550.174]","[12.15789, 0.75151, -5.34372]","[-4.0121, 5.96392, 7.6755]","[0.3667, 0.8076, 0.5309]","[-0.0089, 0.4169, 0.1499]","[-0.0639, -0.3643, -0.1079]","[1e-05, 0.00106, 5e-05]"
2382,3,3,"[20.53, 24.91, 16.94]","[8.0286, 8.9175, -14.0254]","[0.0, 0.088058, 0.286756]","[-0.17665, 0.18557, 0.01742]","[0.27171, 0.24824, 0.29875]","[0.4896, 0.4607, 0.547]","[0.2544, 0.2421, 0.5154]","[0.2669, -0.3465, -0.1044]","[0.00248, 0.00142, 0.00328]"
4608,3,3,"[23.82, 13.34, 19.55]","[1.6093, 0.5901, -1.252]","[0.0, 28.04416, 28.04021]","[0.53945, -0.04065, -0.06001]","[-0.32861, 0.01127, 0.01566]","[0.2114, 3.3752, 2.279]","[-0.0099, -1.7868, -1.4137]","[0.0192, 0.8684, 0.6605]","[0.00542, 2.20291, 1.26347]"
0237,3,3,"[49.8, 47.36, 51.57]","[2.8626, 8.1308, -9.6214]","[0.0, 8.552826, 8.552744]","[-0.46272, 0.07444, 0.08264]","[-0.36997, 0.06731, 0.07483]","[0.339, 1.9198, 1.7609]","[-0.0354, -0.0746, -0.0704]","[-0.2937, -0.847, -0.8234]","[0.10363, 1.45783, 1.3128]"
4614,3,3,"[47.32, 31.38, 12.11]","[2.7021, -0.891, 0.306]","[0.0, 186.8718, 187.0638]","[0.69137, -0.13685, -0.0717]","[0.64573, -0.0665, -0.03691]","[0.3308, 2.3254, 4.0539]","[-0.0062, -1.1442, -1.5673]","[-0.2789, -1.2529, -1.8978]","[0.01643, 0.86742, 2.11415]"
2450,3,3,"[36.89, 24.54, 12.8]","[5.0329, -2.7811, 0.3814]","[0.0, 5.463825, 5.683308]","[-0.13407, 0.2649, 0.05127]","[-0.84487, 0.22989, 0.05253]","[0.4729, 1.1368, 2.8555]","[0.2536, -0.1354, -0.1006]","[-0.1218, -0.6, -0.9003]","[0.13052, 0.57831, 1.88966]"
4617,3,3,"[76.6, 41.84, 23.04]","[2.7043, -2.2526, 0.6928]","[0.0, 18.53542, 18.55809]","[0.22829, -0.00628, -0.00452]","[0.24536, -0.04675, -0.02238]","[0.3857, 1.5798, 2.6719]","[0.0742, 0.8801, 1.1365]","[-0.0449, -0.0741, -0.2449]","[0.00406, 0.42212, 1.19535]"
2492,3,3,"[22.67, 36.59, 12.68]","[5.4452, -15.9144, 2.0097]","[0.0, 1.151785, 1.165038]","[0.14215, -0.03968, -0.01542]","[-0.0658, 0.03435, 0.00828]","[0.5456, 1.0219, 1.8492]","[-0.0651, 0.1151, -0.2152]","[0.1363, 0.2238, 0.4211]","[0.00463, 0.03598, 0.35022]"
0296,3,3,"[21.08, 12.88, 8.06]","[2.0918, -0.774, 0.3081]","[0.0, 19.65203, 19.66895]","[-0.73922, 0.10169, 0.05868]","[0.13897, -0.06399, -0.03617]","[0.25, 2.094, 3.6596]","[-0.247, -0.6834, -0.7395]","[0.1533, 1.4219, 1.8113]","[0.03815, 1.64011, 3.13048]"
0322,3,3,"[155.2, 61.03, 196.04]","[-20.1677, 4.6968, 19.8644]","[271.8867, 0.0, 269.4305]","[-3.717, -7.68528, -2.15448]","[-6.03262, 3.28938, -7.02314]","[0.677, 0.4899, 0.616]","[0.0956, -0.1988, 0.1888]","[-0.3805, 0.0883, -0.248]","[0.00798, 0.00223, 0.00538]"
0329,3,3,"[15.07, 12.44, 9.38]","[3.21, -1.1324, 0.6262]","[0.0, 46.18809, 46.20312]","[-0.8445, 0.14893, 0.10266]","[0.83971, -0.1519, -0.10559]","[0.3201, 2.3922, 3.3877]","[-0.082, -0.0356, 0.0509]","[0.3796, 1.6793, 2.0253]","[0.09985, 1.92682, 2.86795]"
0330,3,3,"[156.85, 69.45, 31.48]","[1.6174, -0.2527, 0.0697]","[0.0, 108.5835, 108.743]","[-0.82227, 0.12364, 0.05934]","[-0.50355, 0.02463, 0.01209]","[0.1834, 2.929, 6.6845]","[-0.1166, -2.5306, -3.9992]","[-0.1872, -1.129, -1.4065]","[0.02561, 2.57442, 6.26325]"
2551,3,3,"[28.38, 21.8, 10.21]","[3.4972, -2.0517, -1.4606]","[2962.221, 4351.508, 5761.142]","[2.0994, 5.53501, -2.23908]","[-10.81354, 0.06558, -1.03259]","[0.4301, 0.7736, 1.5524]","[-0.073, -0.7308, -0.8113]","[0.1832, -0.0681, -0.5759]","[8e-05, 0.00046, 0.00483]"
4630,3,3,"[53.66, 25.43, 8.58]","[2.2529, -1.5294, 0.0183]","[0.0, 58.10341, 69.40468]","[-0.24466, -0.21699, -0.00404]","[-0.71324, 0.31419, 0.01606]","[0.2411, 0.7884, 8.586]","[0.3393, 0.3413, 0.6021]","[-0.1303, 0.763, 1.5885]","[0.00499, 0.03547, 2.37773]"
2574,3,3,"[55.38, 62.08, 21.45]","[11.294, -12.7768, 5.7169]","[0.041866, 0.047854, 0.0]","[-0.03243, -0.01801, 0.01993]","[0.02, 0.03196, 0.03794]","[0.5793, 0.7039, 0.5375]","[-0.0644, 0.2124, 0.1632]","[0.2903, 0.3476, -0.1113]","[0.00838, 0.01088, 0.00585]"
2615,3,3,"[38.52, 17.46, 16.09]","[3.2632, -1.7795, 0.1684]","[0.0, 41.70218, 42.3435]","[-1.2738, 0.26971, 0.06506]","[-0.3119, 0.1704, 0.03497]","[0.3803, 1.1009, 3.5641]","[-0.1502, -0.2429, -0.4443]","[-0.2345, -0.7163, -0.6611]","[0.01466, 0.29889, 2.17382]"
0378,3,3,"[15.18, 37.88, 17.21]","[3.0936, -1.9859, 0.3999]","[0.0, 2.509258, 2.527591]","[-0.06333, 0.03335, 0.01147]","[-0.19198, 0.04015, 0.01519]","[0.3826, 1.3195, 2.9241]","[0.1606, 0.0904, 0.1642]","[-0.1792, -0.7729, -1.0837]","[0.05808, 0.75189, 2.16619]"
0379,3,3,"[20.34, 28.62, 12.06]","[3.0588, -2.5834, 2.0821]","[1159.883, 1441.593, 0.0]","[3.71746, 6.00802, 5.33206]","[-6.88313, -2.40778, 7.02901]","[0.3784, 0.728, 0.2754]","[-0.0492, -0.569, -0.1219]","[0.239, 0.3705, -0.1728]","[0.00015, 0.00066, 0.00011]"
4652,3,3,"[33.66, 15.78, 8.82]","[1.9278, -0.9765, 0.1038]","[0.0, 367.1931, 368.8554]","[-2.1775, 0.4259, 0.1034]","[2.43578, -0.07718, -0.03981]","[0.279, 1.7385, 4.9441]","[0.003, -1.2502, -2.1617]","[-0.0327, 0.0807, 1.1166]","[0.00153, 0.30414, 2.57936]"
0440,3,3,"[23.94, 15.3, 12.31]","[1.6057, -0.6022, 0.3854]","[0.0, 20.74711, 20.74875]","[0.18566, -0.01915, -0.01481]","[-0.05806, 0.01275, 0.00974]","[0.1767, 3.3507, 4.4635]","[-0.1327, -0.9298, -1.0893]","[0.1935, 2.5143, 2.8661]","[0.04931, 3.11369, 4.21349]"
0457,3,3,"[16.82, 47.48, 85.04]","[1.597, 9.4072, -8.2329]","[0.0, 17276.95, 17296.22]","[-5.02128, -6.97537, -7.69798]","[-16.78666, 7.2501, 5.51748]","[0.1951, 0.5705, 0.725]","[0.0314, -0.1754, -0.3386]","[-0.1438, 0.2176, 0.2871]","[6e-05, 0.00054, 0.00091]"
2834,3,3,"[14.31, 26.8, 15.1]","[4.9182, 11.0015, -11.5976]","[0.0, 251.2883, 264.5784]","[-1.16022, -3.55664, -3.81429]","[5.57204, -2.22573, -0.12437]","[0.4867, 0.5065, 0.5633]","[-0.0299, -0.3286, -0.525]","[0.2435, -0.2114, 0.0367]","[0.00029, 0.00108, 0.00164]"
2843,3,3,"[31.61, 39.41, 28.91]","[10.0866, -8.445, 4.6888]","[19.83279, 24.90813, 0.0]","[-1.1104, -1.4828, -1.00278]","[-2.10616, -0.68386, 1.83303]","[0.5157, 0.5621, 0.4027]","[-0.2935, -0.5363, -0.2257]","[-0.2219, -0.1502, 0.3042]","[0.00295, 0.00155, 0.00175]"
0542,3,3,"[52.82, 45.56, 41.02]","[-14.5675, 2.7078, 15.1502]","[1124.212, 0.0, 1121.353]","[8.21834, 1.98622, 7.9157]","[-2.43935, 10.62852, -4.04305]","[0.6687, 0.3512, 0.5887]","[-0.4108, 0.1443, -0.2777]","[0.0981, -0.1754, 0.1613]","[0.00296, 0.00063, 0.00215]"
