event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0027,0.2859879,0.654843,0.2351706,-0.2692503,-0.1254838,0,False,-1.0,0,0.969,1540839000000.0,0.0,0.0,0.01106728,-129.0322,6.129677,1,0.969,41094320000.0,0.0,0.0,0.3533358,-145.6973,0.1257601,2,0.969,2.13,0.0,0.0,0.01271671,-73.38952,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0028,0.1814265,0.4122951,0.3028964,-0.03920632,0.1542668,0,False,-1.0,0,1.135,641591100000.0,0.0,0.0,0.4848407,-45.62784,7.117417,1,1.135,10891550000.0,0.0,0.0,0.200891,-12.13529,0.07459127,2,1.135,4.25,0.0,0.0,0.02189234,9.404576,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0046,0.2283272,0.5972663,0.8027642,0.1607487,0.07928805,0,False,-1.0,0,0.852,523520500000.0,0.0,0.0,0.5110008,-129.2744,12.12466,1,0.852,21331830000.0,0.0,0.0,0.434339,-166.413,0.1611724,2,0.852,2.96,0.0,0.0,0.04970789,7.608688,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0066,0.3666566,0.8762182,0.3834425,0.04510324,-0.1309526,0,False,-1.0,0,0.463,1473093000000.0,0.0,0.0,0.2800576,4.412439,7.984616,1,0.463,45558360000.0,0.0,0.0,0.3887557,18.24645,0.3915292,2,0.463,4.91,0.0,0.0,0.1331651,79.51429,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2214,0.05753786,0.1339749,0.9521022,0.08964176,-0.05475275,0,True,0.2723917,2,2.58,180589000000.0,1.968148,-0.9921019,0.1607261,94.23098,4.433311,3,2.58,776552300.0,1.968148,-0.9921019,0.7522631,105.0628,0.02536129,4,2.58,7.47,0.0,0.0,0.1606179,-47.95669,0.0,0,2.58,72121510000.0,0.0,0.0,0.3586604,97.97807,15.91113,1,2.58,245184600.0,0.0,0.0,0.1131003,138.4763,0.03037648
2239,1.090834,1.935691,0.4560353,-3.194387,4.208662,0,True,0.3151569,2,0.226,72769480000000.0,-105.1828,124.4848,0.3689237,106.0192,5.087587,3,0.226,241561900000.0,-105.1828,124.4848,0.5049037,60.08692,1.048667,4,0.226,2.58,0.0,0.0,0.1164801,123.3785,0.0,0,0.226,2293478000000.0,0.0,0.0,0.3246061,-119.9765,21.79055,1,0.226,69713250000.0,0.0,0.0,0.1480301,-133.9504,0.716518
2241,0.08070105,0.2388673,0.9174643,-0.1233909,-0.1669303,0,True,0.3029523,2,0.947,550403800000.0,-0.4807713,-0.5636426,0.2606234,105.3629,6.993733,3,0.947,12129830000.0,-0.4807713,-0.5636426,0.504661,95.06917,0.06416432,4,0.947,8.42,0.0,0.0,0.1051118,-50.34971,0.0,0,0.947,28686040000.0,0.0,0.0,0.276188,165.3989,34.54136,1,0.947,48204610.0,0.0,0.0,0.2362474,164.7625,0.03062756
0136,0.3674921,0.905779,0.154196,-0.3750744,-0.1644093,0,False,-1.0,0,0.581,670802200000.0,0.0,0.0,0.143783,83.42706,12.07084,1,0.581,31023740000.0,0.0,0.0,0.5643237,28.69565,0.1422881,2,0.581,4.37,0.0,0.0,0.0687355,108.8819,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0156,17.99149,25.95534,0.9975129,-3.900993,-1.668835,0,False,-1.0,0,0.8,238628400000000.0,0.0,0.0,0.4083644,-80.89971,8.344034,1,0.8,471332300000.0,0.0,0.0,0.4070011,-114.6153,0.4189391,2,0.8,6.05,0.0,0.0,0.03810064,109.4009,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0157,0.04323895,0.1133235,0.2082,0.0422577,-0.02699583,0,False,-1.0,0,2.545,312485800000.0,0.0,0.0,0.1219986,-165.9817,1.874385,1,2.545,2284762000.0,0.0,0.0,0.103068,-162.7922,0.01787378,2,2.545,4.12,0.0,0.0,0.187073,-51.17123,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
