event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
2117,3,2,"[49.21, 56.43, 0.26]","[2.7909, -3.7103, 0.0022]","[0.0, 5.965474, 7.545982]","[0.61453, -0.29473, -0.0042]","[-0.39756, 0.20268, 0.00301]","[0.3207, 0.659, 22.4594]","[-0.1159, -0.2152, 0.5709]","[0.2995, 0.5827, -0.129]","[0.00606, 0.04138, 19.06928]"
2118,1,1,[61.52],[5.9513],[0.0],[-1.39595],[-0.72273],[0.4429],[-0.232],[-0.2975],[0.12108]
2119,3,1,"[21.98, 6.68, 0.28]","[3.2955, -0.2732, 0.0004]","[0.0, 120.6955, 132.0723]","[-0.15504, 0.2408, 0.0058]","[1.87702, -0.3478, -0.00999]","[0.3866, 1.3364, 52.5847]","[0.2287, 0.5447, 9.4957]","[0.1433, 1.8647, 14.6576]","[0.00805, 0.39318, 50.30414]"
2120,1,1,[10.73],[3.6869],[0.0],[-0.05071],[-0.00204],[0.4301],[-0.2281],[-0.0383],[0.1039]
0001,3,2,"[17.86, 8.38, 0.02]","[3.6164, -0.6676, 0.0]","[0.0, 23.87757, 46.56884]","[0.37894, -0.06458, -0.0001]","[-0.36599, 0.28172, 0.00035]","[0.2778, 0.498, 404.7964]","[0.1038, 1.1962, 71.0517]","[0.4841, 0.5648, 24.5028]","[0.01619, 0.10892, 402.9487]"
2121,3,1,"[4.62, 37.8, 0.59]","[-0.7228, 4.428, 0.0038]","[13.2178, 0.0, 15.63067]","[0.03297, -0.12988, 0.00152]","[-0.07046, 0.13888, -0.00262]","[0.8714, 0.3897, 18.2228]","[0.8987, 0.1536, 1.5325]","[0.7696, 0.3507, 5.6519]","[0.43045, 0.07057, 17.30754]"
2122,1,1,[18.27],[3.2588],[0.0],[6.61047],[-2.87786],[0.3731],[-0.2112],[0.2037],[0.0012]
0005,2,2,"[13.0, 31.97]","[-1.8677, 7.8765]","[157.3998, 0.0]","[-1.02655, 1.98864]","[0.30155, 0.32519]","[0.6977, 0.4806]","[-0.6491, -0.3771]","[0.4534, -0.0248]","[0.02058, 0.00373]"
2123,1,1,[13.33],[3.2906],[0.0],[6.69665],[1.8026],[0.412],[-0.1772],[-0.1023],[4e-05]
2124,1,1,[31.64],[3.493],[0.0],[1.69402],[-0.92489],[0.3616],[-0.2378],[0.2542],[0.03456]
2125,3,2,"[103.18, 199.99, 0.15]","[4.7717, -10.0742, 0.0]","[0.0, 19.06223, 66.82554]","[-0.74614, 0.57956, 0.00024]","[-0.06044, -0.05483, 0.0]","[0.3864, 0.4698, 334.495]","[-0.405, -0.5988, -38.2969]","[-0.0543, 0.1479, 0.2438]","[0.01862, 0.03788, 331.4522]"
1900,5,4,"[14.17, 12.41, 23.91, 22.74, 0.42]","[2.2361, -1.7686, 22.7905, -21.1966, 0.001]","[0.0, 3.990295, 3.298529, 3.299743, 6.805663]","[-0.06475, 0.16896, -0.07945, -0.108, 0.00068]","[-0.28651, 0.07621, 0.17983, 0.16027, 0.00103]","[0.2869, 0.6464, 0.4008, 0.4198, 34.061]","[0.2386, -0.6363, 0.2811, 0.135, -2.5209]","[-0.0655, -0.5344, 0.486, 0.6046, -9.1224]","[0.03732, 0.27821, 0.07646, 0.08212, 32.9019]"
2126,1,1,[44.22],[4.5071],[0.0],[8.20982],[2.51425],[0.4064],[-0.186],[-0.3096],[0.00011]
