event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
2117,0.4814302,1.08952,0.7521914,0.5830846,-0.8455641,0,True,0.3151543,2,0.223,6344507000000.0,68.92289,-104.6934,0.1957415,80.42965,5.140604,3,0.223,143305500000.0,68.92289,-104.6934,0.3248612,95.48981,0.7494225,4,0.223,4.6,0.0,0.0,0.02238221,167.4797,0.0,0,0.223,306023400000.0,0.0,0.0,0.1485307,135.7802,46.58677,1,0.223,7227619000.0,0.0,0.0,0.4675886,148.406,0.09891499
2118,0.9275342,0.0,0.0,-0.6612952,-0.3320178,0,False,-1.0,0,0.255,6908538000000.0,0.0,0.0,0.4017147,114.3477,8.989948,1,0.255,138481600000.0,0.0,0.0,0.2979202,125.9606,1.068261,2,0.255,1.68,0.0,0.0,0.02912137,111.2982,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2119,1.077435,2.259765,0.08289287,-4.650508,0.2350118,0,True,0.2957947,2,0.526,79084670000000.0,-110.5257,-13.16384,0.5694775,-80.51607,5.44232,3,0.526,253549900000.0,-110.5257,-13.16384,0.4464731,-108.8314,0.4672451,4,0.526,3.97,0.0,0.0,0.08130497,50.8471,0.0,0,0.526,4920712000000.0,0.0,0.0,0.3712909,-140.1326,11.35863,1,0.526,76976600000.0,0.0,0.0,0.1455911,-165.6572,0.1315585
2120,0.01977927,0.0,0.0,-0.02175832,-0.0003855181,0,False,-1.0,0,1.038,148377200000.0,0.0,0.0,0.1724689,48.38412,9.147749,1,1.038,864775700.0,0.0,0.0,0.2244485,26.00492,0.07817203,2,1.038,2.9,0.0,0.0,0.07047752,109.0119,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0001,0.3940423,0.7850028,0.1846063,0.05276129,-0.1494187,0,False,-1.0,0,1.141,728396700000.0,0.0,0.0,0.1474217,143.3507,7.986869,1,1.141,29598650000.0,0.0,0.0,0.1397195,172.9384,0.03274814,2,1.141,6.4,0.0,0.0,0.1303512,-170.2693,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2121,0.1389511,0.265224,0.1632445,-0.152714,-0.281786,0,True,0.2693407,2,2.41,4216169000000.0,-4.78541,-17.58958,0.3168182,-160.7776,4.523684,3,2.41,80643380000.0,-4.78541,-17.58958,0.1135246,-181.6229,0.1041139,4,2.41,3.89,0.0,0.0,0.131731,153.2207,0.0,0,2.41,626594900000.0,0.0,0.0,0.517285,-143.9878,7.104676,1,2.41,12898510000.0,0.0,0.0,0.2828252,-119.4517,0.04444428
2122,2.601549,0.0,0.0,3.816906,-1.2463,0,False,-1.0,0,0.512,91819280000000.0,0.0,0.0,0.28791,119.6843,4.510907,1,0.512,433679400000.0,0.0,0.0,0.4755262,178.9708,0.491513,2,0.512,4.75,0.0,0.0,0.1379891,62.89135,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,1.537075,3.015288,0.237124,0.4147629,-0.08437881,0,False,-1.0,0,0.769,17631090000000.0,0.0,0.0,0.1939163,-8.263411,6.597856,1,0.769,146163900000.0,0.0,0.0,0.1171465,-34.54091,0.05918182,2,0.769,4.75,0.0,0.0,0.1316604,-109.1897,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2123,3.089181,0.0,0.0,2.659216,0.8874078,0,False,-1.0,0,2.179,88293710000000.0,0.0,0.0,0.2077511,121.2722,4.205976,1,2.179,146352700000.0,0.0,0.0,0.2521329,127.3532,0.03931497,2,2.179,5.02,0.0,0.0,0.03827409,20.41656,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2124,1.242205,0.0,0.0,0.9025149,-0.338317,0,False,-1.0,0,0.492,13460170000000.0,0.0,0.0,0.3372272,56.44301,5.011097,1,0.492,148413000000.0,0.0,0.0,0.2942792,74.3294,0.3243006,2,0.492,3.04,0.0,0.0,0.07927583,-80.21468,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2125,0.653673,1.325716,0.4736572,-0.162735,-1.369308,0,True,0.2917794,2,0.818,16993560000000.0,-0.6752828,-48.08529,0.2270696,-167.1339,3.519885,3,0.818,111546700000.0,-0.6752828,-48.08529,0.09938767,-112.6078,0.1384154,4,0.818,2.41,0.0,0.0,0.07602704,11.52088,0.0,0,0.818,1450680000000.0,0.0,0.0,0.211966,99.10466,12.92188,1,0.818,56870070000.0,0.0,0.0,0.01708559,71.10547,0.05468843
1900,0.2559668,0.4665725,1.0,-0.01564144,-0.04158291,0,False,-1.0,0,0.858,529476200000.0,0.0,0.0,0.3930145,82.94538,9.169277,1,0.858,10763220000.0,0.0,0.0,0.3880683,112.7861,0.06452054,2,0.858,3.07,0.0,0.0,0.07552417,70.12142,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2126,4.198585,0.0,0.0,-1.846081,3.039678,0,True,0.2743099,2,0.86,100970300000000.0,-55.31284,-0.6256407,0.4948349,110.7934,4.647019,3,0.86,421562300000.0,-55.31284,-0.6256407,0.08361365,81.17182,0.6090852,4,0.86,5.44,0.0,0.0,0.1939964,-19.4658,0.0,0,0.86,30623550000000.0,0.0,0.0,0.4971642,-83.53727,11.03281,1,0.86,121192400000.0,0.0,0.0,0.3319968,-95.74863,0.1141261
2127,0.6923395,1.549235,0.08111026,-0.5344455,0.1362268,0,False,-1.0,0,1.288,10046980000000.0,0.0,0.0,0.2606687,177.632,3.594608,1,1.288,104334300000.0,0.0,0.0,0.1680453,184.7236,0.06614739,2,1.288,4.33,0.0,0.0,0.1952352,90.3049,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2128,2.300363,0.0,0.0,4.51123,-4.261768,0,False,-1.0,0,1.618,38817300000000.0,0.0,0.0,0.5463183,-130.7957,6.603083,1,1.618,140224700000.0,0.0,0.0,0.2083883,-176.0168,0.1577136,2,1.618,4.42,0.0,0.0,0.07955625,39.86197,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2129,3.986955,0.0,0.0,-5.215834,5.116902,0,False,-1.0,0,0.764,188827200000000.0,0.0,0.0,0.4512317,47.34809,7.764232,1,0.764,538643100000.0,0.0,0.0,0.3021418,6.772008,0.5291672,2,0.764,1.39,0.0,0.0,0.04590606,159.8516,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2130,0.4962662,1.131763,0.0185103,0.1244213,-0.4991763,0,False,-1.0,0,0.823,1805684000000.0,0.0,0.0,0.4035091,-4.546704,5.47457,1,0.823,61628150000.0,0.0,0.0,0.4201096,25.32843,0.1102201,2,0.823,8.09,0.0,0.0,0.1850523,15.96669,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2131,0.6510684,1.188815,0.2782623,0.3330318,-0.157643,0,True,0.280157,2,0.932,1690524000000.0,5.716125,-1.661356,0.2084384,-63.11815,4.223275,3,0.932,71254810000.0,5.716125,-1.661356,0.2862803,-9.901187,0.05174334,4,0.932,6.79,0.0,0.0,0.05182611,-77.38329,0.0,0,0.932,684555300000.0,0.0,0.0,0.1892838,-137.2582,19.98413,1,0.932,39876670000.0,0.0,0.0,0.3151474,-159.5701,0.1019004
2132,0.04670558,0.0,0.0,0.01636543,-0.02748577,0,False,-1.0,0,1.523,224393800000.0,0.0,0.0,0.3049769,-122.6199,6.670567,1,1.523,853737600.0,0.0,0.0,0.476466,-74.16218,0.08302903,2,1.523,19.65,0.0,0.0,0.07488466,-142.2147,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2133,0.5963507,1.188688,0.1080736,-0.4662808,0.361142,0,True,0.2745075,2,1.623,5595555000000.0,-6.625238,6.407726,0.3396132,114.5166,3.815979,3,1.623,80529520000.0,-6.625238,6.407726,0.1103222,121.5306,0.04136108,4,1.623,4.81,0.0,0.0,0.01483923,37.52684,0.0,0,1.623,1445760000000.0,0.0,0.0,0.2770032,1.92863,11.07326,1,1.623,63884540000.0,0.0,0.0,0.1848967,-18.28443,0.0797871
2134,0.7701311,1.452102,0.3700261,0.1149534,0.8616833,0,True,0.2704776,2,2.303,5830431000000.0,1.095317,7.639557,0.2146248,-55.33414,2.29275,3,2.303,82749190000.0,1.095317,7.639557,0.4303726,32.53273,0.0289897,4,2.303,10.48,0.0,0.0,0.09383897,-135.4315,0.0,0,2.303,2551929000000.0,0.0,0.0,0.2924058,-33.63325,6.216045,1,2.303,85746060000.0,0.0,0.0,0.1825619,-18.66837,0.05636763
1901,5.995804,14.75293,1.0,0.7688658,1.110664,0,False,-1.0,0,0.599,309641400000000.0,0.0,0.0,0.6060594,65.85085,4.010411,1,0.599,693460900000.0,0.0,0.0,0.2581819,80.30873,1.280429,2,0.599,2.45,0.0,0.0,0.09954454,15.41351,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
