event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
1900,5,4,"[14.17, 12.41, 23.91, 22.74, 0.42]","[2.2361, -1.7686, 22.7905, -21.1966, 0.001]","[0.0, 3.990295, 3.298529, 3.299743, 6.805663]","[-0.06475, 0.16896, -0.07945, -0.108, 0.00068]","[-0.28651, 0.07621, 0.17983, 0.16027, 0.00103]","[0.2869, 0.6464, 0.4008, 0.4198, 34.061]","[0.2386, -0.6363, 0.2811, 0.135, -2.5209]","[-0.0655, -0.5344, 0.486, 0.6046, -9.1224]","[0.03732, 0.27821, 0.07646, 0.08212, 32.9019]"
1901,5,4,"[45.87, 16.03, 9.25, 16.06, 1.47]","[7.1226, -3.564, -2.7216, 2.678, 0.2166]","[2115.603, 2222.393, 2275.881, 0.0, 2334.679]","[-2.46302, 1.05217, -2.29828, 5.92097, -0.22176]","[-4.09192, -2.39328, -0.13581, 8.04718, -0.22975]","[0.6203, 0.9794, 1.1696, 0.3856, 3.2166]","[0.0571, 0.1281, -0.58, 0.0636, -0.3331]","[0.0229, 0.5144, 0.2446, 0.002, -0.4302]","[0.01359, 0.06243, 0.12559, 0.00204, 1.64424]"
1902,5,4,"[9.6, 21.75, 23.05, 15.87, 0.12]","[-3.3683, 3.3929, 3.1007, -1.5012, 0.0001]","[5.583215, 1.889669, 0.0, 14.90549, 44.89729]","[-0.08125, 0.40053, -0.48955, 0.10876, 0.00014]","[-0.39351, -0.254, 0.01302, 0.32591, 0.00035]","[0.3989, 0.3267, 0.3336, 0.4673, 102.5764]","[0.7331, -0.0867, -0.3451, 0.7764, 12.141]","[-0.3475, 0.3888, -0.0502, -0.5891, -3.5733]","[0.09352, 0.06131, 0.04705, 0.13354, 101.2696]"
1903,5,4,"[8.56, 27.87, 40.79, 17.31, 0.66]","[-0.7844, 2.0167, 2.7701, -1.1585, 0.0017]","[7.608712, 0.0, 4.254417, 5.911954, 12.34315]","[0.02708, -0.19134, 0.14878, 0.01371, 0.00048]","[-0.12428, 0.01007, 0.03721, 0.14144, -0.00054]","[0.904, 0.251, 0.2868, 0.7232, 27.5936]","[1.0221, -0.2548, -0.3235, 0.9362, 10.0815]","[0.4893, 0.0129, -0.2074, -0.2517, 4.9385]","[0.64575, 0.03435, 0.06046, 0.48249, 26.94589]"
1904,5,3,"[18.23, 18.41, 2.91, 14.98, 0.99]","[-2.5212, 3.1713, 2.78, -0.9881, 0.0075]","[2.765206, 1.12979, 0.0, 8.242609, 11.74291]","[-0.05888, 0.80125, -0.96166, 0.10895, 0.00301]","[-0.82589, -0.47136, -0.20327, 0.58065, 0.01221]","[0.6022, 0.3439, 0.3327, 0.9108, 13.6405]","[0.7382, -0.1078, -0.2489, 0.9461, 4.7242]","[-0.0998, 0.3218, -0.1538, -0.3535, -2.0169]","[0.30963, 0.09497, 0.08323, 0.5769, 12.85183]"
1905,5,4,"[11.96, 12.67, 19.82, 17.77, 0.13]","[5.231, -3.02, -5.517, 5.5364, 0.0007]","[0.0, 3.823806, 1.447921, 0.23577, 14.94086]","[-0.00718, -0.25694, 0.28451, 0.16997, -0.00037]","[-0.31945, 0.08232, -0.07546, 0.26697, 0.00014]","[0.3548, 0.512, 0.4643, 0.357, 38.1807]","[0.4744, -0.6179, -0.5952, 0.1815, -4.2372]","[-0.0044, 0.433, 0.3375, -0.4471, 3.8457]","[0.119, 0.2121, 0.17442, 0.11997, 37.12041]"
1906,5,4,"[18.27, 30.67, 21.58, 10.51, 0.19]","[5.2199, -3.1609, -4.0814, 4.7209, 0.0004]","[2.199263, 12.65009, 9.260188, 0.0, 38.67628]","[-0.86311, 0.50371, -0.60321, 0.75632, 0.00016]","[-0.6574, -0.70823, 0.6873, 0.84112, -0.00059]","[0.4607, 0.6717, 0.633, 0.4585, 50.2326]","[-0.1491, 0.1406, 0.0177, -0.0152, 10.0205]","[-0.2776, 0.6359, 0.6159, -0.2849, 6.1596]","[0.03485, 0.10617, 0.08805, 0.0345, 47.65839]"
1907,4,3,"[12.58, 7.45, 13.98, 23.48]","[2.9365, -2.4179, -3.264, 5.8719]","[0.0, 262.6275, 242.6062, 219.9435]","[1.09674, -0.81151, 0.34012, -0.62]","[-1.30426, -0.17694, 0.83455, 0.9736]","[0.4112, 0.7075, 0.6787, 0.5459]","[-0.0029, -0.5649, 0.3209, 0.1082]","[0.0782, -0.4243, -0.5538, 0.1556]","[0.00145, 0.01036, 0.01162, 0.00483]"
1908,5,4,"[20.32, 18.0, 21.29, 38.98, 0.17]","[12.5972, 5.0931, -5.7269, -8.8451, 0.0002]","[9.442732, 0.0, 12.05173, 10.17788, 43.03928]","[-0.45285, 0.58706, -0.3382, -0.08306, -0.00045]","[-0.29653, 0.18866, 0.35027, -0.50884, -5e-05]","[0.4863, 0.4315, 0.5148, 0.5195, 69.0213]","[-0.1694, -0.3071, 0.044, 0.5735, -0.3377]","[-0.3948, -0.1803, 0.6388, -0.1227, -0.541]","[0.04542, 0.0295, 0.07287, 0.07844, 66.37816]"
1909,5,4,"[58.86, 24.46, 40.01, 42.37, 0.14]","[4.507, -1.4895, -2.6023, 2.6552, 0.0]","[27.99665, 38.77209, 33.13703, 0.0, 81.69609]","[-0.43412, 0.68208, -0.87573, 0.33416, 0.00022]","[-0.92934, -0.45152, -0.0332, 1.30308, -0.00062]","[0.4472, 0.6617, 0.5888, 0.3615, 167.2412]","[0.1683, -0.369, -0.7436, 0.1682, -28.5739]","[-0.2353, 0.806, -0.0195, -0.0531, 53.1396]","[0.00764, 0.13998, 0.05724, 0.00362, 164.4156]"
1910,5,4,"[58.94, 16.21, 25.69, 38.23, 0.12]","[7.5964, -3.2892, -4.9547, 3.2763, 0.0001]","[53.86148, 64.53185, 57.19455, 0.0, 152.9104]","[0.38168, -0.29884, 0.55139, -0.34093, 0.00022]","[-0.54346, -0.44823, -0.07695, 0.80864, -0.00078]","[0.5027, 0.553, 0.4958, 0.4226, 109.0001]","[0.0169, 0.0728, -0.6753, 0.1072, 25.8642]","[0.3397, -0.7061, -0.0011, 0.1291, 16.9225]","[0.04999, 0.05052, 0.03936, 0.0263, 106.6821]"
1911,5,4,"[29.9, 14.18, 24.09, 41.54, 0.1]","[3.8792, -1.4341, -4.1177, 3.3557, 0.0]","[0.639452, 5.296289, 1.519219, 0.0, 18.74]","[-0.23576, 0.27, -0.33365, -0.01301, 0.00014]","[-0.29537, -0.08827, 0.05692, 0.37924, -6e-05]","[0.3449, 0.4614, 0.4027, 0.2963, 266.7911]","[0.0486, -0.7877, -0.711, 0.4255, -45.7505]","[-0.4112, 0.6058, 0.3067, 0.1272, 41.2333]","[0.0265, 0.11451, 0.07, 0.02622, 265.2316]"
