event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
1900,0.2559668,0.4665725,1.0,-0.01564144,-0.04158291,0,False,-1.0,0,0.858,529476200000.0,0.0,0.0,0.3930145,82.94538,9.169277,1,0.858,10763220000.0,0.0,0.0,0.3880683,112.7861,0.06452054,2,0.858,3.07,0.0,0.0,0.07552417,70.12142,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1901,5.995804,14.75293,1.0,0.7688658,1.110664,0,False,-1.0,0,0.599,309641400000000.0,0.0,0.0,0.6060594,65.85085,4.010411,1,0.599,693460900000.0,0.0,0.0,0.2581819,80.30873,1.280429,2,0.599,2.45,0.0,0.0,0.09954454,15.41351,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1902,0.4031644,0.9292744,1.0,-0.01815153,-0.03861214,0,False,-1.0,0,1.402,2124649000000.0,0.0,0.0,0.3480769,-55.56652,4.754233,1,1.402,53447480000.0,0.0,0.0,0.1288459,-156.3724,0.08084818,2,1.402,3.8,0.0,0.0,0.1574072,-5.560948,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1903,0.1013305,0.3412049,1.0,-0.01997844,0.008473447,0,False,-1.0,0,2.664,1074509000000.0,0.0,0.0,0.3354576,-141.4815,2.421564,1,2.664,16302910000.0,0.0,0.0,0.6138771,-175.0898,0.06492867,2,2.664,6.0,0.0,0.0,0.1237991,-9.30507,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1904,0.6582096,1.783184,1.0,-0.0395475,-0.1300101,0,False,-1.0,0,0.217,3204766000000.0,0.0,0.0,0.2627641,160.0649,9.242947,1,0.217,64664120000.0,0.0,0.0,0.3928061,171.0266,0.4687586,2,0.217,5.35,0.0,0.0,0.1047756,-1.957231,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1905,0.3141318,0.6125877,1.0,0.01412811,-0.00561053,0,False,-1.0,0,1.418,1045588000000.0,0.0,0.0,0.3431109,73.35596,4.557921,1,1.418,34960290000.0,0.0,0.0,0.09107066,69.27265,0.1166847,2,1.418,4.47,0.0,0.0,0.02017521,-103.2488,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1906,0.8679677,2.206379,1.0,-0.006870483,0.02682976,0,False,-1.0,0,0.487,6672747000000.0,0.0,0.0,0.3093538,22.15176,9.206095,1,0.487,79260270000.0,0.0,0.0,0.2607783,15.75568,0.2433624,2,0.487,3.06,0.0,0.0,0.08498582,-107.4501,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1907,1.051778,2.852334,1.0,0.1345984,-0.1207933,0,False,-1.0,0,2.914,6752591000000.0,0.0,0.0,0.1231638,-49.48158,4.031833,1,2.914,91444240000.0,0.0,0.0,0.1367948,-7.326503,0.0357443,2,2.914,20.37,0.0,0.0,0.1712706,127.4235,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1908,0.4980127,1.147525,1.0,0.03776602,0.004001909,0,False,-1.0,0,1.437,1437424000000.0,0.0,0.0,0.09860059,128.7518,7.492223,1,1.437,44754850000.0,0.0,0.0,0.1998122,184.5782,0.1056587,2,1.437,9.44,0.0,0.0,0.09199535,28.33279,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1909,1.150397,2.360923,1.0,0.003772951,0.1377878,0,False,-1.0,0,0.585,4193666000000.0,0.0,0.0,0.1934553,-82.32843,10.26557,1,0.585,76086000000.0,0.0,0.0,0.5967873,-113.6015,0.1061118,2,0.585,3.97,0.0,0.0,0.1468564,-114.6819,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1910,0.5442891,1.533076,1.0,-0.02066181,0.07727849,0,False,-1.0,0,2.032,4297974000000.0,0.0,0.0,0.2281942,2.193723,5.471379,1,2.032,88310020000.0,0.0,0.0,0.3033237,17.78387,0.08776571,2,2.032,5.23,0.0,0.0,0.2140178,-70.86637,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1911,0.3804568,0.710431,1.0,-0.03532954,0.01697873,0,False,-1.0,0,1.04,870653200000.0,0.0,0.0,0.4292313,111.6972,6.202855,1,1.04,18928190000.0,0.0,0.0,0.2426142,71.63009,0.03879391,2,1.04,8.12,0.0,0.0,0.1429166,-126.7746,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1912,0.3507872,0.8565751,1.0,0.001651549,0.03344629,0,False,-1.0,0,0.673,579237300000.0,0.0,0.0,0.3199105,152.6825,6.670241,1,0.673,20859280000.0,0.0,0.0,0.2391852,141.6922,0.05116916,2,0.673,7.43,0.0,0.0,0.2126046,-100.7257,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1913,1.277938,2.348315,1.0,0.03852282,-0.0551704,0,False,-1.0,0,0.686,14768390000000.0,0.0,0.0,0.2159009,117.876,4.18307,1,0.686,126690700000.0,0.0,0.0,0.545809,115.1919,0.09865971,2,0.686,5.97,0.0,0.0,0.0366373,-10.69473,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1914,0.3593151,0.645859,1.0,-0.01258134,0.0463501,0,False,-1.0,0,1.725,1226769000000.0,0.0,0.0,0.1289389,63.71665,3.08628,1,1.725,26108790000.0,0.0,0.0,0.4521165,57.46456,0.02471095,2,1.725,10.89,0.0,0.0,0.09764852,-171.2516,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1915,0.5099842,1.305957,1.0,-0.02697319,0.1034601,0,False,-1.0,0,1.044,2389602000000.0,0.0,0.0,0.2239816,98.35027,4.601435,1,1.044,81143430000.0,0.0,0.0,0.3656338,145.4178,0.09826744,2,1.044,3.37,0.0,0.0,0.1606235,108.0715,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1916,0.3573908,1.128061,1.0,-0.08979415,-0.01699612,0,False,-1.0,0,0.92,1391188000000.0,0.0,0.0,0.4488102,166.1958,5.051952,1,0.92,55123680000.0,0.0,0.0,0.5813216,161.2577,0.1110823,2,0.92,6.47,0.0,0.0,0.08298611,-14.79239,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
