event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
2117,3,2,"[49.21, 56.43, 0.26]","[2.7909, -3.7103, 0.0022]","[0.0, 5.965474, 7.545982]","[0.61453, -0.29473, -0.0042]","[-0.39756, 0.20268, 0.00301]","[0.3207, 0.659, 22.4594]","[-0.1159, -0.2152, 0.5709]","[0.2995, 0.5827, -0.129]","[0.00606, 0.04138, 19.06928]"
4568,3,2,"[48.03, 18.17, 0.28]","[2.9338, -2.6695, 0.0002]","[0.0, 20.71707, 30.31727]","[0.79397, -0.37497, -0.00205]","[-0.23233, -0.03961, 0.00061]","[0.3957, 0.6018, 84.9702]","[-0.156, -0.6294, -18.5924]","[0.0062, -0.3701, 28.335]","[0.016, 0.06492, 82.81209]"
4569,3,2,"[38.74, 17.66, 0.67]","[2.497, -0.5332, 0.0007]","[0.0, 12.97366, 14.93581]","[0.04357, -0.14595, -0.00285]","[-0.83678, 0.21226, 0.00584]","[0.3556, 1.0785, 44.1857]","[0.0976, 0.2302, 13.6078]","[0.072, 1.3523, 16.889]","[0.01666, 0.4344, 42.56497]"
2125,3,2,"[103.18, 199.99, 0.15]","[4.7717, -10.0742, 0.0]","[0.0, 19.06223, 66.82554]","[-0.74614, 0.57956, 0.00024]","[-0.06044, -0.05483, 0.0]","[0.3864, 0.4698, 334.495]","[-0.405, -0.5988, -38.2969]","[-0.0543, 0.1479, 0.2438]","[0.01862, 0.03788, 331.4522]"
4570,3,2,"[13.44, 34.7, 0.46]","[-0.3885, 2.4987, 0.0004]","[16.01582, 0.0, 17.04967]","[-0.08313, 0.42481, -0.00238]","[-0.00882, -0.00379, -0.0003]","[1.1958, 0.3197, 53.1396]","[-1.5844, -0.2484, -14.2619]","[-0.3195, -0.03, -5.7393]","[0.28708, 0.00339, 50.51403]"
2131,3,2,"[17.11, 8.33, 0.17]","[-2.0297, 7.2943, 0.0003]","[23.4306, 0.0, 46.3301]","[0.49832, -0.68061, 0.00163]","[-0.1486, -0.30152, -0.00045]","[0.6179, 0.3691, 60.7078]","[-0.7042, -0.3848, -0.951]","[0.3779, -0.336, 10.0201]","[0.05289, 0.01523, 56.0841]"
2133,3,2,"[114.78, 18.35, 0.81]","[5.4187, -0.5856, 0.0003]","[0.0, 117.3854, 143.3859]","[0.30886, -0.08963, -0.00109]","[-0.80641, 0.3135, 0.00424]","[0.3879, 0.9384, 60.84]","[0.3022, 1.0739, 15.6814]","[0.3142, 0.7471, 4.4489]","[0.01373, 0.19063, 58.09947]"
4571,2,2,"[8.98, 13.93]","[2.4203, -1.0364]","[0.0, 9.420412]","[-0.20239, -0.00673]","[-0.18017, 0.09956]","[0.3532, 0.7577]","[0.0391, 0.9771]","[-0.0602, 0.2626]","[0.00042, 0.03545]"
2138,3,2,"[8.21, 8.98, 0.09]","[1.8042, -3.8164, 0.0011]","[0.0, 15.43886, 19.60698]","[0.5033, -0.25227, -0.00405]","[-0.49284, 0.18413, 0.00268]","[0.233, 0.5287, 32.9272]","[0.0787, -0.0854, -8.6305]","[0.1668, 0.6905, 3.1711]","[0.0147, 0.14482, 31.53786]"
4572,3,2,"[33.05, 30.21, 3.41]","[-1.6863, 2.9728, 0.0158]","[46.54831, 0.0, 50.51724]","[0.17805, -0.46792, 0.01245]","[-0.20991, 0.58757, -0.01518]","[0.9288, 0.3538, 9.5913]","[0.0686, -0.0018, 0.9591]","[0.7703, 0.285, 3.0791]","[0.25142, 0.02411, 7.7256]"
4573,3,2,"[8.29, 18.56, 1.05]","[-0.5197, 1.88, 0.0064]","[30.96676, 0.0, 31.92457]","[0.15647, -0.85862, 0.01431]","[-0.06542, -0.01618, -0.00359]","[1.3414, 0.2493, 14.3989]","[-0.8574, -0.1703, -4.0532]","[1.1426, 0.0508, 2.3897]","[0.31278, 0.00552, 11.77356]"
4574,3,2,"[15.49, 19.44, 0.47]","[2.7528, -1.3182, 0.0012]","[0.0, 116.3756, 135.88]","[0.78802, -0.39864, -0.0089]","[-0.99132, 0.23646, 0.00512]","[0.3616, 0.8477, 33.1492]","[0.0256, -0.3905, -9.9765]","[0.209, 0.7933, 8.316]","[0.00839, 0.20353, 31.20052]"
4575,3,2,"[31.17, 16.53, 1.76]","[1.7584, -0.4248, 0.007]","[0.0, 99.81643, 102.1751]","[-1.09382, 0.18512, 0.0206]","[-0.20312, 0.01215, 0.0]","[0.2358, 1.1926, 13.6916]","[-0.1095, -1.4945, -3.9692]","[-0.0574, -0.3968, 1.3431]","[0.00521, 0.51865, 12.38502]"
4576,3,2,"[9.79, 11.8, 0.14]","[2.1898, -1.2513, 0.0002]","[0.0, 172.9548, 199.1971]","[-1.44355, 0.44488, 0.00476]","[-0.44706, 0.12551, 0.00208]","[0.2992, 0.8303, 71.1374]","[-0.1707, -0.8158, -3.6212]","[-0.0732, -0.403, -16.9897]","[0.00317, 0.08312, 67.85426]"
4577,3,2,"[8.62, 27.19, 1.04]","[-0.7491, 2.1184, 0.0038]","[25.20317, 0.0, 26.88675]","[-0.04215, -0.16817, -0.0012]","[-0.17873, 0.63589, -0.00947]","[1.116, 0.2694, 18.4842]","[1.0263, 0.2161, 5.4821]","[-0.5432, 0.1226, -3.3583]","[0.26899, 0.00686, 16.01716]"
4578,3,2,"[18.42, 23.88, 0.38]","[2.7739, -1.915, 0.0009]","[0.0, 25.63092, 36.93422]","[-0.87996, 0.35253, 0.00507]","[-0.58957, 0.45518, 0.00438]","[0.3212, 0.6477, 35.9205]","[-0.1216, 0.2965, -2.4311]","[-0.2925, -0.7472, -10.0368]","[0.04397, 0.17814, 33.97492]"
4579,3,2,"[17.78, 13.59, 0.1]","[2.0044, -1.2664, 0.0004]","[0.0, 22.44407, 27.24941]","[-0.31003, 0.10274, 0.00143]","[-0.20021, 0.08224, 0.00098]","[0.2631, 0.6128, 52.1683]","[-0.0746, -0.1732, -2.6681]","[-0.1965, -0.9537, -4.898]","[0.00975, 0.15166, 50.7178]"
4580,3,2,"[16.87, 9.22, 1.03]","[2.7166, -0.3021, 0.0041]","[0.0, 63.11775, 65.12757]","[1.31588, -0.23468, -0.02261]","[0.70173, -0.14711, -0.01098]","[0.3123, 1.3512, 17.4565]","[-0.1016, -0.5566, -4.4817]","[-0.3074, -1.7673, -3.0448]","[0.0068, 0.45939, 15.41147]"
2188,3,2,"[10.79, 12.57, 0.01]","[-3.49, 2.5457, 0.0001]","[97.38597, 0.0, 152.3585]","[-0.07996, 1.38618, -0.00083]","[-0.91847, 1.10269, -0.0012]","[0.6177, 0.342, 133.2842]","[0.6576, 0.0216, 10.8332]","[-0.0144, -0.1991, 22.3562]","[0.01794, 0.00139, 128.0641]"
4581,3,2,"[12.55, 15.46, 0.28]","[-0.5446, 2.6027, 0.0003]","[242.0755, 0.0, 265.0742]","[0.50634, -1.82001, 0.0087]","[0.10146, 0.50748, 0.00082]","[1.0828, 0.2553, 65.7143]","[-1.2621, -0.3913, -13.7808]","[-0.5002, 0.1311, -7.2353]","[0.10583, 0.00241, 60.22329]"
2195,4,4,"[51.75, 79.07, 31.67, 85.27]","[5.107, -12.1134, -1.6973, 11.8204]","[0.0, 35.48014, 144.3639, 33.65504]","[-0.44146, -1.28299, 0.67708, -1.11224]","[-1.45472, 0.25102, 0.22172, 0.86933]","[0.4861, 0.6474, 0.9425, 0.5768]","[0.163, -0.4479, -0.6247, -0.1796]","[-0.2041, 0.0791, -0.4497, 0.2494]","[0.002, 0.00421, 0.02215, 0.00314]"
