event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
2117,0.4814302,1.08952,0.7521914,0.5830846,-0.8455641,0,True,0.3151543,2,0.223,6344507000000.0,68.92289,-104.6934,0.1957415,80.42965,5.140604,3,0.223,143305500000.0,68.92289,-104.6934,0.3248612,95.48981,0.7494225,4,0.223,4.6,0.0,0.0,0.02238221,167.4797,0.0,0,0.223,306023400000.0,0.0,0.0,0.1485307,135.7802,46.58677,1,0.223,7227619000.0,0.0,0.0,0.4675886,148.406,0.09891499
4568,0.5209368,1.184724,0.909911,0.8699161,0.8980216,0,True,0.3040155,2,0.715,12025480000000.0,3.503256,4.634753,0.4139568,144.4586,3.365515,3,0.715,164403800000.0,3.503256,4.634753,0.1819985,155.9651,0.1239558,4,0.715,9.33,0.0,0.0,0.03424541,155.8263,0.0,0,0.715,454536000000.0,0.0,0.0,0.1562921,25.92656,13.83186,1,0.715,22916580000.0,0.0,0.0,0.49289,51.90488,0.06661968
4569,0.440826,1.066024,0.2135291,-1.946522,-0.1638319,0,True,0.3276181,2,0.345,30676770000000.0,-10.17863,0.9703266,0.2005604,-121.6555,4.178035,3,0.345,228929200000.0,-10.17863,0.9703266,0.1551954,-175.9114,0.6356917,4,0.345,2.75,0.0,0.0,0.0845022,84.03285,0.0,0,0.345,397733300000.0,0.0,0.0,0.319422,-135.761,20.36669,1,0.345,13819240000.0,0.0,0.0,0.4784167,-156.1904,0.07650802
2125,0.653673,1.325716,0.4736572,-0.162735,-1.369308,0,True,0.2917794,2,0.818,16993560000000.0,-0.6752828,-48.08529,0.2270696,-167.1339,3.519885,3,0.818,111546700000.0,-0.6752828,-48.08529,0.09938767,-112.6078,0.1384154,4,0.818,2.41,0.0,0.0,0.07602704,11.52088,0.0,0,0.818,1450680000000.0,0.0,0.0,0.211966,99.10466,12.92188,1,0.818,56870070000.0,0.0,0.0,0.01708559,71.10547,0.05468843
4570,0.2336326,0.5079626,0.1554852,0.7870234,-0.2288124,0,True,0.2995909,2,0.893,5188457000000.0,5.250093,-1.483922,0.2294547,109.172,4.76988,3,0.893,90469200000.0,5.250093,-1.483922,0.4862293,102.5744,0.1354815,4,0.893,2.26,0.0,0.0,0.07769583,149.3564,0.0,0,0.893,287523100000.0,0.0,0.0,0.185187,7.465615,23.46094,1,0.893,5497658000.0,0.0,0.0,0.1341416,-33.02314,0.02320022
2131,0.6510684,1.188815,0.2782623,0.3330318,-0.157643,0,True,0.280157,2,0.932,1690524000000.0,5.716125,-1.661356,0.2084384,-63.11815,4.223275,3,0.932,71254810000.0,5.716125,-1.661356,0.2862803,-9.901187,0.05174334,4,0.932,6.79,0.0,0.0,0.05182611,-77.38329,0.0,0,0.932,684555300000.0,0.0,0.0,0.1892838,-137.2582,19.98413,1,0.932,39876670000.0,0.0,0.0,0.3151474,-159.5701,0.1019004
2133,0.5963507,1.188688,0.1080736,-0.4662808,0.361142,0,True,0.2745075,2,1.623,5595555000000.0,-6.625238,6.407726,0.3396132,114.5166,3.815979,3,1.623,80529520000.0,-6.625238,6.407726,0.1103222,121.5306,0.04136108,4,1.623,4.81,0.0,0.0,0.01483923,37.52684,0.0,0,1.623,1445760000000.0,0.0,0.0,0.2770032,1.92863,11.07326,1,1.623,63884540000.0,0.0,0.0,0.1848967,-18.28443,0.0797871
4571,0.1359954,0.3413704,0.4282091,0.1964405,-0.2089405,0,True,0.2713636,2,2.385,726462600000.0,2.19488,-1.90621,0.2096689,172.2521,4.916235,3,2.385,8624647000.0,2.19488,-1.90621,0.4153588,171.4504,0.01644486,4,2.385,8.54,0.0,0.0,0.1386545,-150.93,0.0,0,2.385,253800800000.0,0.0,0.0,0.2240622,-153.9369,10.7452,1,2.385,2904264000.0,0.0,0.0,0.5652998,-150.0379,0.0048156
2138,0.519362,1.014479,0.472744,-0.4032278,-0.3639049,0,True,0.2926625,2,0.558,2225211000000.0,-13.4297,-4.424344,0.3578339,98.75579,5.480348,3,0.558,73209910000.0,-13.4297,-4.424344,0.4640768,42.66674,0.1842045,4,0.558,10.6,0.0,0.0,0.1421742,155.7431,0.0,0,0.558,408001000000.0,0.0,0.0,0.2595718,108.7585,13.58552,1,0.558,21873900000.0,0.0,0.0,0.4652581,101.3598,0.1013381
4572,0.4539337,1.026286,0.5672402,-0.13369,-1.578478,0,True,0.2855414,2,1.237,12090570000000.0,0.9350287,-14.24798,0.1687826,-135.9523,6.882106,3,1.237,83553230000.0,0.9350287,-14.24798,0.3117687,-88.44069,0.09067885,4,1.237,5.66,0.0,0.0,0.1407152,-85.42965,0.0,0,1.237,827474800000.0,0.0,0.0,0.1954005,-17.5383,12.90909,1,1.237,33659420000.0,0.0,0.0,0.174258,16.13489,0.1438709
4573,0.4433687,1.016279,0.2764299,-0.1680764,-0.549408,0,True,0.2938191,2,0.687,2670001000000.0,3.032081,-10.43156,0.4343435,-154.794,5.186063,3,0.687,84889480000.0,3.032081,-10.43156,0.285414,-185.2978,0.1056816,4,0.687,10.91,0.0,0.0,0.06871048,-165.3545,0.0,0,0.687,366033100000.0,0.0,0.0,0.2741372,36.44317,24.24973,1,0.687,13928550000.0,0.0,0.0,0.2002032,152.476,0.08241897
4574,0.9072123,1.70751,0.4788717,-0.8664668,-0.4813503,0,True,0.280238,2,0.891,14162490000000.0,-20.17737,-0.9547277,0.5228549,-100.9027,3.946937,3,0.891,132431400000.0,-20.17737,-0.9547277,0.1929098,-134.8783,0.07021246,4,0.891,2.32,0.0,0.0,0.0560379,130.8702,0.0,0,0.891,3724085000000.0,0.0,0.0,0.0431186,153.3863,10.58496,1,0.891,85579980000.0,0.0,0.0,0.4505047,86.07575,0.1318072
4575,0.4961822,1.296925,0.2416118,0.3046749,0.2813787,0,True,0.2875096,2,0.777,9527878000000.0,14.42904,11.70057,0.4926199,-23.57757,3.354172,3,0.777,90394350000.0,14.42904,11.70057,0.4543905,-73.77055,0.1456379,4,0.777,1.85,0.0,0.0,0.1154052,-166.7167,0.0,0,0.777,1561053000000.0,0.0,0.0,0.05583565,15.97661,12.84175,1,0.777,57496560000.0,0.0,0.0,0.4525391,31.55333,0.1225103
4576,0.8329904,1.97332,0.5713937,-1.658596,0.2966707,0,True,0.2778738,2,1.144,6953721000000.0,-11.03917,4.981529,0.3049793,-172.3691,6.769299,3,1.144,65914440000.0,-11.03917,4.981529,0.4615038,-104.2311,0.05656271,4,1.144,6.25,0.0,0.0,0.09387369,-171.8065,0.0,0,1.144,1996311000000.0,0.0,0.0,0.1031999,4.599084,12.3913,1,1.144,64478370000.0,0.0,0.0,0.3358553,-18.65768,0.08494417
4577,0.4057237,0.8243084,0.3536176,1.042638,1.213431,0,True,0.3007862,2,0.834,11529900000000.0,20.94152,17.3689,0.3696597,-60.46454,4.640384,3,0.834,179526500000.0,20.94152,17.3689,0.4751427,-63.92866,0.2553897,4,0.834,5.42,0.0,0.0,0.0303678,44.70646,0.0,0,0.834,448662200000.0,0.0,0.0,0.4048238,129.089,19.86428,1,0.834,13326650000.0,0.0,0.0,0.3027335,132.4664,0.07151802
4578,0.7696048,1.615722,0.6903836,0.1581482,1.254898,0,True,0.3056667,2,0.408,17605240000000.0,28.31412,101.0517,0.4405628,-21.07107,4.302642,3,0.408,190298400000.0,28.31412,101.0517,0.6131879,-89.24025,0.6237317,4,0.408,2.38,0.0,0.0,0.09068865,-136.9306,0.0,0,0.408,1071654000000.0,0.0,0.0,0.2932936,163.6589,17.98649,1,0.408,53669470000.0,0.0,0.0,0.2285495,119.1724,0.1748165
4579,0.212885,0.5001568,0.6318166,0.04329928,0.3420555,0,True,0.277357,2,1.605,2377639000000.0,1.898907,4.802935,0.1698764,-90.65123,3.785757,3,1.605,74543980000.0,1.898907,4.802935,0.08766467,-108.2997,0.0580906,4,1.605,3.89,0.0,0.0,0.04715855,48.75658,0.0,0,1.605,484810900000.0,0.0,0.0,0.3687673,-150.6496,9.54833,1,1.605,13101360000.0,0.0,0.0,0.2327143,-140.1689,0.03624698
4580,0.9024896,1.767703,0.111219,1.407625,2.417067,0,True,0.3096462,2,0.408,15020360000000.0,5.467873,10.19828,0.2819657,-91.55929,5.996368,3,0.408,233628600000.0,5.467873,10.19828,0.6589286,-115.1078,1.111603,4,0.408,9.92,0.0,0.0,0.00968786,-35.44125,0.0,0,0.408,727666400000.0,0.0,0.0,0.1021264,-60.43744,22.40789,1,0.408,45142510000.0,0.0,0.0,0.4402858,-120.6029,0.1606962
2188,1.17117,2.496935,0.7294447,-1.793904,1.000158,0,True,0.2882585,2,0.719,18506880000000.0,-17.03095,6.528309,0.03029568,80.85111,4.412677,3,0.719,143783400000.0,-17.03095,6.528309,0.335522,119.1024,0.2501852,4,0.719,5.04,0.0,0.0,0.1539983,13.66015,0.0,0,0.719,2492301000000.0,0.0,0.0,0.1995741,67.17927,17.5797,1,0.719,67789230000.0,0.0,0.0,0.522257,40.25044,0.0912808
