event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0136,0.9646414,1.50157,0.5704761,-0.1756298,-0.2116756,0,False,-1.0,0,0.425,1617760000000.0,0.0,0.0,0.1784173,43.44048,6.331628,1,0.425,82562700000.0,0.0,0.0,0.4207686,81.02928,0.1040923,2,0.425,1.86,0.0,0.0,0.1149648,-91.78458,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0137,0.7140946,1.262686,0.2945443,0.7489793,-1.505529,0,True,0.3009267,2,0.579,11555980000000.0,28.43484,-36.23744,0.5086756,47.2976,6.325845,3,0.579,139565000000.0,28.43484,-36.23744,0.4070396,39.0149,0.3455065,4,0.579,8.0,0.0,0.0,0.1202871,178.3853,0.0,0,0.579,763402100000.0,0.0,0.0,0.3255391,-132.2502,24.59351,1,0.579,30300510000.0,0.0,0.0,0.3345449,-131.1688,0.1767281
0138,0.7790769,1.739557,0.375561,-1.198808,0.5965307,0,True,0.2721581,2,1.735,5852892000000.0,-4.925454,1.779103,0.1390874,-7.802261,5.660315,3,1.735,111595000000.0,-4.925454,1.779103,0.2427405,58.78937,0.04680036,4,1.735,6.66,0.0,0.0,0.145039,-31.43057,0.0,0,1.735,2543887000000.0,0.0,0.0,0.2326466,-164.4177,8.642492,1,1.735,66841550000.0,0.0,0.0,0.4934813,-205.678,0.04243286
0139,0.6824717,1.822703,0.2381653,-0.5849321,-0.0183842,0,False,-1.0,0,0.534,1516455000000.0,0.0,0.0,0.1074415,161.2992,10.52684,1,0.534,71164820000.0,0.0,0.0,0.4292421,195.927,0.09857117,2,0.534,7.23,0.0,0.0,0.1372085,131.1558,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0140,0.5638389,1.246969,0.4092838,-2.376415,-0.1618008,0,True,0.3144348,2,0.583,40642020000000.0,-102.5872,-23.37129,0.3780768,102.2647,4.152527,3,0.583,240039900000.0,-102.5872,-23.37129,0.4793767,124.4539,0.423233,4,0.583,2.14,0.0,0.0,0.03711481,155.5758,0.0,0,0.583,645507800000.0,0.0,0.0,0.4860737,135.4827,35.39705,1,0.583,22176520000.0,0.0,0.0,0.2280857,189.2585,0.1105397
0141,3.207818,5.480719,0.1212208,0.551021,-1.46603,0,False,-1.0,0,0.69,29281470000000.0,0.0,0.0,0.6612151,79.50718,6.452509,1,0.69,218375400000.0,0.0,0.0,0.3068846,69.45396,0.1694154,2,0.69,8.23,0.0,0.0,0.1066767,-124.6006,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0142,1.255247,2.774049,0.1343566,0.07215348,0.8093562,0,False,-1.0,0,0.701,15631350000000.0,0.0,0.0,0.3814364,136.0253,6.106868,1,0.701,154187000000.0,0.0,0.0,0.3778965,145.0581,0.2607879,2,0.701,4.82,0.0,0.0,0.0351492,41.47272,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0143,2.428722,4.746005,0.7557582,-0.5406983,-0.3707074,0,False,-1.0,0,0.775,72145240000000.0,0.0,0.0,0.4471359,-90.75553,3.241984,1,0.775,321653600000.0,0.0,0.0,0.1742341,-142.8636,0.5180887,2,0.775,8.16,0.0,0.0,0.1810769,-169.9281,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0144,0.760117,1.861683,0.1140941,2.538154,-1.640109,0,True,0.294712,2,0.795,15103390000000.0,3.823899,-1.777642,0.5685686,122.6918,10.29926,3,0.795,87298010000.0,3.823899,-1.777642,0.289928,151.1499,0.1209376,4,0.795,5.48,0.0,0.0,0.1071008,170.2282,0.0,0,0.795,1105640000000.0,0.0,0.0,0.2911335,177.3473,10.44327,1,0.795,46773740000.0,0.0,0.0,0.1795084,220.1355,0.08192408
0145,0.7190629,1.256026,0.1887618,-0.2553457,-0.213579,0,False,-1.0,0,0.935,2355142000000.0,0.0,0.0,0.3657475,134.509,5.287414,1,0.935,69554310000.0,0.0,0.0,0.3794576,103.2916,0.08264595,2,0.935,4.18,0.0,0.0,0.1190251,-105.1553,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0146,0.6331983,1.671524,0.4114219,-0.2041365,-0.3743438,0,False,-1.0,0,1.167,3752657000000.0,0.0,0.0,0.2149902,129.695,3.43515,1,1.167,67967540000.0,0.0,0.0,0.1182582,157.9255,0.08006735,2,1.167,16.8,0.0,0.0,0.1946606,54.3244,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
