event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0019,3,1,"[8.09, 2.58, 0.29]","[3.7886, -1.468, 0.002]","[0.0, 76.3924, 121.5029]","[-1.10683, 0.67011, 0.00742]","[-0.57878, -0.32165, -0.00216]","[0.4051, 0.7374, 23.9744]","[-0.2021, -0.5229, -3.7332]","[-0.2217, 0.6905, 3.9314]","[0.05375, 0.25216, 22.87267]"
0001,3,2,"[2.73, 19.83, 20.53]","[5.3562, -181.5845, 179.5115]","[0.0, 118.1609, 118.158]","[-5.78516, 0.37916, 0.53452]","[3.90262, 6.3675, 6.38091]","[0.4652, 0.5621, 0.5569]","[0.0746, 0.4365, 0.4312]","[0.3062, 0.082, 0.069]","[0.00171, 0.00785, 0.00773]"
0022,3,1,"[5.88, 14.7, 0.01]","[-0.7288, 5.0582, 0.0]","[69.77747, 0.0, 145.0252]","[-0.08851, -0.10641, 0.00089]","[-0.41287, 0.80188, 0.00124]","[0.5072, 0.3297, 231.2826]","[1.1532, 0.4986, -20.6884]","[-0.534, 0.0548, -21.951]","[0.06575, 0.01146, 229.8917]"
0102,3,1,"[8.09, 0.06, 3.38]","[1.5812, 0.0001, -0.1984]","[0.0, 114.5481, 93.57172]","[0.12077, -0.00046, -0.03537]","[-0.29592, 0.00116, 0.0933]","[0.1501, 135.1826, 0.745]","[0.2303, 32.5294, 1.7221]","[0.1921, 32.6118, 1.4624]","[0.02645, 134.789, 0.5655]"
0024,3,1,"[10.5, 3.06, 0.19]","[6.5649, -5.1803, 0.0037]","[0.0, 20.4428, 46.57407]","[0.57002, 0.54199, 0.00057]","[-1.14278, 0.82308, 0.00506]","[0.4552, 0.6375, 17.4787]","[0.2735, 0.2509, 1.1629]","[0.2641, -0.5114, -0.9596]","[0.06938, 0.1378, 15.73503]"
0103,3,1,"[7.31, 9.14, 0.03]","[5.4207, -4.2367, 0.0001]","[0.0, 30.1885, 76.36017]","[0.23798, -0.26828, -0.00035]","[-1.07187, 0.75786, 0.00124]","[0.3954, 0.5304, 139.1898]","[0.4052, 0.5422, 34.2279]","[0.13, 0.4032, 25.2398]","[0.04624, 0.10901, 137.3711]"
0025,3,1,"[8.06, 6.05, 0.2]","[3.0299, -1.6224, 0.003]","[0.0, 39.61196, 49.79384]","[0.74173, -0.3765, -0.00873]","[-0.38723, 0.09081, 0.00355]","[0.3389, 0.6747, 19.78]","[-0.2576, -0.8097, -1.6189]","[0.2017, 0.2579, 3.9381]","[0.03819, 0.21004, 18.41157]"
0104,3,1,"[8.68, 1.41, 0.01]","[2.2993, -2.0071, 0.0]","[0.0, 46.4982, 94.29474]","[0.06596, -0.0351, -8e-05]","[-0.48871, 0.29812, 0.00056]","[0.2309, 0.3587, 195.5233]","[0.3807, 0.9289, 19.685]","[0.1084, 0.2161, 7.9642]","[0.02796, 0.10798, 194.6522]"
0105,3,1,"[9.3, 6.8, 4.2]","[1.4762, -1.0257, 0.3958]","[0.0, 19.57449, 19.59036]","[0.11223, -0.03836, -0.02129]","[0.49789, -0.07015, -0.04112]","[0.1614, 1.793, 3.1843]","[0.1368, 0.6289, 0.7056]","[-0.0843, -1.0992, -1.3218]","[0.03911, 1.53043, 2.8813]"
0026,3,1,"[9.28, 0.06, 0.5]","[4.1895, 0.0003, -0.0309]","[0.0, 919.354, 906.9596]","[-3.80435, 0.02424, 0.26201]","[0.80828, -0.00109, -0.00569]","[0.4488, 60.1543, 3.266]","[-0.2478, -24.778, -6.1245]","[0.0607, 2.7684, 0.0665]","[0.00185, 58.48315, 2.15745]"
0027,5,1,"[6.0, 2.27, 10.44, 6.84, 0.03]","[1.9659, -3.8453, 5.8164, -2.4489, 0.0001]","[0.0, 20.73124, 20.07483, 21.93042, 61.54211]","[-0.14591, -0.01646, 0.09449, 0.14768, 0.00016]","[0.1427, -0.14428, -0.12431, 0.01905, -0.00011]","[0.2026, 0.2969, 0.2606, 0.3623, 131.2186]","[0.0249, 0.8184, 0.2451, -0.8331, -21.1051]","[0.3558, -0.2907, 0.561, -0.3478, 8.3895]","[0.04212, 0.08669, 0.07833, 0.17444, 130.5346]"
0029,3,1,"[2.91, 8.55, 0.24]","[-2.5305, 3.945, 0.0186]","[2.904754, 0.0, 3.414084]","[-0.10295, 0.1266, -0.00362]","[-0.02244, 0.17262, -0.00201]","[0.9615, 0.423, 8.7876]","[-0.5917, 0.1183, -1.8916]","[-0.2157, -0.2557, -1.7945]","[0.12048, 0.01822, 6.3989]"
0106,3,1,"[22.21, 7.65, 0.49]","[1.3685, -0.1488, 0.009]","[0.0, 34.96487, 35.49003]","[0.07836, -0.01564, -0.00325]","[0.36727, -0.06557, -0.01329]","[0.0911, 1.992, 13.3126]","[0.2893, 2.5101, 5.5653]","[-0.1085, -1.1855, -3.1152]","[0.0441, 1.91686, 13.21117]"
0036,3,1,"[12.51, 5.44, 0.34]","[3.0685, -1.4654, 0.0024]","[0.0, 34.11977, 49.92374]","[-0.2623, 0.47831, 0.00646]","[-0.99459, 0.37859, 0.00709]","[0.305, 0.6388, 22.1725]","[0.3362, -0.1702, -2.1133]","[-0.2099, -0.8854, -5.039]","[0.06444, 0.33347, 21.45071]"
0107,3,1,"[5.92, 8.39, 0.11]","[1.749, -2.338, 0.0006]","[0.0, 25.49071, 34.04684]","[0.51789, -0.21411, -0.00288]","[-0.38526, 0.20993, 0.00238]","[0.2053, 0.4752, 41.0385]","[-0.0055, 0.0634, -2.177]","[0.2446, 0.8362, 5.2389]","[0.02517, 0.17596, 39.88674]"
0037,3,1,"[10.28, 4.01, 0.29]","[3.1562, -1.0533, 0.0031]","[0.0, 144.2799, 160.456]","[0.96635, -0.33644, -0.0131]","[-0.48608, 0.17771, 0.00672]","[0.3549, 0.9892, 20.3877]","[-0.1766, -0.5321, -4.3476]","[0.2612, 0.8163, 5.7233]","[0.01496, 0.20952, 17.73139]"
0038,3,1,"[13.23, 1.09, 0.03]","[3.0287, -0.3688, 0.0001]","[0.0, 75.46429, 92.47489]","[-0.09734, 0.14515, 0.00161]","[-1.16568, 0.33412, 0.00277]","[0.3321, 0.8302, 141.2092]","[0.3246, 1.2554, 0.5445]","[-0.1028, -1.079, -50.2694]","[0.00538, 0.21365, 139.3235]"
0039,3,1,"[3.09, 11.69, 0.02]","[-0.567, 6.3746, 0.0]","[32.02105, 0.0, 60.93938]","[-0.06575, 0.26449, -6e-05]","[0.21344, -0.29, 0.00044]","[0.4308, 0.2669, 286.0336]","[1.0812, 0.1207, 75.1918]","[0.9585, 0.605, -41.071]","[0.11836, 0.01533, 285.1245]"
0040,3,2,"[36.34, 18.93, 0.46]","[12.6359, -3.965, 0.0057]","[0.0, 351.9699, 424.034]","[2.53507, -1.94734, -0.03069]","[-3.30032, 0.57894, 0.0107]","[0.5654, 0.9529, 14.3975]","[0.0336, -0.4033, -1.9978]","[0.3295, 0.303, -0.8611]","[0.00241, 0.0198, 11.58324]"
