event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[2.73, 19.83, 20.53]","[5.3562, -181.5845, 179.5115]","[0.0, 118.1609, 118.158]","[-5.78516, 0.37916, 0.53452]","[3.90262, 6.3675, 6.38091]","[0.4652, 0.5621, 0.5569]","[0.0746, 0.4365, 0.4312]","[0.3062, 0.082, 0.069]","[0.00171, 0.00785, 0.00773]"
0002,3,2,"[9.5, 12.46, 0.15]","[-2.1012, 3.7798, 0.0008]","[5.568014, 0.0, 11.67537]","[0.42287, -0.4516, 0.00247]","[-0.05212, 0.33828, -0.00064]","[0.6791, 0.3576, 42.4358]","[-0.7499, 0.01, -19.2341]","[0.1288, 0.3847, 7.1243]","[0.36163, 0.07867, 41.35255]"
0003,3,2,"[13.31, 12.16, 0.18]","[-3.7742, 2.1347, 0.0005]","[104.3258, 0.0, 146.6291]","[0.55117, -1.54559, 0.00558]","[-0.4399, 0.21391, -0.00054]","[0.5247, 0.3071, 46.1612]","[-0.0018, -0.093, -4.1898]","[0.7006, 0.055, -5.1]","[0.08751, 0.01232, 44.98809]"
0004,3,2,"[13.43, 8.53, 0.4]","[7.2134, -1.4839, 0.0065]","[0.0, 8.423697, 11.97417]","[0.01737, -0.07947, -0.00175]","[-0.46321, 0.27315, 0.00708]","[0.3421, 0.6476, 13.7194]","[0.5348, 0.7388, 2.5971]","[0.0909, 0.5023, 1.2771]","[0.1545, 0.41482, 13.13055]"
0005,3,2,"[10.37, 13.11, 0.08]","[2.9664, -5.5911, 0.0001]","[0.0, 67.94767, 141.2441]","[0.30182, -0.11656, -0.00032]","[-0.54649, 0.39186, 0.00085]","[0.3464, 0.4993, 124.4746]","[0.1433, 0.5529, 30.4099]","[0.2638, 0.352, 13.2864]","[0.02937, 0.10799, 122.9156]"
0006,3,2,"[11.4, 19.05, 0.03]","[-1.8601, 5.5692, 0.0001]","[113.7068, 0.0, 214.7912]","[-1.01786, 1.67823, -0.00316]","[-0.07146, -0.0646, 6e-05]","[0.6008, 0.4336, 109.2614]","[-0.8176, -0.3755, -27.0853]","[-0.1689, 0.0147, 6.8015]","[0.13126, 0.03717, 108.0106]"
0007,3,2,"[15.61, 9.3, 0.25]","[2.0566, -0.8373, 0.0014]","[0.0, 12.06187, 15.64255]","[0.46471, -0.23925, -0.00499]","[-1.10338, 0.52467, 0.01149]","[0.1451, 0.4604, 27.5228]","[0.3446, 0.7954, 1.7436]","[0.3549, 0.9235, 1.7048]","[0.06129, 0.34794, 27.25898]"
0008,3,2,"[8.76, 19.63, 0.07]","[3.324, -8.51, 0.0002]","[0.0, 71.00231, 124.2523]","[1.90818, -1.16363, -0.00339]","[-0.6145, 0.11901, 0.00149]","[0.3981, 0.551, 83.0022]","[-0.2327, -0.5649, 2.4248]","[0.0854, 0.0003, 19.8227]","[0.01281, 0.04517, 81.02161]"
0009,3,2,"[8.12, 8.8, 0.01]","[1.7702, -3.3253, 0.0]","[0.0, 77.97033, 154.9592]","[-0.94102, 0.50231, 0.0005]","[-0.64374, 0.36967, 0.00035]","[0.2174, 0.3466, 446.4262]","[-0.0783, -0.244, -18.1263]","[-0.2036, -0.8174, -56.6344]","[0.01344, 0.07378, 445.316]"
0010,3,2,"[9.73, 10.39, 0.02]","[-2.1686, 3.65, 0.0001]","[21.02572, 0.0, 74.45862]","[-0.00926, -0.40736, 0.00011]","[-0.39354, 0.27445, -0.00036]","[0.4558, 0.3036, 131.9441]","[0.8648, -0.1779, 34.3358]","[-0.0971, 0.4236, 11.1296]","[0.17394, 0.04805, 131.0495]"
0011,3,2,"[16.74, 8.82, 0.7]","[1.7856, -0.4864, 0.0031]","[0.0, 49.18793, 53.89354]","[0.18532, -0.0112, -0.00041]","[-0.6795, 0.21867, 0.01198]","[0.1873, 0.7916, 19.8359]","[0.2573, 1.4104, 4.8966]","[0.185, 0.3315, -2.2258]","[0.02724, 0.53161, 19.3304]"
0012,3,2,"[9.53, 18.13, 0.17]","[-0.8825, 3.7952, 0.0008]","[20.86854, 0.0, 31.1305]","[-0.16691, 0.01169, -0.00185]","[-0.24162, 0.50663, -0.00301]","[0.6767, 0.2871, 38.5743]","[0.4617, 0.4931, 1.8274]","[-1.0122, -0.0398, -11.5656]","[0.32114, 0.05223, 37.49141]"
0013,3,2,"[9.13, 9.52, 0.08]","[-6.467, 2.2033, 0.0002]","[28.68433, 0.0, 55.89926]","[-0.29308, 0.51695, -0.00106]","[-0.15776, 0.12915, -0.00013]","[0.3161, 0.2281, 80.1139]","[-0.3372, -0.277, -2.4776]","[-0.7132, -0.2554, 19.497]","[0.0665, 0.02179, 79.29696]"
0014,3,2,"[10.82, 12.17, 0.87]","[-0.7819, 2.1884, 0.0048]","[50.76778, 0.0, 60.06389]","[0.22437, -0.64535, 0.01036]","[-0.21769, 0.26983, -0.00867]","[0.7515, 0.2184, 16.108]","[-0.0753, -0.273, 0.5016]","[1.1554, 0.2818, 4.5419]","[0.56965, 0.07926, 15.79124]"
0015,3,2,"[10.23, 13.85, 0.16]","[3.7814, -5.1219, 0.0015]","[0.0, 2928.225, 3164.885]","[-6.26748, 2.46912, 0.02659]","[-0.52087, 1.188, 0.0089]","[0.3884, 0.8885, 28.5034]","[-0.3121, -0.2549, -7.2538]","[-0.1104, -0.3778, -6.3904]","[0.0001, 0.00131, 23.20614]"
