event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,3.084129,6.788247,0.9885842,-1.017868,2.954733,0,False,-1.0,0,0.757,98190690000000.0,0.0,0.0,0.3840325,15.74889,4.545388,1,0.757,514824400000.0,0.0,0.0,0.4316269,-1.70136,0.5511716,2,0.757,5.91,0.0,0.0,0.1406148,-162.4793,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.6607035,0.9576518,0.5558898,-0.06737318,0.02877251,0,False,-1.0,0,0.462,1279145000000.0,0.0,0.0,0.05424084,58.36256,9.114525,1,0.462,29083230000.0,0.0,0.0,0.5754474,82.54359,0.131252,2,0.462,2.9,0.0,0.0,0.09659411,-25.56774,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.8405769,2.196331,0.5656153,-0.3379158,0.08278246,0,False,-1.0,0,0.664,17153230000000.0,0.0,0.0,0.3469153,-175.1524,4.615782,1,0.664,148549300000.0,0.0,0.0,0.3515023,-213.778,0.1923404,2,0.664,1.99,0.0,0.0,0.1107394,171.9276,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.3825709,0.7427069,0.2057167,0.02684209,-0.1045991,0,False,-1.0,0,0.511,915017200000.0,0.0,0.0,0.01681396,-41.76926,8.311005,1,0.511,46705430000.0,0.0,0.0,0.05091761,1.39311,0.2125278,2,0.511,1.38,0.0,0.0,0.06982264,25.84775,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.407234,1.027398,0.5305542,0.051441,-0.09873509,0,False,-1.0,0,1.636,5016433000000.0,0.0,0.0,0.03810407,57.57119,6.568409,1,1.636,97540040000.0,0.0,0.0,0.2893959,1.073162,0.06537643,2,1.636,2.6,0.0,0.0,0.09673506,-61.12559,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,1.488181,2.696108,0.3339913,0.345199,0.01895557,0,False,-1.0,0,0.662,44290910000000.0,0.0,0.0,0.4229652,-75.87374,3.005478,1,0.662,250699900000.0,0.0,0.0,0.2376477,-106.9671,0.1895527,2,0.662,2.22,0.0,0.0,0.1020122,-171.7691,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.9728698,1.773724,0.4071308,0.1902111,-0.4319381,0,False,-1.0,0,0.109,970542000000.0,0.0,0.0,0.400516,-103.4711,9.157744,1,0.109,43952580000.0,0.0,0.0,0.2499889,-64.93084,0.3051405,2,0.109,1.63,0.0,0.0,0.05170673,-165.3498,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,1.233802,3.158175,0.3906006,0.3523856,-0.06797272,0,False,-1.0,0,0.388,13294700000000.0,0.0,0.0,0.1573634,14.82388,8.86284,1,0.388,141362600000.0,0.0,0.0,0.3892416,23.11483,0.2032905,2,0.388,1.91,0.0,0.0,0.0980037,140.6841,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.7602905,1.763574,0.5323485,-0.2507339,-0.1742588,0,False,-1.0,0,0.893,2786507000000.0,0.0,0.0,0.06411371,-51.97115,4.303742,1,0.893,106070400000.0,0.0,0.0,0.01360229,-25.70073,0.0628259,2,0.893,4.48,0.0,0.0,0.1560746,-145.7644,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.366837,0.777621,0.5941256,-0.01679138,0.04114584,0,False,-1.0,0,1.558,7929778000000.0,0.0,0.0,0.2528354,-51.7232,2.43698,1,1.558,81211240000.0,0.0,0.0,0.3221863,3.341003,0.07795172,2,1.558,3.15,0.0,0.0,0.05925139,172.8598,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0011,0.4299293,0.9194214,0.2724094,0.07301753,-0.3152217,0,False,-1.0,0,0.647,2362663000000.0,0.0,0.0,0.2133143,-39.69545,6.104419,1,0.647,68186930000.0,0.0,0.0,0.3751504,-49.09248,0.1343404,2,0.647,1.27,0.0,0.0,0.01914703,-126.3955,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0012,0.4335119,0.7692781,0.2325336,0.05484522,0.12555,0,False,-1.0,0,0.921,1101490000000.0,0.0,0.0,0.366021,-61.64531,7.862695,1,0.921,45713800000.0,0.0,0.0,0.3056372,-54.25925,0.1080514,2,0.921,2.7,0.0,0.0,0.06688924,168.2883,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0013,0.3458116,0.8593456,0.3406967,0.1126767,0.04308868,0,False,-1.0,0,1.087,3156014000000.0,0.0,0.0,0.3329418,27.38829,4.330007,1,1.087,64772420000.0,0.0,0.0,0.5192946,37.32894,0.08285844,2,1.087,2.28,0.0,0.0,0.07592826,156.8281,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0014,0.4430611,0.997045,0.3573007,-0.2069032,0.1340043,0,False,-1.0,0,0.327,26740960000000.0,0.0,0.0,0.379968,-158.4831,6.182244,1,0.327,162863800000.0,0.0,0.0,0.228362,-165.5345,0.2138888,2,0.327,0.41,0.0,0.0,0.01026117,-10.31207,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0015,4.11273,8.902164,0.7382763,-1.318674,-0.3566081,0,False,-1.0,0,1.176,59244020000000.0,0.0,0.0,0.245663,11.60754,9.278263,1,1.176,148490500000.0,0.0,0.0,0.3090429,4.468264,0.1239399,2,1.176,3.79,0.0,0.0,0.06964457,122.5237,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
