event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0018,3.58229,0.0,0.0,-2.283434,8.953738,0,True,0.2773136,2,0.501,75387940000000.0,-9.445655,59.71175,0.3167695,24.57946,4.556083,3,0.501,376768200000.0,-9.445655,59.71175,0.3196812,107.3844,0.5228473,4,0.501,3.53,0.0,0.0,0.1212125,-153.9695,0.0,0,0.501,33880260000000.0,0.0,0.0,0.4017366,61.27089,10.40145,1,0.501,191887300000.0,0.0,0.0,0.3247085,-0.7757314,0.5156497
0019,1.039222,1.795452,0.3874743,-0.1889254,0.03989479,0,False,-1.0,0,0.61,50876450000000.0,0.0,0.0,0.4834427,-112.7624,4.375909,1,0.61,274757000000.0,0.0,0.0,0.1646204,-131.9349,0.3385264,2,0.61,1.12,0.0,0.0,0.05873898,10.48047,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0020,3.792116,0.0,0.0,1.110155,2.139814,0,False,-1.0,0,0.417,76811790000000.0,0.0,0.0,0.2793115,126.1383,6.12339,1,0.417,348693800000.0,0.0,0.0,0.3254569,89.03062,0.5466864,2,0.417,5.36,0.0,0.0,0.07196103,-127.2163,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0021,0.1212519,0.0,0.0,0.207785,0.006626956,0,True,0.2892796,2,0.6,510430600000.0,13.62796,5.320848,0.0902468,116.0028,7.045675,3,0.6,14868170000.0,13.62796,5.320848,0.2946573,99.58007,0.1771393,4,0.6,2.86,0.0,0.0,0.1086069,24.58409,0.0,0,0.6,155762500000.0,0.0,0.0,0.2657633,123.057,22.73218,1,0.6,2131762000.0,0.0,0.0,0.3458875,139.5954,0.1066414
0001,3.084129,6.788247,0.9885842,-1.017868,2.954733,0,False,-1.0,0,0.757,98190690000000.0,0.0,0.0,0.3840325,15.74889,4.545388,1,0.757,514824400000.0,0.0,0.0,0.4316269,-1.70136,0.5511716,2,0.757,5.91,0.0,0.0,0.1406148,-162.4793,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0022,0.7553726,1.214882,0.1440803,0.03799805,0.2566919,0,False,-1.0,0,1.104,5006879000000.0,0.0,0.0,0.287262,-34.49919,4.81709,1,1.104,85069990000.0,0.0,0.0,0.3382404,-100.7988,0.05595014,2,1.104,3.26,0.0,0.0,0.07977319,174.9122,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0023,1.118186,0.0,0.0,1.045255,-0.4307823,0,False,-1.0,0,0.35,64378770000000.0,0.0,0.0,0.3938858,-134.7316,4.174909,1,0.35,308348200000.0,0.0,0.0,0.354476,-154.2749,1.232137,2,0.35,1.36,0.0,0.0,0.01934355,40.77321,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0024,1.248937,1.966067,0.7890969,-0.006941454,-0.1012388,0,False,-1.0,0,0.5,8364030000000.0,0.0,0.0,0.3509427,111.3286,7.607531,1,0.5,142099300000.0,0.0,0.0,0.1176823,99.90462,0.4790037,2,0.5,4.38,0.0,0.0,0.08314627,-178.1479,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0025,0.5359356,1.216121,0.5354673,0.2187581,-0.05935114,0,False,-1.0,0,0.783,1881751000000.0,0.0,0.0,0.08391791,-140.7029,9.481248,1,0.783,65615390000.0,0.0,0.0,0.2522182,-161.765,0.1770521,2,0.783,2.75,0.0,0.0,0.09700547,123.1287,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0026,1.956542,4.147022,0.007371898,-2.009622,0.04281957,0,False,-1.0,0,0.93,45657930000000.0,0.0,0.0,0.5274605,-82.0889,2.989127,1,0.93,218228600000.0,0.0,0.0,0.0598182,-135.9173,0.1390821,2,0.93,10.55,0.0,0.0,0.02638079,-172.0549,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0027,0.1855186,0.3592859,1.0,-0.5304832,0.09302186,0,True,0.2612114,2,2.412,23622870000000.0,-28.13837,2.714299,0.2320031,-79.3931,4.111487,3,2.412,84632250000.0,-28.13837,2.714299,0.1842177,-122.5359,0.03818911,4,2.412,2.9,0.0,0.0,0.1137016,136.8304,0.0,0,2.412,1662346000000.0,0.0,0.0,0.355926,154.5609,6.349545,1,2.412,44652340000.0,0.0,0.0,0.2711193,99.74233,0.0291453
0028,0.9579611,0.0,0.0,-0.7212484,-1.041756,0,False,-1.0,0,0.907,33554030000000.0,0.0,0.0,0.1346672,159.5558,2.71816,1,0.907,138130500000.0,0.0,0.0,0.1308629,181.19,0.2223927,2,0.907,4.77,0.0,0.0,0.1497156,148.2034,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0029,0.1980773,0.3012361,0.6414357,-0.6756397,-0.9619333,0,True,0.2970089,2,1.288,8054783000000.0,-7.81978,-13.05041,0.268834,30.7537,3.133239,3,1.288,85197940000.0,-7.81978,-13.05041,0.561114,31.43938,0.02301845,4,1.288,6.48,0.0,0.0,0.0521007,-164.681,0.0,0,1.288,173789400000.0,0.0,0.0,0.4250395,80.5932,18.62725,1,1.288,2230547000.0,0.0,0.0,0.1675872,102.1039,0.04658296
0030,1.930356,0.0,0.0,-3.497782,0.2790766,0,True,0.2770607,2,0.859,76074790000000.0,-113.4433,2.568661,0.3301131,-73.3465,3.446451,3,0.859,252805000000.0,-113.4433,2.568661,0.6026201,-19.71758,0.410501,4,0.859,1.67,0.0,0.0,0.02231465,-169.3722,0.0,0,0.859,15297750000000.0,0.0,0.0,0.337348,-76.918,15.94816,1,0.859,87014850000.0,0.0,0.0,0.3141144,-47.29022,0.1032075
