event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0041,3,1,"[5.7, 18.36, 2.0]","[-1.2324, 4.9834, 0.0709]","[7.126996, 0.0, 7.841886]","[-0.31306, 0.31448, -0.03662]","[-0.3129, 0.81949, -0.0382]","[1.3501, 0.4419, 6.0018]","[-0.0467, 0.3143, 0.1282]","[-0.9653, -0.1097, -3.3009]","[1.07097, 0.22869, 5.51966]"
0001,3,2,"[28.82, 10.75, 0.94]","[3.5951, -0.8226, 0.002]","[0.0, 21.04034, 27.63724]","[0.54609, -0.37328, -0.00862]","[-0.5707, 0.17343, 0.00431]","[0.3027, 0.7701, 25.2855]","[0.0407, -0.677, -6.7407]","[0.4543, 0.9001, 5.7869]","[0.07156, 0.44657, 24.45867]"
0042,3,1,"[9.84, 4.13, 0.83]","[3.4836, -0.3705, 0.0054]","[0.0, 498.2342, 511.3163]","[1.94127, -0.58471, -0.05374]","[3.82364, -0.49549, -0.05032]","[0.3945, 1.6969, 16.3324]","[0.1654, -0.3484, -1.0914]","[-0.2285, -1.7503, -6.9116]","[0.00604, 0.52768, 14.11735]"
0141,3,1,"[13.84, 5.55, 0.29]","[2.6579, -0.4291, 0.002]","[0.0, 321.7094, 334.2296]","[-1.14209, 0.39359, 0.02101]","[2.62355, -0.33266, -0.0221]","[0.3533, 1.4252, 25.9441]","[0.0701, -0.4494, 0.2692]","[0.1925, 1.5196, 10.7034]","[0.00482, 0.43194, 23.83832]"
0043,3,1,"[16.88, 1.88, 0.25]","[4.3757, -0.0471, 0.0009]","[0.0, 439.847, 443.9242]","[2.41098, -0.12355, -0.0154]","[1.55683, -0.16393, -0.02094]","[0.42, 3.3882, 37.9299]","[-0.0466, 1.3094, 6.004]","[-0.3252, -5.0233, -16.4664]","[0.00178, 1.88744, 35.55543]"
0044,2,1,"[6.3, 13.5]","[-0.8097, 3.7153]","[261.2833, 0.0]","[0.40072, -0.80934]","[-0.34691, 1.16763]","[0.7289, 0.4238]","[-0.2189, 0.0592]","[1.1227, 0.2436]","[0.04666, 0.00258]"
0002,3,2,"[11.05, 14.71, 4.37]","[-0.4781, 2.4872, 0.0934]","[7.873015, 0.0, 7.911027]","[0.0332, -0.16538, 0.01278]","[-0.0084, 0.0313, -0.00365]","[2.0807, 0.2734, 5.7546]","[-1.7168, -0.3478, -2.8006]","[0.559, -0.0696, 2.0135]","[1.74289, 0.06998, 5.33596]"
0137,3,2,"[12.12, 8.85, 0.04]","[-1.6368, 1.7327, 0.0001]","[123.9165, 0.0, 144.5009]","[-0.30704, 0.80683, -0.00246]","[-0.36835, 1.12791, -0.00252]","[0.7195, 0.1975, 102.0722]","[0.1295, 0.0367, -6.7742]","[-0.8203, -0.2558, -17.3107]","[0.04083, 0.00194, 96.17627]"
0046,3,1,"[20.99, 4.85, 0.14]","[8.1573, -0.6959, 0.0015]","[0.0, 4.054133, 5.3036]","[-0.17587, 0.08205, 0.00165]","[-0.11353, 0.06205, 0.00132]","[0.3068, 0.631, 27.0339]","[-0.2635, -0.4131, 0.9074]","[-0.5371, -1.1843, -3.2394]","[0.05396, 0.30211, 26.28774]"
0142,3,1,"[8.02, 3.3, 2.99]","[-1.5843, 1.803, 0.2315]","[4.361091, 0.0, 4.411957]","[-0.10287, 0.35117, -0.03053]","[0.00932, 0.1646, -0.00109]","[1.1663, 0.2239, 3.3109]","[-0.7856, -0.1591, -0.9514]","[0.204, -0.1495, 0.3388]","[0.87882, 0.06159, 2.92102]"
