event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[28.82, 10.75, 0.94]","[3.5951, -0.8226, 0.002]","[0.0, 21.04034, 27.63724]","[0.54609, -0.37328, -0.00862]","[-0.5707, 0.17343, 0.00431]","[0.3027, 0.7701, 25.2855]","[0.0407, -0.677, -6.7407]","[0.4543, 0.9001, 5.7869]","[0.07156, 0.44657, 24.45867]"
0002,3,2,"[11.05, 14.71, 4.37]","[-0.4781, 2.4872, 0.0934]","[7.873015, 0.0, 7.911027]","[0.0332, -0.16538, 0.01278]","[-0.0084, 0.0313, -0.00365]","[2.0807, 0.2734, 5.7546]","[-1.7168, -0.3478, -2.8006]","[0.559, -0.0696, 2.0135]","[1.74289, 0.06998, 5.33596]"
0003,3,2,"[8.27, 17.05, 0.55]","[2.1198, -3.8781, 0.0062]","[0.0, 10.25088, 12.0856]","[-0.34837, 0.15447, 0.00509]","[-0.10203, 0.0105, 0.00114]","[0.2869, 0.6357, 13.9117]","[-0.1518, -0.6222, -2.0702]","[-0.1169, -0.0587, -0.535]","[0.0248, 0.20069, 12.76488]"
0004,3,2,"[14.48, 8.34, 0.07]","[1.6925, -0.3182, 0.0]","[0.0, 244.751, 287.2331]","[-1.84435, 0.41167, 0.00309]","[0.05163, -0.11928, -0.0012]","[0.2195, 0.5379, 157.6474]","[-0.1298, -1.6081, 28.5356]","[0.0384, 0.8778, 24.0394]","[0.00196, 0.13848, 156.6453]"
0005,3,2,"[15.03, 8.44, 4.41]","[1.8013, -0.3015, 0.0824]","[0.0, 13.4116, 13.43656]","[-0.33576, 0.05391, 0.02579]","[0.30029, -0.0444, -0.02116]","[0.2248, 3.04, 6.7452]","[-0.0003, -0.4802, -0.9285]","[0.2139, 2.6921, 4.4734]","[0.07281, 2.75027, 6.39997]"
0006,3,2,"[20.28, 8.23, 0.06]","[1.7304, -0.3091, 0.0001]","[0.0, 105.1618, 138.4346]","[0.66878, -0.24878, -0.00212]","[-0.10282, -0.04405, -0.00042]","[0.173, 0.5952, 143.0727]","[-0.3201, -1.768, -35.4072]","[0.0591, -0.5226, -32.9478]","[0.01835, 0.38426, 142.5891]"
0007,3,2,"[20.46, 9.32, 0.15]","[2.1755, -0.4456, 0.0001]","[0.0, 39.7061, 56.58848]","[0.62198, -0.29045, -0.00248]","[-0.13544, 0.06369, 0.00058]","[0.169, 0.5144, 100.0885]","[-0.4418, -1.4428, -23.0219]","[0.1893, 0.6311, 13.2585]","[0.05056, 0.35913, 99.69868]"
0008,3,2,"[14.42, 16.76, 5.78]","[-3.5416, 2.542, 0.5437]","[0.443978, 0.0, 0.450464]","[-0.01244, 0.03664, -0.004]","[-0.00031, 0.00239, -0.00011]","[1.0304, 0.307, 2.4873]","[-0.5266, -0.2698, -0.6067]","[-0.0775, -0.1184, 0.0676]","[0.87174, 0.18117, 2.29414]"
0009,3,2,"[27.54, 18.24, 3.44]","[3.4597, -0.8683, 0.1109]","[0.0, 27.05689, 27.44425]","[-0.38281, 0.14592, 0.03826]","[-0.85165, 0.19893, 0.05406]","[0.3557, 1.4179, 4.5158]","[0.2379, 0.3514, 0.4753]","[-0.2636, -1.0967, -1.7654]","[0.06892, 0.90316, 3.78508]"
0010,3,2,"[11.92, 9.13, 0.85]","[2.7171, -0.3031, 0.0128]","[0.0, 86.17051, 88.67345]","[0.84309, -0.22678, -0.03543]","[0.44084, -0.06115, -0.009]","[0.2766, 1.6149, 11.4665]","[-0.2217, -1.5761, -5.1774]","[-0.3257, -1.0924, -2.143]","[0.04713, 1.20379, 10.8008]"
0011,3,2,"[11.66, 9.91, 2.58]","[-1.0743, 3.3357, 0.0656]","[22.32864, 0.0, 23.1538]","[-0.16653, 0.55818, -0.02843]","[-0.11747, 0.27573, -0.01985]","[1.0527, 0.3193, 5.1674]","[-0.385, -0.2597, -0.2387]","[-0.8862, -0.3102, -1.4377]","[0.6782, 0.07318, 4.58645]"
0012,3,2,"[9.0, 14.81, 0.03]","[-0.5656, 2.1449, 0.0001]","[29.84464, 0.0, 43.01078]","[-0.42758, 0.90914, -0.00328]","[-0.0363, -0.01328, -0.00012]","[0.4602, 0.1744, 94.3173]","[-1.4058, -0.4637, -15.9995]","[-0.2878, -0.0172, 0.7224]","[0.25841, 0.03695, 93.68264]"
0013,3,2,"[19.72, 18.95, 1.31]","[-0.6115, 2.27, 0.0029]","[29.57509, 0.0, 34.46961]","[0.1688, -0.41781, 0.00667]","[-0.05255, 0.13916, -0.00242]","[0.6827, 0.1987, 20.1835]","[-1.1362, -0.3787, -2.3686]","[0.6671, 0.2413, 3.395]","[0.47431, 0.05766, 19.7336]"
0014,3,2,"[16.85, 11.14, 2.79]","[1.7941, -0.3206, 0.0587]","[0.0, 67.58467, 67.85376]","[0.15047, -0.0325, -0.01258]","[-1.2966, 0.20733, 0.07768]","[0.2004, 2.0814, 6.2189]","[0.2837, 1.992, 3.0026]","[0.0395, 0.5663, 1.0896]","[0.04122, 1.79819, 5.86851]"
0015,3,2,"[12.92, 8.96, 0.33]","[-2.1585, 1.8881, 0.0007]","[107.8063, 0.0, 130.9185]","[0.38482, -0.88643, 0.00609]","[-0.6286, 1.781, -0.01008]","[0.5899, 0.2636, 39.7952]","[0.3914, 0.0865, 0.81]","[0.6916, 0.0723, 7.7684]","[0.18239, 0.01306, 38.70101]"
0016,3,2,"[10.17, 24.49, 0.13]","[-0.6405, 2.7943, 0.0001]","[37.77763, 0.0, 56.13491]","[0.14032, -0.3615, 0.0008]","[-0.34533, 0.66378, -0.00233]","[0.5511, 0.2442, 109.0834]","[0.8512, 0.2047, 32.1246]","[1.0189, 0.4141, 9.8963]","[0.25161, 0.03471, 108.125]"
0017,3,2,"[9.11, 8.15, 0.04]","[4.2609, -2.9594, 0.0002]","[0.0, 192.3077, 294.0638]","[-0.62425, -0.16685, -0.00041]","[-2.1739, 1.16369, 0.00505]","[0.4673, 0.714, 74.854]","[0.1745, 0.6249, 12.6662]","[-0.1366, 0.1711, 15.3474]","[0.00806, 0.07822, 72.8908]"
0018,3,2,"[14.42, 28.6, 0.48]","[-0.2959, 1.881, 0.0005]","[215.118, 0.0, 241.3355]","[0.19786, -0.40056, 0.00603]","[-0.18666, 0.87205, -0.00588]","[1.0764, 0.2399, 50.5506]","[-0.0454, 0.1092, -5.0125]","[1.8394, 0.1848, 22.1702]","[0.67241, 0.01558, 49.66212]"
