event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.7310137,1.18278,0.2288186,0.1958269,-0.1313082,0,False,-1.0,0,0.371,1930273000000.0,0.0,0.0,0.218681,75.41044,10.57963,1,0.371,62264350000.0,0.0,0.0,0.3336291,80.97238,0.1942202,2,0.371,1.03,0.0,0.0,0.01095784,-126.3365,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.09713293,0.2025103,0.1922109,-0.07299063,-0.002054438,0,False,-1.0,0,1.719,629758400000.0,0.0,0.0,0.2264826,129.856,5.299488,1,1.719,7981254000.0,0.0,0.0,0.5790632,52.53429,0.04538187,2,1.719,2.99,0.0,0.0,0.1154103,125.9539,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.2078217,0.5152751,0.5466184,-0.09337024,-0.02452968,0,False,-1.0,0,1.045,672041600000.0,0.0,0.0,0.4098797,-151.3428,9.632407,1,1.045,12378170000.0,0.0,0.0,0.1873189,-157.1722,0.07709256,2,1.045,3.23,0.0,0.0,0.05262087,-0.5685544,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.6286069,2.262486,0.1879841,-0.8356712,0.1135696,0,False,-1.0,0,0.684,13843840000000.0,0.0,0.0,0.3436216,15.93719,4.059354,1,0.684,155490000000.0,0.0,0.0,0.5733799,5.287063,0.09502739,2,0.684,1.9,0.0,0.0,0.05009258,8.347032,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.242149,0.5202469,0.1674079,-0.152683,0.1394584,0,False,-1.0,0,0.729,596492800000.0,0.0,0.0,0.08845142,-142.9188,5.304896,1,0.729,15763940000.0,0.0,0.0,0.451656,-124.9,0.09125978,2,0.729,3.01,0.0,0.0,0.09373318,141.4222,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,0.440274,0.9194483,0.1786454,0.3142694,0.003785146,0,False,-1.0,0,1.102,6440883000000.0,0.0,0.0,0.05261047,98.75232,2.833198,1,1.102,93954760000.0,0.0,0.0,0.3700942,125.3052,0.05675693,2,1.102,1.8,0.0,0.0,0.06436822,-43.01667,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.4859483,0.9339058,0.2048355,0.2633096,-0.05445681,0,False,-1.0,0,0.61,2014244000000.0,0.0,0.0,0.1164461,-93.35234,4.402947,1,0.61,66893450000.0,0.0,0.0,0.1742018,-110.5138,0.0780097,2,0.61,1.18,0.0,0.0,0.01830029,85.91942,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,0.02280637,0.04915929,0.7177538,0.01023577,0.001483141,0,False,-1.0,0,2.504,262281300000.0,0.0,0.0,0.191079,-8.218958,2.335321,1,2.504,1521716000.0,0.0,0.0,0.258413,33.74343,0.03584004,2,2.504,4.17,0.0,0.0,0.06176623,150.1758,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.6560126,1.176123,0.250981,-0.1737243,-0.2876243,0,False,-1.0,0,0.371,2400117000000.0,0.0,0.0,0.4480265,136.2058,10.85222,1,0.371,71178590000.0,0.0,0.0,0.1291688,97.4483,0.3663708,2,0.371,1.26,0.0,0.0,0.0363183,-134.6561,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.7315316,1.181787,0.1115556,0.4137691,0.1706245,0,False,-1.0,0,0.88,2506787000000.0,0.0,0.0,0.1914047,-54.87538,5.470606,1,0.88,99769030000.0,0.0,0.0,0.3507654,-96.60324,0.2017983,2,0.88,2.95,0.0,0.0,0.04899973,100.2103,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0011,0.3862926,0.824505,0.3220665,0.1979974,0.1091214,0,False,-1.0,0,0.713,2170090000000.0,0.0,0.0,0.04549068,160.0094,5.254155,1,0.713,56900340000.0,0.0,0.0,0.2654059,187.0342,0.2763726,2,0.713,3.4,0.0,0.0,0.06456746,113.593,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0012,0.6472529,1.336913,0.2637195,0.3668973,0.02295141,0,False,-1.0,0,0.325,1047051000000.0,0.0,0.0,0.1772539,131.7505,9.747966,1,0.325,60828890000.0,0.0,0.0,0.06240639,213.8784,0.1127071,2,0.325,0.96,0.0,0.0,0.02801633,110.281,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0013,0.2820257,0.6171511,0.2693829,-0.1790462,0.04967284,0,False,-1.0,0,0.894,1033548000000.0,0.0,0.0,0.3936496,115.8864,6.058874,1,0.894,50786990000.0,0.0,0.0,0.2059064,187.9852,0.1083127,2,0.894,1.61,0.0,0.0,0.04746358,68.75048,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0014,0.7415736,1.515015,0.1786979,0.0664135,-0.6701546,0,False,-1.0,0,0.402,4965836000000.0,0.0,0.0,0.07861251,26.87722,4.26694,1,0.402,100093900000.0,0.0,0.0,0.1363356,56.94385,0.2967195,2,0.402,1.65,0.0,0.0,0.02057683,-42.28379,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0015,1.269216,2.724381,0.8747146,-0.2578778,0.5376866,0,False,-1.0,0,0.469,9181801000000.0,0.0,0.0,0.3418601,106.5624,5.778527,1,0.469,126697100000.0,0.0,0.0,0.2086273,86.12847,0.224243,2,0.469,4.39,0.0,0.0,0.1062827,-55.51271,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0016,0.4604272,1.126991,0.2292259,-0.1287782,0.2413439,0,False,-1.0,0,0.671,1573570000000.0,0.0,0.0,0.1801424,166.8427,7.074147,1,0.671,59402630000.0,0.0,0.0,0.3355747,174.7218,0.08376212,2,0.671,2.24,0.0,0.0,0.04686635,55.47505,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0017,1.473204,3.368786,0.6945562,-0.06238559,-0.4255565,0,False,-1.0,0,0.716,33885990000000.0,0.0,0.0,0.2671129,14.98323,4.835576,1,0.716,246065200000.0,0.0,0.0,0.3898043,43.90669,0.2107541,2,0.716,2.67,0.0,0.0,0.1043943,-91.32508,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0018,0.6028025,1.216128,0.1573078,-0.2363646,0.3276378,0,False,-1.0,0,1.189,8473966000000.0,0.0,0.0,0.256864,96.35255,5.688263,1,1.189,144648400000.0,0.0,0.0,0.434584,61.75015,0.09409153,2,1.189,1.83,0.0,0.0,0.05786266,88.63523,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0019,1.254115,1.700871,0.9042141,-0.06960626,0.1792085,0,False,-1.0,0,0.241,2871529000000.0,0.0,0.0,0.06719203,87.85266,9.155665,1,0.241,93395390000.0,0.0,0.0,0.467659,98.51636,0.4492488,2,0.241,3.1,0.0,0.0,0.06188286,76.88813,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0020,0.3551979,0.9529423,0.1457803,0.3399889,-0.1166216,0,False,-1.0,0,1.071,8971496000000.0,0.0,0.0,0.2035492,-35.54918,6.311829,1,1.071,91971490000.0,0.0,0.0,0.4176761,-13.11753,0.05662162,2,1.071,1.57,0.0,0.0,0.06446778,-117.7228,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0021,0.4814324,1.103878,0.5481826,0.1008887,0.08931269,0,False,-1.0,0,2.015,2852088000000.0,0.0,0.0,0.4224113,-0.9179672,4.029457,1,2.015,74057930000.0,0.0,0.0,0.09148183,-22.76729,0.03826147,2,2.015,5.33,0.0,0.0,0.1128824,-112.9613,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
