event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0041,3,1,"[5.7, 18.36, 2.0]","[-1.2324, 4.9834, 0.0709]","[7.126996, 0.0, 7.841886]","[-0.31306, 0.31448, -0.03662]","[-0.3129, 0.81949, -0.0382]","[1.3501, 0.4419, 6.0018]","[-0.0467, 0.3143, 0.1282]","[-0.9653, -0.1097, -3.3009]","[1.07097, 0.22869, 5.51966]"
0001,3,2,"[28.82, 10.75, 0.94]","[3.5951, -0.8226, 0.002]","[0.0, 21.04034, 27.63724]","[0.54609, -0.37328, -0.00862]","[-0.5707, 0.17343, 0.00431]","[0.3027, 0.7701, 25.2855]","[0.0407, -0.677, -6.7407]","[0.4543, 0.9001, 5.7869]","[0.07156, 0.44657, 24.45867]"
0042,3,1,"[9.84, 4.13, 0.83]","[3.4836, -0.3705, 0.0054]","[0.0, 498.2342, 511.3163]","[1.94127, -0.58471, -0.05374]","[3.82364, -0.49549, -0.05032]","[0.3945, 1.6969, 16.3324]","[0.1654, -0.3484, -1.0914]","[-0.2285, -1.7503, -6.9116]","[0.00604, 0.52768, 14.11735]"
0043,3,1,"[16.88, 1.88, 0.25]","[4.3757, -0.0471, 0.0009]","[0.0, 439.847, 443.9242]","[2.41098, -0.12355, -0.0154]","[1.55683, -0.16393, -0.02094]","[0.42, 3.3882, 37.9299]","[-0.0466, 1.3094, 6.004]","[-0.3252, -5.0233, -16.4664]","[0.00178, 1.88744, 35.55543]"
0044,2,1,"[6.3, 13.5]","[-0.8097, 3.7153]","[261.2833, 0.0]","[0.40072, -0.80934]","[-0.34691, 1.16763]","[0.7289, 0.4238]","[-0.2189, 0.0592]","[1.1227, 0.2436]","[0.04666, 0.00258]"
0045,1,1,[12.25],[3.6279],[0.0],[1.0654],[-2.04384],[0.4172],[-0.1075],[0.229],[0.00442]
0046,3,1,"[20.99, 4.85, 0.14]","[8.1573, -0.6959, 0.0015]","[0.0, 4.054133, 5.3036]","[-0.17587, 0.08205, 0.00165]","[-0.11353, 0.06205, 0.00132]","[0.3068, 0.631, 27.0339]","[-0.2635, -0.4131, 0.9074]","[-0.5371, -1.1843, -3.2394]","[0.05396, 0.30211, 26.28774]"
0047,3,1,"[10.04, 5.94, 0.03]","[3.147, -1.8065, 0.0001]","[0.0, 570.8377, 661.5466]","[-3.05715, 1.04995, 0.00614]","[-1.86195, 0.07811, 0.00147]","[0.4144, 0.9521, 96.6867]","[-0.0957, -0.7454, -13.9352]","[-0.1266, -0.015, 0.6443]","[0.00123, 0.04724, 93.61861]"
0003,3,2,"[8.27, 17.05, 0.55]","[2.1198, -3.8781, 0.0062]","[0.0, 10.25088, 12.0856]","[-0.34837, 0.15447, 0.00509]","[-0.10203, 0.0105, 0.00114]","[0.2869, 0.6357, 13.9117]","[-0.1518, -0.6222, -2.0702]","[-0.1169, -0.0587, -0.535]","[0.0248, 0.20069, 12.76488]"
0048,4,2,"[3.28, 19.99, 10.71, 0.06]","[-1.2831, 17.6348, -16.0415, 0.0002]","[354.4327, 271.9179, 272.0991, 409.1575]","[0.74337, -0.45545, -0.66672, 0.00357]","[0.09882, 1.22866, 1.02594, 0.00211]","[0.9656, 0.5099, 0.532, 73.8198]","[-0.8826, 0.0835, -0.0567, -9.3577]","[0.0405, 0.4201, 0.5274, -17.7735]","[0.03717, 0.00558, 0.00663, 68.81925]"
