event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0041,0.5525792,1.294654,0.2473066,0.1168787,0.1213404,0,False,-1.0,0,0.224,2138258000000.0,0.0,0.0,0.07888411,130.6408,8.696449,1,0.224,64871690000.0,0.0,0.0,0.6261489,136.7199,0.581407,2,0.224,3.91,0.0,0.0,0.1181089,-125.1684,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0001,0.7310137,1.18278,0.2288186,0.1958269,-0.1313082,0,False,-1.0,0,0.371,1930273000000.0,0.0,0.0,0.218681,75.41044,10.57963,1,0.371,62264350000.0,0.0,0.0,0.3336291,80.97238,0.1942202,2,0.371,1.03,0.0,0.0,0.01095784,-126.3365,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0042,3.037491,5.003544,0.1063497,1.028128,1.10755,0,False,-1.0,0,0.397,25962080000000.0,0.0,0.0,0.4144605,110.3151,11.24719,1,0.397,284116900000.0,0.0,0.0,0.1291894,101.9275,0.3866158,2,0.397,1.84,0.0,0.0,0.03477645,6.350263,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0043,1.405448,3.063468,0.01075722,0.8915896,1.080374,0,False,-1.0,0,0.761,12969260000000.0,0.0,0.0,0.3646552,-33.79725,7.948762,1,0.761,113243100000.0,0.0,0.0,0.12557,10.66727,0.1201121,2,0.761,5.27,0.0,0.0,0.07467841,154.9271,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0044,0.9224926,1.93857,0.2179449,-0.294983,0.2997164,0,False,-1.0,0,1.549,12722910000000.0,0.0,0.0,0.1638161,65.98759,4.608098,1,1.549,116375600000.0,0.0,0.0,0.1826984,44.33511,0.02450172,2,1.549,4.22,0.0,0.0,0.03917041,115.7081,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0045,1.050939,0.0,0.0,-1.83697,-2.537298,0,True,0.3056501,2,0.356,28824620000000.0,-7.055354,-3.570831,0.3961798,65.50152,8.279103,3,0.356,228362700000.0,-7.055354,-3.570831,0.2067418,76.03691,0.8609985,4,0.356,5.91,0.0,0.0,0.1491046,55.5806,0.0,0,0.356,1780701000000.0,0.0,0.0,0.1134655,-113.1497,12.69243,1,0.356,51782710000.0,0.0,0.0,0.4897036,-115.1281,0.18281
0046,0.1538151,0.312007,0.08530829,-0.06296621,-0.04295874,0,False,-1.0,0,1.022,438601700000.0,0.0,0.0,0.1778678,143.6228,5.888689,1,1.022,7767011000.0,0.0,0.0,0.2627816,200.5097,0.0515054,2,1.022,4.8,0.0,0.0,0.1370708,-60.97258,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0047,2.077032,4.542258,0.5740363,-0.7799832,-0.2585357,0,False,-1.0,0,0.784,33881660000000.0,0.0,0.0,0.2132376,-130.7872,7.079765,1,0.784,202331200000.0,0.0,0.0,0.2493354,-143.8403,0.1414143,2,0.784,2.77,0.0,0.0,0.05377737,39.88057,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.2078217,0.5152751,0.5466184,-0.09337024,-0.02452968,0,False,-1.0,0,1.045,672041600000.0,0.0,0.0,0.4098797,-151.3428,9.632407,1,1.045,12378170000.0,0.0,0.0,0.1873189,-157.1722,0.07709256,2,1.045,3.23,0.0,0.0,0.05262087,-0.5685544,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0048,1.350292,1.687581,1.0,0.5779952,-0.8615901,0,True,0.274653,2,1.207,5761537000000.0,3.038131,-1.671433,0.4460473,-96.93112,8.074831,3,1.207,72247750000.0,3.038131,-1.671433,0.1185637,-52.8104,0.05067524,4,1.207,5.77,0.0,0.0,0.1782554,-98.17629,0.0,0,1.207,2723288000000.0,0.0,0.0,0.2334413,-44.26399,14.34952,1,1.207,69066810000.0,0.0,0.0,0.1560844,-56.2811,0.09405064
