event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0137,3,2,"[12.12, 8.85, 0.04]","[-1.6368, 1.7327, 0.0001]","[123.9165, 0.0, 144.5009]","[-0.30704, 0.80683, -0.00246]","[-0.36835, 1.12791, -0.00252]","[0.7195, 0.1975, 102.0722]","[0.1295, 0.0367, -6.7742]","[-0.8203, -0.2558, -17.3107]","[0.04083, 0.00194, 96.17627]"
0138,3,2,"[23.68, 11.38, 0.28]","[1.592, -0.295, 0.0001]","[0.0, 61.76552, 74.57361]","[-1.15885, 0.3605, 0.00442]","[-0.22541, 0.05116, 0.00051]","[0.154, 0.6498, 112.3697]","[-0.2642, -1.7744, -27.8665]","[-0.133, -0.6035, 0.1128]","[0.01524, 0.36206, 111.4381]"
0059,3,2,"[9.73, 9.89, 0.81]","[2.5816, -4.1309, 0.0233]","[0.0, 13.74841, 16.58783]","[0.16143, 0.05488, -0.00146]","[-0.39911, 0.21628, 0.00805]","[0.321, 0.7352, 7.6158]","[0.2129, 0.4573, 0.8812]","[0.1684, -0.3211, 0.0489]","[0.00435, 0.02762, 3.69415]"
0139,3,2,"[13.42, 10.46, 0.47]","[-2.489, 2.5816, 0.0207]","[13.48174, 0.0, 15.80479]","[-0.08296, 0.7931, -0.01114]","[-0.55059, 0.9235, -0.02448]","[0.7576, 0.3394, 8.0542]","[0.6646, 0.0551, 1.1046]","[-0.137, -0.2145, -0.5727]","[0.26499, 0.04227, 6.81374]"
0066,3,2,"[17.79, 14.35, 0.01]","[4.0317, -1.0493, 0.0]","[0.0, 65.58843, 105.0458]","[0.6462, -0.33933, -0.00039]","[-0.98675, 0.46756, 0.00063]","[0.3555, 0.6946, 424.8278]","[0.1495, 0.2805, 59.8575]","[0.3807, 0.9837, 64.3479]","[0.00617, 0.04626, 419.1209]"
0068,3,2,"[9.76, 11.14, 0.31]","[5.6136, -2.2093, 0.003]","[0.0, 195.9213, 275.5232]","[-0.39433, 0.97975, 0.0086]","[-2.07994, 0.78678, 0.01056]","[0.4619, 0.8944, 20.0777]","[0.3171, -0.2266, 2.8664]","[-0.1042, -0.6422, -4.3087]","[0.00912, 0.0162, 14.41126]"
0094,3,2,"[20.0, 24.6, 0.54]","[-4.2137, 9.7452, 0.0021]","[7.058904, 0.0, 14.151]","[-0.32957, 0.32855, -0.00215]","[0.16146, -0.39148, 0.00159]","[0.6052, 0.465, 23.9955]","[-0.4742, -0.0102, 0.4157]","[0.4103, 0.4283, 7.121]","[0.08818, 0.05834, 20.4359]"
0098,3,2,"[41.81, 15.18, 0.47]","[3.2073, -0.6843, 0.0004]","[0.0, 43.70264, 55.85724]","[-0.64685, 0.20144, 0.00257]","[-0.43738, 0.27099, 0.00391]","[0.2801, 0.6961, 53.1798]","[-0.1412, 0.2226, 12.889]","[-0.4319, -1.2264, -9.066]","[0.01677, 0.21539, 51.3707]"
0105,3,2,"[31.5, 17.59, 0.75]","[5.1537, -1.2821, 0.0025]","[0.0, 22.04948, 28.07559]","[0.01123, -0.11097, -0.00197]","[-0.36472, 0.13646, 0.00288]","[0.4021, 0.8239, 21.4016]","[0.3821, 0.1916, 0.7273]","[0.1321, 0.8799, 4.4258]","[0.02054, 0.14301, 18.78425]"
0106,3,2,"[10.58, 11.43, 0.14]","[-3.066, 2.9609, 0.0018]","[12.0781, 0.0, 17.64639]","[0.03648, -0.08988, 0.00057]","[-0.10811, 0.18135, -0.00134]","[0.5277, 0.3176, 24.7874]","[0.6025, 0.237, 0.7122]","[0.4315, 0.2679, 1.0998]","[0.15822, 0.0391, 23.66761]"
0140,3,2,"[10.04, 12.59, 0.08]","[-1.4947, 2.805, 0.0001]","[49.40054, 0.0, 69.54077]","[-0.34256, 0.87559, -0.00137]","[-0.27787, 0.35753, -0.0009]","[0.6519, 0.3016, 123.7604]","[-0.1666, -0.2354, 1.984]","[-0.8732, -0.2753, -7.439]","[0.04969, 0.00562, 119.8453]"
0118,3,2,"[19.6, 10.44, 4.31]","[3.2054, -0.7787, 0.1625]","[0.0, 149.2508, 149.5849]","[-0.468, 0.00208, -0.00223]","[1.7279, -0.2739, -0.11254]","[0.3761, 2.0569, 4.5727]","[0.2614, 1.5439, 2.5708]","[0.0948, 0.1327, -0.0324]","[0.00715, 0.69063, 2.61843]"
0119,3,2,"[11.6, 11.52, 1.82]","[3.4338, -1.9621, 0.0465]","[0.0, 88.03292, 90.67375]","[-1.80467, 0.39284, 0.05295]","[-0.858, 0.33071, 0.03717]","[0.4366, 1.1431, 6.156]","[-0.1082, -0.0635, -0.573]","[-0.1204, -0.7253, -2.1792]","[0.00933, 0.24861, 4.50346]"
0121,5,4,"[13.95, 22.32, 10.97, 31.09, 0.28]","[2.2526, -2.6422, -2.1758, 5.1949, 0.001]","[0.0, 15.68073, 16.05328, 14.60387, 23.9645]","[0.21172, -0.30955, 0.19269, -0.15111, -0.00048]","[-0.57984, 0.04739, 0.25584, 0.35306, 0.00187]","[0.3268, 0.6136, 0.6943, 0.4853, 32.38]","[0.0445, -0.7173, 0.062, 0.1474, 1.4524]","[0.0854, 0.1153, -0.7411, 0.2252, -3.6655]","[0.00738, 0.07554, 0.12264, 0.02609, 29.67536]"
