event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0137,0.8750913,1.865342,0.9446926,-0.6351928,0.8478511,0,True,0.2903135,2,0.754,8981291000000.0,-31.03248,13.10387,0.3465888,-43.67092,6.329727,3,0.754,97197930000.0,-31.03248,13.10387,0.5317347,-105.9497,0.2967304,4,0.754,2.67,0.0,0.0,0.04362558,-98.18017,0.0,0,0.754,1243394000000.0,0.0,0.0,0.3351826,-136.8638,28.99827,1,0.754,39668360000.0,0.0,0.0,0.2388762,-104.277,0.05882844
0138,0.7104412,1.544323,0.1852966,-1.230694,1.13765,0,True,0.3056893,2,0.396,19582250000000.0,-38.63062,97.86755,0.3450004,-3.971259,3.928621,3,0.396,159840400000.0,-38.63062,97.86755,0.3345695,-107.9487,0.4086018,4,0.396,1.32,0.0,0.0,0.03218276,129.9652,0.0,0,0.396,1146151000000.0,0.0,0.0,0.3748154,-155.4534,11.4522,1,0.396,63020540000.0,0.0,0.0,0.1661896,-118.1302,0.09120134
0059,0.3376078,0.6245465,0.6249376,0.05285789,-0.3291576,0,True,0.2833736,2,1.195,1520040000000.0,4.859854,-23.89127,0.3961827,23.95027,7.365391,3,1.195,51715890000.0,4.859854,-23.89127,0.1878265,3.201724,0.02629995,4,1.195,3.71,0.0,0.0,0.07047319,121.3552,0.0,0,1.195,304928900000.0,0.0,0.0,0.1874111,-63.59634,30.93382,1,1.195,5032612000.0,0.0,0.0,0.3553028,-76.57912,0.07364855
0139,0.8074242,1.714765,0.9641073,1.020597,-0.659444,0,True,0.2969101,2,0.195,7205891000000.0,45.14191,-38.72475,0.286922,105.4511,9.771054,3,0.195,132915700000.0,45.14191,-38.72475,0.5277203,112.5011,0.6063051,4,0.195,2.55,0.0,0.0,0.09983544,47.96164,0.0,0,0.195,1352587000000.0,0.0,0.0,0.2336405,-8.133644,20.29528,1,0.195,45401960000.0,0.0,0.0,0.2509935,50.31329,0.4347092
0066,0.8472723,1.756784,0.260251,1.151526,-0.1852164,0,True,0.2912121,2,0.639,6657930000000.0,9.145738,2.199949,0.3337964,137.369,5.010303,3,0.639,106562800000.0,9.145738,2.199949,0.5415353,111.7862,0.1590829,4,0.639,2.56,0.0,0.0,0.04439948,-153.6268,0.0,0,0.639,1008795000000.0,0.0,0.0,0.1340709,30.42933,25.51672,1,0.639,53704700000.0,0.0,0.0,0.1736323,5.432084,0.04646045
0068,1.5976,3.179021,0.3935608,-0.3667344,-1.539596,0,True,0.2771898,2,0.915,19669400000000.0,-6.942515,-61.43219,0.5875283,172.9298,3.698153,3,0.915,165565700000.0,-6.942515,-61.43219,0.2069216,193.5586,0.1702608,4,0.915,2.95,0.0,0.0,0.1067802,-105.2901,0.0,0,0.915,6524801000000.0,0.0,0.0,0.3458913,136.3288,18.63513,1,0.915,105881100000.0,0.0,0.0,0.3717826,186.535,0.2326281
0094,0.3943821,0.8595664,0.4323834,0.1015145,0.4472085,0,True,0.2866221,2,0.834,1857240000000.0,0.06018957,13.22695,0.3494701,-118.6234,5.523513,3,0.834,43235620000.0,0.06018957,13.22695,0.01130983,-99.81432,0.05180056,4,0.834,5.1,0.0,0.0,0.1135154,99.64985,0.0,0,0.834,427074600000.0,0.0,0.0,0.1529617,-162.1733,21.82852,1,0.834,18067760000.0,0.0,0.0,0.3695415,-147.5546,0.1131335
0098,0.4763587,1.105164,0.2133596,0.4589238,0.6898036,0,True,0.2970273,2,0.591,14495390000000.0,23.16351,35.79254,0.215148,2.774671,6.149146,3,0.591,112591900000.0,23.16351,35.79254,0.2770442,15.4303,0.08903016,4,0.591,1.33,0.0,0.0,0.08417021,137.0555,0.0,0,0.591,1282871000000.0,0.0,0.0,0.1704434,31.62459,16.98346,1,0.591,55737510000.0,0.0,0.0,0.3897757,3.982673,0.09788811
0105,0.2995697,0.5158552,0.2487754,0.2688572,-0.4455907,0,True,0.2791991,2,1.457,3051332000000.0,2.156713,-2.83047,0.410813,104.447,5.539655,3,1.457,81927090000.0,2.156713,-2.83047,0.5141597,84.5516,0.02868931,4,1.457,2.58,0.0,0.0,0.06412972,33.33233,0.0,0,1.457,615819700000.0,0.0,0.0,0.1692554,-100.803,19.63687,1,1.457,19286780000.0,0.0,0.0,0.1163855,-90.20117,0.06289084
0106,0.1650908,0.3158327,0.9657313,-0.2063489,0.01913637,0,True,0.2754504,2,1.527,2170251000000.0,-3.996877,-0.2348921,0.3828704,20.4805,4.056142,3,1.527,70906400000.0,-3.996877,-0.2348921,0.090714,51.83948,0.1631148,4,1.527,2.06,0.0,0.0,0.03528719,153.5022,0.0,0,1.527,719921600000.0,0.0,0.0,0.02601984,-78.58348,12.83237,1,1.527,20124170000.0,0.0,0.0,0.2679028,-69.74976,0.04838798
