event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
5724,3,2,"[20.84, 11.06, 0.73]","[2.0876, -0.5155, 0.0034]","[0.0, 74.72059, 76.98124]","[-0.17336, 0.12526, 0.00672]","[-1.20046, 0.15675, 0.01089]","[0.3011, 1.3947, 19.0501]","[0.0655, 0.1825, 1.3824]","[-0.072, -1.4362, -5.2187]","[0.00204, 0.26324, 16.41185]"
0001,3,2,"[27.55, 30.59, 0.11]","[-1.7211, 2.2069, 0.0]","[27.70625, 0.0, 62.35957]","[-0.29991, 0.15469, -0.00024]","[-0.17412, 0.52736, -0.00038]","[0.4138, 0.239, 188.8983]","[-0.5296, 0.2754, 2.0916]","[-0.8026, -0.2239, -1.0658]","[0.0815, 0.02203, 187.591]"
3187,3,1,"[7.19, 19.9, 0.39]","[-0.5501, -4.1133, 0.0015]","[355.3529, 282.6599, 365.8458]","[0.05891, -0.42999, 0.00229]","[-0.36112, 0.85801, -0.0098]","[1.3155, 0.5774, 30.3334]","[1.3178, 0.2908, 12.4542]","[0.4254, 0.5807, 5.5273]","[0.19544, 0.01427, 26.20221]"
0002,2,2,"[40.25, 28.62]","[2.8877, -1.2484]","[0.0, 27.20712]","[-0.25709, 0.07844]","[-0.38336, 0.23588]","[0.3252, 0.4919]","[0.1573, 0.8783]","[-0.2903, -0.5364]","[0.01493, 0.07462]"
0003,3,2,"[15.83, 55.67, 1.31]","[-0.783, 2.9197, 0.0025]","[0.389064, 0.0, 0.56449]","[0.00464, -0.03211, 0.00012]","[-0.01994, 0.01638, -0.00037]","[0.695, 0.278, 21.7298]","[1.0609, -0.1507, 5.2021]","[0.4946, 0.395, 2.9208]","[0.50271, 0.10429, 21.35484]"
0004,3,2,"[12.67, 9.25, 0.45]","[1.3364, -0.2788, 0.0009]","[0.0, 23.24768, 25.30367]","[0.26207, -0.04382, -0.00202]","[-0.58964, 0.15466, 0.00682]","[0.1227, 0.8666, 35.518]","[0.1021, 1.5942, 9.5991]","[0.1043, 1.031, 4.1623]","[0.02018, 0.68375, 35.15528]"
0005,3,2,"[25.14, 15.97, 0.05]","[1.5511, -0.5809, 0.0]","[0.0, 71.03465, 104.8915]","[0.68519, -0.23475, -0.00056]","[0.35925, -0.1633, -0.00031]","[0.1814, 0.4022, 437.0872]","[-0.0508, -0.3893, -65.7474]","[-0.1509, -1.3882, -57.223]","[0.00948, 0.14748, 436.3071]"
3190,3,2,"[24.33, 35.55, 0.48]","[-1.7805, 5.0756, 0.0027]","[200.6792, 0.0, 224.9519]","[-0.21642, 0.01912, -0.00401]","[-0.52956, 1.57818, -0.01324]","[1.016, 0.4873, 21.4886]","[0.4831, 0.2524, 5.6404]","[-0.5731, -0.0457, -3.8569]","[0.05304, 0.00335, 17.33385]"
6246,3,1,"[11.98, 3.1, 0.13]","[1.433, -0.1471, 0.0001]","[0.0, 179.1448, 194.3516]","[0.98305, -0.18824, -0.0054]","[-0.13186, -0.00575, -0.00052]","[0.1624, 1.2242, 99.529]","[-0.0527, -2.6108, -46.4072]","[0.0316, 0.1849, -19.4213]","[0.00755, 0.87175, 98.72623]"
3191,3,1,"[25.41, 5.21, 0.37]","[4.2712, -0.2428, 0.0012]","[0.0, 129.9438, 136.1501]","[0.87081, -0.14838, -0.00911]","[0.43618, -0.12987, -0.00709]","[0.3677, 1.6295, 32.8486]","[-0.1409, -0.1077, -4.712]","[-0.3818, -2.1219, -13.7499]","[0.01097, 0.57656, 30.28617]"
