event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
5724,0.6606766,1.389671,0.2469112,0.4112187,0.580772,0,True,0.2860191,2,0.954,3965675000000.0,1.227186,2.169792,0.2649141,-134.997,8.219744,3,0.954,57291040000.0,1.227186,2.169792,0.1567961,-167.2044,0.09526846,4,0.954,11.05,0.0,0.0,0.2245729,-99.12855,0.0,0,0.954,664306900000.0,0.0,0.0,0.2851296,104.4884,16.10304,1,0.954,22322580000.0,0.0,0.0,0.2893842,74.46473,0.08236461
0001,0.4537676,0.8359077,0.7798837,0.05750926,0.09030819,0,False,-1.0,0,1.293,1308076000000.0,0.0,0.0,0.4074741,-79.39275,5.82436,1,1.293,49945230000.0,0.0,0.0,0.2234722,-124.6395,0.05486039,2,1.293,3.71,0.0,0.0,0.06023815,-103.7391,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3187,0.8797548,1.313508,0.1337273,0.7473213,0.837301,0,True,0.2781743,2,1.309,3273875000000.0,1.754542,1.129049,0.1209517,60.89348,6.371565,3,1.309,110673500000.0,1.754542,1.129049,0.113668,95.19122,0.06500486,4,1.309,17.54,0.0,0.0,0.4301303,-155.7387,0.0,0,1.309,889094500000.0,0.0,0.0,0.2935791,168.1287,16.5377,1,1.309,30925210000.0,0.0,0.0,0.3890735,191.772,0.09150655
0002,0.3113562,0.7042965,0.4323329,-0.04983894,-0.1120003,0,False,-1.0,0,2.066,1055414000000.0,0.0,0.0,0.1777427,174.4483,3.995002,1,2.066,20818870000.0,0.0,0.0,0.2940434,141.2823,0.01852329,2,2.066,14.36,0.0,0.0,0.0690086,-131.4787,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.02646743,0.05167476,0.2681768,-0.002919716,0.007899202,0,False,-1.0,0,2.379,178499600000.0,0.0,0.0,0.20353,-111.7475,3.770239,1,2.379,808397500.0,0.0,0.0,0.1976695,-172.8018,0.01247555,2,2.379,4.08,0.0,0.0,0.159621,-176.9692,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.3154311,0.8047097,0.2086276,0.1140738,-0.298613,0,False,-1.0,0,0.618,533465400000.0,0.0,0.0,0.2962053,-31.88316,4.608303,1,0.618,22588470000.0,0.0,0.0,0.1537962,-26.68697,0.07672232,2,0.618,3.78,0.0,0.0,0.1085954,114.6642,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.4785546,1.05799,0.3745223,0.2589687,0.1671583,0,False,-1.0,0,1.437,1617021000000.0,0.0,0.0,0.09550352,-134.2084,2.56457,1,1.437,45158880000.0,0.0,0.0,0.1566223,-91.49561,0.03455316,2,1.437,8.58,0.0,0.0,0.1348962,-161.7907,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3190,1.058697,2.120856,0.3507883,-0.8701817,3.649946,0,True,0.2734059,2,1.583,41117320000000.0,-2.659535,9.280478,0.3370537,-72.65742,2.814416,3,1.583,118306200000.0,-2.659535,9.280478,0.2389818,-46.35125,0.05221739,4,1.583,8.96,0.0,0.0,0.1557316,108.9569,0.0,0,1.583,1851774000000.0,0.0,0.0,0.1322898,162.2912,14.19476,1,1.583,47854960000.0,0.0,0.0,0.05490614,162.5798,0.115412
6246,0.5195578,1.178054,0.1026172,0.4795736,-0.0608028,0,False,-1.0,0,1.683,1592933000000.0,0.0,0.0,0.1771226,-12.31495,4.096945,1,1.683,61347360000.0,0.0,0.0,0.5172204,-68.97859,0.05345215,2,1.683,4.75,0.0,0.0,0.1291522,173.7322,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3191,0.6687278,1.165825,0.05685657,0.08581775,1.222283,0,True,0.2739342,2,1.72,6186587000000.0,-3.668402,25.36781,0.3071189,160.5214,4.105057,3,1.72,80447500000.0,-3.668402,25.36781,0.289937,115.9144,0.03846461,4,1.72,10.48,0.0,0.0,0.1273359,142.8333,0.0,0,1.72,1314342000000.0,0.0,0.0,0.1333223,-56.06504,10.18327,1,1.72,39426090000.0,0.0,0.0,0.2813317,-69.09651,0.0749427
