event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[27.55, 30.59, 0.11]","[-1.7211, 2.2069, 0.0]","[27.70625, 0.0, 62.35957]","[-0.29991, 0.15469, -0.00024]","[-0.17412, 0.52736, -0.00038]","[0.4138, 0.239, 188.8983]","[-0.5296, 0.2754, 2.0916]","[-0.8026, -0.2239, -1.0658]","[0.0815, 0.02203, 187.591]"
0002,2,2,"[40.25, 28.62]","[2.8877, -1.2484]","[0.0, 27.20712]","[-0.25709, 0.07844]","[-0.38336, 0.23588]","[0.3252, 0.4919]","[0.1573, 0.8783]","[-0.2903, -0.5364]","[0.01493, 0.07462]"
0003,3,2,"[15.83, 55.67, 1.31]","[-0.783, 2.9197, 0.0025]","[0.389064, 0.0, 0.56449]","[0.00464, -0.03211, 0.00012]","[-0.01994, 0.01638, -0.00037]","[0.695, 0.278, 21.7298]","[1.0609, -0.1507, 5.2021]","[0.4946, 0.395, 2.9208]","[0.50271, 0.10429, 21.35484]"
0004,3,2,"[12.67, 9.25, 0.45]","[1.3364, -0.2788, 0.0009]","[0.0, 23.24768, 25.30367]","[0.26207, -0.04382, -0.00202]","[-0.58964, 0.15466, 0.00682]","[0.1227, 0.8666, 35.518]","[0.1021, 1.5942, 9.5991]","[0.1043, 1.031, 4.1623]","[0.02018, 0.68375, 35.15528]"
0005,3,2,"[25.14, 15.97, 0.05]","[1.5511, -0.5809, 0.0]","[0.0, 71.03465, 104.8915]","[0.68519, -0.23475, -0.00056]","[0.35925, -0.1633, -0.00031]","[0.1814, 0.4022, 437.0872]","[-0.0508, -0.3893, -65.7474]","[-0.1509, -1.3882, -57.223]","[0.00948, 0.14748, 436.3071]"
0006,3,2,"[28.47, 10.6, 1.31]","[2.8181, -0.5201, 0.0058]","[0.0, 11.72283, 13.04406]","[-0.37314, 0.1987, 0.00998]","[-0.77923, 0.22822, 0.01374]","[0.1421, 0.5518, 14.1635]","[0.1891, 0.1068, 0.6069]","[-0.5876, -1.4533, 1.3667]","[0.03655, 0.3871, 13.83668]"
0007,3,2,"[87.91, 19.74, 0.72]","[2.7588, -0.6285, 0.0002]","[0.0, 59.5422, 80.35343]","[0.35136, -0.19353, -0.00201]","[0.7728, -0.32416, -0.00339]","[0.2531, 0.5742, 67.627]","[0.2934, 0.6655, 2.7692]","[-0.3306, -1.1531, -11.2497]","[0.02925, 0.24665, 66.70347]"
0008,3,2,"[16.27, 0.21, 8.95]","[1.754, 0.0001, -0.1846]","[0.0, 213.2017, 193.2344]","[0.92734, -0.00189, -0.10109]","[-1.80554, 0.00765, 0.39838]","[0.2194, 105.7074, 1.0178]","[0.1111, 32.0727, 2.0046]","[0.164, 6.277, 1.1824]","[0.00543, 104.3829, 0.49141]"
0009,3,2,"[33.55, 15.52, 0.46]","[1.6661, -0.4067, 0.0006]","[0.0, 60.23385, 70.56138]","[-0.32507, 0.13878, 0.00337]","[0.7248, -0.23486, -0.00618]","[0.1564, 0.6695, 42.4323]","[0.1991, 0.7412, 5.1888]","[0.2679, 1.4209, 8.2841]","[0.03191, 0.46206, 41.92985]"
0010,3,2,"[27.29, 11.5, 1.69]","[1.7553, -0.2548, 0.0055]","[0.0, 60.70821, 62.03584]","[-0.44355, 0.07923, 0.00979]","[-0.59371, 0.08518, 0.00997]","[0.2168, 1.2592, 14.9359]","[0.0435, 0.2699, -0.7794]","[-0.2045, -1.9797, -3.628]","[0.00706, 0.72724, 14.00569]"
0011,2,2,"[42.72, 15.13]","[1.7753, -0.2756]","[0.0, 130.7699]","[0.6874, -0.2095]","[0.41707, -0.11883]","[0.2133, 0.5446]","[-0.1029, -0.9587]","[-0.2121, -1.7077]","[0.00531, 0.16582]"
0012,3,2,"[15.36, 11.33, 0.48]","[2.0093, -0.4699, 0.0011]","[0.0, 53.99389, 61.40411]","[-0.50543, 0.14761, 0.00458]","[-0.05763, -0.06302, -0.00183]","[0.2603, 0.8587, 33.4121]","[-0.2223, -1.0864, -3.7317]","[0.0098, 0.9839, 10.5485]","[0.01328, 0.42984, 32.42984]"
0013,3,2,"[14.92, 14.94, 0.45]","[2.0889, -1.9529, 0.0016]","[0.0, 5.735841, 8.775932]","[0.28283, -0.24728, -0.00255]","[-0.33295, 0.05554, 0.00174]","[0.2631, 0.5757, 27.0113]","[0.0575, -0.8021, -3.9377]","[0.2469, 0.2206, 5.5453]","[0.06676, 0.29722, 26.22769]"
0014,3,2,"[70.98, 28.87, 1.55]","[2.6107, -0.4876, 0.0016]","[0.0, 41.85076, 49.36231]","[0.47288, -0.17807, -0.00614]","[-0.15647, 0.08055, 0.00247]","[0.2471, 0.779, 26.9485]","[-0.2962, -0.8728, -6.1414]","[0.3099, 1.1567, 4.4167]","[0.0595, 0.52002, 26.42273]"
0015,3,2,"[15.65, 33.56, 0.27]","[-1.3528, 3.0373, 0.0002]","[8.400701, 0.0, 17.1442]","[-0.05729, 0.27261, -0.00038]","[-0.18359, 0.12266, -0.00063]","[0.5684, 0.3359, 69.7557]","[0.8685, -0.2082, 9.5935]","[-0.4136, -0.2615, -19.9917]","[0.21548, 0.05425, 68.60736]"
0016,3,2,"[9.72, 34.87, 0.73]","[-0.391, 2.9141, 0.0021]","[211.9143, 0.0, 228.8823]","[-0.60483, 2.16099, -0.03061]","[-0.04483, 0.90288, -0.00412]","[1.1036, 0.3489, 23.9777]","[-1.5951, -0.2453, -7.1171]","[-0.1556, -0.1434, -1.7637]","[0.50955, 0.01807, 22.82494]"
0017,3,2,"[43.06, 9.84, 0.28]","[3.5531, -0.7392, 0.0002]","[0.0, 407.173, 438.4735]","[1.21875, -0.10384, -0.00206]","[-1.90019, 0.47274, 0.00647]","[0.3848, 1.2009, 76.0564]","[0.1676, 1.0974, 12.8029]","[0.2625, 0.4347, 6.1067]","[0.00131, 0.10291, 72.72565]"
0018,3,2,"[117.5, 42.88, 2.6]","[1.6077, -0.3667, 0.0012]","[0.0, 32.70379, 35.76274]","[-0.03865, 0.03833, 0.00174]","[-0.4166, 0.10776, 0.00475]","[0.1875, 0.9524, 32.7651]","[0.1955, 1.38, 6.9368]","[-0.0017, -0.9082, -10.9081]","[0.01789, 0.62301, 32.05368]"
