event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
5725,3,3,"[77.11, 66.12, 13.51]","[2.9966, -1.3855, 0.0701]","[0.0, 91.12728, 94.44249]","[1.16848, -0.49676, -0.07103]","[-1.11045, 0.11799, 0.02442]","[0.3822, 1.2791, 5.4552]","[-0.0108, -0.8412, -1.9884]","[0.2187, 0.3033, 1.273]","[0.01616, 0.26304, 3.18715]"
0022,3,3,"[24.06, 9.84, 8.2]","[2.1537, -0.3598, 0.1302]","[0.0, 141.6198, 141.7282]","[1.01991, -0.16352, -0.09055]","[-1.70403, 0.19182, 0.10845]","[0.2774, 2.9772, 5.5666]","[0.0598, 0.2931, 0.5592]","[0.233, 2.5695, 3.5858]","[0.03911, 2.47769, 4.99443]"
3212,3,3,"[81.53, 133.93, 9.61]","[-1.4398, 3.9103, 0.0266]","[2.990128, 0.0, 3.295634]","[-0.09925, 0.30007, -0.00681]","[-0.06615, -0.06559, -0.00353]","[1.0046, 0.3991, 7.3188]","[-0.3294, -0.3235, -0.3307]","[-0.7655, 0.0274, -1.4898]","[0.16402, 0.01734, 5.13025]"
5732,3,3,"[61.24, 30.33, 13.66]","[1.9795, -0.4608, 0.0921]","[0.0, 18.10637, 18.14839]","[-0.33496, 0.00271, 0.00168]","[-0.49612, 0.08342, 0.0339]","[0.2699, 2.3098, 5.8378]","[0.0903, 1.9651, 3.5418]","[-0.1406, -0.1556, 0.0625]","[0.00795, 1.51535, 4.79865]"
5734,3,3,"[52.52, 22.37, 8.53]","[2.3519, -0.4255, 0.1132]","[0.0, 142.6114, 142.7515]","[-0.61082, 0.08058, 0.03911]","[0.73601, -0.07368, -0.03647]","[0.3171, 2.7851, 5.7937]","[0.0487, -0.273, -0.3731]","[0.1971, 2.3371, 3.743]","[0.01221, 1.59632, 4.27145]"
0067,3,3,"[38.56, 66.88, 25.5]","[-1.5686, 4.6484, 0.3015]","[20.9382, 0.0, 21.19442]","[0.32003, -0.84082, 0.10458]","[-0.20126, 0.84517, -0.06871]","[1.4701, 0.4301, 3.432]","[-0.4309, 0.0118, -0.6951]","[0.8202, 0.3309, 1.4543]","[1.00036, 0.15282, 2.77303]"
3259,3,3,"[19.35, 15.09, 20.91]","[3.2268, 1.7886, -3.3429]","[0.0, 11.94099, 11.93786]","[-0.20863, 0.02593, 0.03736]","[-0.11365, 0.0117, 0.01663]","[0.3891, 2.2679, 1.6859]","[-0.1559, -0.6957, -0.6058]","[-0.1975, -0.7513, -0.6345]","[0.02327, 1.18506, 0.73802]"
0106,3,3,"[26.8, 32.28, 8.82]","[1.9729, -2.9535, 0.2873]","[0.0, 8.155032, 8.400328]","[0.29552, 0.01055, -0.00968]","[-0.67495, 0.26061, 0.05519]","[0.2758, 1.1325, 3.2671]","[-0.1137, 0.5501, 1.2867]","[0.068, -0.2314, 0.0597]","[0.09269, 0.78864, 2.72734]"
0122,3,3,"[77.48, 35.49, 21.14]","[1.8884, -0.2936, 0.092]","[0.0, 125.276, 125.3562]","[-0.10068, 0.01887, 0.00998]","[1.18116, -0.10265, -0.05376]","[0.2468, 2.5558, 5.4204]","[0.1943, 2.2805, 2.7114]","[-0.0038, 0.7909, 1.1488]","[0.00713, 1.87251, 4.61559]"
0124,3,3,"[36.91, 11.35, 13.96]","[2.0121, 0.1766, -0.2942]","[0.0, 242.3436, 242.3345]","[0.77495, -0.03573, -0.04756]","[-1.66438, 0.07164, 0.09336]","[0.2858, 6.1251, 4.4208]","[-0.0398, 2.5726, 2.026]","[0.107, 3.7397, 3.3161]","[0.00582, 5.2929, 3.63757]"
3289,3,3,"[15.13, 16.28, 9.92]","[3.0039, -4.7009, 1.8607]","[0.0, 2.1186, 2.126397]","[-0.17117, 0.02835, 0.01525]","[-0.02473, 0.03765, 0.01564]","[0.3909, 1.3112, 1.9513]","[-0.1762, 0.2824, 0.2552]","[-0.084, -0.4794, -0.5499]","[0.002, 0.04712, 0.13171]"
0138,3,3,"[12.91, 12.02, 8.46]","[3.0868, -1.9011, 0.9455]","[0.0, 0.724474, 0.724963]","[-0.04275, 0.01266, 0.00799]","[-0.10774, 0.02011, 0.01293]","[0.3401, 1.755, 2.5827]","[0.2142, 0.4178, 0.4931]","[-0.2563, -0.9599, -1.0973]","[0.10514, 1.38041, 2.16837]"
5744,3,3,"[66.47, 50.43, 10.54]","[2.4556, -1.3626, 0.08]","[0.0, 55.82499, 56.46327]","[0.65951, -0.15673, -0.03249]","[-1.01726, 0.17011, 0.03692]","[0.3424, 1.2032, 4.814]","[0.0602, 0.0892, -0.0317]","[0.147, 0.8759, 1.4287]","[0.00751, 0.38915, 3.55767]"
3332,3,3,"[44.26, 16.88, 13.0]","[3.0201, -0.4131, 0.2417]","[0.0, 86.57498, 86.58052]","[-0.31423, 0.02886, 0.02117]","[0.52428, -0.04183, -0.03146]","[0.3144, 3.7471, 5.2091]","[0.1318, 0.8424, 1.1649]","[0.3486, 3.0427, 3.4961]","[0.01194, 2.68603, 4.05023]"
5753,3,3,"[84.94, 69.49, 21.78]","[1.668, -1.9979, 0.1735]","[0.0, 16.33459, 16.45275]","[0.41516, -0.02918, -0.01347]","[-0.58185, 0.12217, 0.03209]","[0.2225, 1.1433, 3.6867]","[-0.0288, 0.7069, 1.0401]","[-0.0645, 0.146, 0.6097]","[0.00766, 0.47795, 2.63955]"
3338,3,3,"[229.7, 85.65, 9.99]","[3.7475, -0.3064, 0.0082]","[0.0, 134.3266, 136.487]","[0.49928, -0.08366, -0.01283]","[-0.80513, 0.13153, 0.01883]","[0.3824, 1.9028, 14.2371]","[0.1666, 0.9657, 2.4305]","[0.2947, 1.7739, 6.9297]","[0.00979, 0.81409, 12.26177]"
0235,3,3,"[43.12, 16.82, 11.89]","[5.0491, -0.7382, 0.2473]","[0.0, 66.94885, 67.12102]","[1.92161, -0.36618, -0.17867]","[0.15056, 0.16365, 0.07767]","[0.4229, 2.226, 4.1684]","[-0.3629, -1.0654, -1.6597]","[0.0579, 1.3125, 1.8]","[0.0889, 1.60822, 3.41803]"
2982,5,5,"[416.32, 427.72, 309.49, 111.61, 158.34]","[11.8412, -14.8616, 7.3949, 0.9199, -2.0361]","[2.180727, 2.907115, 0.0, 66.8385, 66.71664]","[-1.32724, -1.93898, -2.08659, 0.28151, 0.51015]","[-1.8097, -0.87117, 0.96048, 0.08987, 0.16294]","[0.5297, 0.5926, 0.5064, 2.569, 1.7071]","[-0.0011, -0.3461, -0.2883, -0.9495, -0.8148]","[-0.3697, -0.3369, 0.159, -0.6879, -0.572]","[0.1273, 0.14388, 0.10355, 1.86882, 1.08135]"
0258,3,3,"[57.42, 27.99, 13.15]","[2.5198, -0.3345, 0.082]","[0.0, 11.24822, 11.29105]","[0.47138, -0.09588, -0.04035]","[-0.46221, 0.09359, 0.03981]","[0.2425, 2.6174, 6.3031]","[-0.0633, -0.1349, -0.01]","[0.4159, 2.3638, 3.9902]","[0.13727, 2.43022, 6.07102]"
