event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
5725,1.190356,2.069323,0.4623509,-1.026837,0.1261916,0,True,0.2871684,2,0.564,13790310000000.0,-37.07824,8.335101,0.118069,7.769273,5.363146,3,0.564,145753400000.0,-37.07824,8.335101,0.5328587,-8.263772,0.2293368,4,0.564,1.92,0.0,0.0,0.1273315,-39.3183,0.0,0,0.564,2947472000000.0,0.0,0.0,0.3212487,-100.6836,20.66585,1,0.564,72865680000.0,0.0,0.0,0.2382016,-101.3358,0.3382473
0022,1.011076,2.234892,0.1670617,0.5912064,-0.6947427,0,False,-1.0,0,0.443,9937155000000.0,0.0,0.0,0.2403391,-113.4937,5.12848,1,0.443,165497100000.0,0.0,0.0,0.245785,-146.0157,0.3693555,2,0.443,2.29,0.0,0.0,0.05607577,98.19451,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3212,0.2035395,0.3993246,0.3682144,0.5097263,-0.1152607,0,True,0.2996333,2,0.601,1812626000000.0,10.8704,-4.097125,0.1602957,-140.3361,4.515637,3,0.601,51237150000.0,10.8704,-4.097125,0.09948939,-102.5584,0.1772156,4,0.601,4.31,0.0,0.0,0.09955127,-53.21205,0.0,0,0.601,196841000000.0,0.0,0.0,0.2384562,146.0906,25.85604,1,0.601,3842082000.0,0.0,0.0,0.3507674,188.3078,0.07923447
5732,0.2976286,0.6707345,0.2327759,-0.2728513,0.2180054,0,True,0.2935138,2,0.565,2312456000000.0,-1.035299,1.989368,0.155776,73.93278,7.649755,3,0.565,51450880000.0,-1.035299,1.989368,0.3965867,90.94076,0.1017198,4,0.565,1.58,0.0,0.0,0.04212731,88.7902,0.0,0,0.565,387527600000.0,0.0,0.0,0.3959266,36.2465,19.08113,1,0.565,14143010000.0,0.0,0.0,0.5215155,23.26248,0.0906713
5734,0.5289251,1.064722,0.1809327,-0.8838123,-0.2688042,0,True,0.2777544,2,1.381,10054660000000.0,-17.14585,-16.49031,0.3394169,-34.88014,3.607543,3,1.381,94184070000.0,-17.14585,-16.49031,0.5255204,-109.267,0.04437879,4,1.381,2.84,0.0,0.0,0.06340278,-45.9574,0.0,0,1.381,1678617000000.0,0.0,0.0,0.2870213,63.93811,13.93085,1,1.381,52328430000.0,0.0,0.0,0.2310676,52.432,0.1134609
0067,0.8709967,1.562882,0.3374598,-0.2558215,0.1830995,0,False,-1.0,0,0.257,3742325000000.0,0.0,0.0,0.1957177,-53.06502,11.66163,1,0.257,93440070000.0,0.0,0.0,0.4209506,-121.8107,0.6590506,2,0.257,1.32,0.0,0.0,0.008634041,111.1233,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3259,0.1460158,0.2783557,0.9652905,-0.3361677,0.1820341,0,True,0.278784,2,1.613,2542515000000.0,-2.5351,1.735511,0.2698064,-53.9875,6.132602,3,1.613,52231830000.0,-2.5351,1.735511,0.3014155,-32.8705,0.04758554,4,1.613,2.62,0.0,0.0,0.03836132,-55.91218,0.0,0,1.613,402895000000.0,0.0,0.0,0.1780505,-157.0895,18.33411,1,1.613,7274183000.0,0.0,0.0,0.005662207,-172.432,0.06508612
0106,0.2785568,0.9779928,0.667967,0.06304703,-0.12449,0,False,-1.0,0,0.404,638891600000.0,0.0,0.0,0.3805109,-24.96088,9.983606,1,0.404,35629390000.0,0.0,0.0,0.5100855,-6.491499,0.4149637,2,0.404,11.61,0.0,0.0,0.3019336,-77.29444,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0122,0.7282711,1.289364,0.1554731,-0.05268835,0.5843684,0,False,-1.0,0,0.883,3545507000000.0,0.0,0.0,0.332628,-127.9596,6.6045,1,0.883,74016940000.0,0.0,0.0,0.4184206,-94.01569,0.1597007,2,0.883,2.63,0.0,0.0,0.0595248,-48.70027,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0124,0.6338012,1.940666,0.1462201,0.4594622,-0.6653701,0,False,-1.0,0,1.068,7355978000000.0,0.0,0.0,0.2292858,-0.1169858,3.942187,1,1.068,91671400000.0,0.0,0.0,0.3243462,-16.69904,0.1589769,2,1.068,6.18,0.0,0.0,0.174764,-84.31844,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
