event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
3183,1,1,[10.84],[4.9626],[0.0],[-1.91229],[-3.32895],[0.4684],[0.1579],[-0.237],[0.0013]
3184,1,1,[19.83],[3.1536],[0.0],[-0.36627],[-0.17386],[0.2754],[-0.3729],[-0.2624],[0.02715]
3185,1,1,[43.46],[3.5018],[0.0],[-3.71885],[-2.12547],[0.428],[-0.1129],[-0.1699],[0.00133]
3186,1,1,[49.56],[3.5964],[0.0],[-1.20339],[6.71446],[0.4404],[0.164],[0.0906],[0.00037]
3187,3,1,"[7.19, 19.9, 0.39]","[-0.5501, -4.1133, 0.0015]","[355.3529, 282.6599, 365.8458]","[0.05891, -0.42999, 0.00229]","[-0.36112, 0.85801, -0.0098]","[1.3155, 0.5774, 30.3334]","[1.3178, 0.2908, 12.4542]","[0.4254, 0.5807, 5.5273]","[0.19544, 0.01427, 26.20221]"
3188,1,1,[63.65],[3.5008],[0.0],[0.89257],[-1.35505],[0.4207],[0.1201],[0.1884],[0.02094]
3189,1,1,[61.18],[8.4818],[0.0],[0.02089],[-0.0056],[0.5596],[-0.2445],[0.1274],[0.18227]
3190,3,2,"[24.33, 35.55, 0.48]","[-1.7805, 5.0756, 0.0027]","[200.6792, 0.0, 224.9519]","[-0.21642, 0.01912, -0.00401]","[-0.52956, 1.57818, -0.01324]","[1.016, 0.4873, 21.4886]","[0.4831, 0.2524, 5.6404]","[-0.5731, -0.0457, -3.8569]","[0.05304, 0.00335, 17.33385]"
3191,3,1,"[25.41, 5.21, 0.37]","[4.2712, -0.2428, 0.0012]","[0.0, 129.9438, 136.1501]","[0.87081, -0.14838, -0.00911]","[0.43618, -0.12987, -0.00709]","[0.3677, 1.6295, 32.8486]","[-0.1409, -0.1077, -4.712]","[-0.3818, -2.1219, -13.7499]","[0.01097, 0.57656, 30.28617]"
3192,1,1,[15.34],[3.0888],[0.0],[-0.73186],[8.30929],[0.3862],[0.1899],[0.1302],[0.00179]
3193,1,1,[39.33],[4.7366],[0.0],[-5.76524],[9.31631],[0.3826],[0.0637],[0.4075],[0.00014]
3194,1,1,[10.91],[3.3094],[0.0],[-0.19452],[0.27483],[0.3086],[0.0509],[0.4162],[0.01376]
3195,1,1,[27.8],[6.068],[0.0],[6.72118],[-6.43023],[0.4753],[-0.1385],[0.3023],[0.00046]
2953,5,4,"[33.73, 43.57, 20.58, 73.07, 0.11]","[2.3797, -2.905, -1.8896, 4.6416, 0.0]","[0.0, 17.77076, 19.85648, 15.65885, 67.95183]","[0.58076, -0.53373, 0.18096, -0.53415, -0.00013]","[-0.545, -0.26771, 0.56938, 0.37107, 0.00021]","[0.2657, 0.3535, 0.4301, 0.3025, 265.3067]","[-0.049, -0.5198, 0.7083, -0.2363, 46.6488]","[0.3414, -0.7014, -0.5935, 0.464, -26.0173]","[0.01684, 0.07196, 0.13631, 0.02796, 263.8438]"
