event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
2953,5,4,"[33.73, 43.57, 20.58, 73.07, 0.11]","[2.3797, -2.905, -1.8896, 4.6416, 0.0]","[0.0, 17.77076, 19.85648, 15.65885, 67.95183]","[0.58076, -0.53373, 0.18096, -0.53415, -0.00013]","[-0.545, -0.26771, 0.56938, 0.37107, 0.00021]","[0.2657, 0.3535, 0.4301, 0.3025, 265.3067]","[-0.049, -0.5198, 0.7083, -0.2363, 46.6488]","[0.3414, -0.7014, -0.5935, 0.464, -26.0173]","[0.01684, 0.07196, 0.13631, 0.02796, 263.8438]"
2954,4,4,"[27.6, 13.05, 12.44, 19.09]","[4.9179, -1.5218, 1.6499, -3.2975]","[5894.062, 6799.948, 0.0, 6011.356]","[1.72145, -3.09693, 1.02722, 3.99124]","[-5.16819, -1.32677, 9.71517, -2.82966]","[0.4798, 1.1417, 0.2045, 0.7922]","[0.1799, -0.6689, 0.1466, -0.3173]","[0.1867, -0.4793, -0.0727, 0.4957]","[0.00045, 0.00159, 5e-05, 0.00129]"
2955,5,4,"[41.92, 56.61, 74.06, 82.49, 0.56]","[2.7409, -3.0199, 8.6321, -6.1272, 0.0005]","[0.0, 52.44238, 48.5585, 49.3903, 90.71092]","[-1.76688, 0.90041, 1.07322, 0.52148, 0.00522]","[-0.52765, -0.55557, 0.53116, 0.93575, 0.00021]","[0.3826, 0.6036, 0.5186, 0.5753, 45.911]","[-0.1149, -0.1397, -0.1371, 0.4439, -11.6892]","[-0.0558, 0.6847, -0.3116, -0.3829, 5.1813]","[0.01939, 0.15292, 0.05079, 0.04947, 44.23487]"
2956,5,3,"[18.94, 7.55, 13.89, 13.72, 0.53]","[5.3743, -1.6029, -3.9871, 2.3371, 0.0056]","[2.430322, 3.652651, 2.53962, 0.0, 5.770555]","[0.28567, -0.22644, 0.35885, -0.13531, -0.00101]","[-0.23393, -0.19121, -0.01767, 0.43517, -0.00337]","[0.3848, 0.666, 0.5532, 0.2661, 14.5995]","[-0.0768, -0.0969, -0.671, 0.3056, -0.5387]","[0.4319, -0.8521, 0.0131, 0.1317, -2.4075]","[0.18089, 0.431, 0.32547, 0.09042, 14.00421]"
2957,5,4,"[55.53, 41.52, 42.26, 88.34, 2.6]","[14.0231, 4.9223, -3.2179, -13.1695, 0.0165]","[22.45799, 0.0, 44.62144, 23.18627, 67.28079]","[0.97275, -2.55887, 1.2249, -0.22854, 0.02453]","[-1.96202, 0.83227, 1.10816, -2.0663, 0.00981]","[0.5573, 0.4987, 0.8095, 0.6224, 8.9883]","[0.2703, -0.1786, -0.0024, 0.4453, -0.8962]","[0.2272, 0.1273, -0.5891, -0.1421, -1.4903]","[0.1017, 0.06307, 0.20954, 0.12816, 7.48363]"
2958,5,4,"[12.82, 18.16, 16.07, 17.36, 0.31]","[-2.3013, 5.2128, 3.9912, -3.1014, 0.0009]","[67.93198, 32.8984, 0.0, 55.32184, 125.1864]","[0.04933, -1.691, 1.90274, -0.48588, -0.00172]","[-0.99098, -0.14505, 0.43439, 1.01012, -0.00161]","[0.653, 0.5515, 0.4909, 0.636, 33.7017]","[0.7405, -0.0943, -0.012, 0.5394, -1.8259]","[0.0816, -0.0216, -0.0919, 0.405, -1.3829]","[0.08382, 0.02717, 0.0175, 0.075, 31.33091]"
2959,4,4,"[28.67, 25.24, 38.42, 41.44]","[4.5991, -3.1403, -5.5543, 7.836]","[0.0, 212.7426, 150.7455, 123.6128]","[1.7818, -1.07739, 0.63406, -0.99714]","[-1.5376, -0.54267, 1.26672, 1.63642]","[0.5223, 0.7223, 0.6393, 0.5988]","[-0.0515, -0.2755, 0.2242, 0.1546]","[0.0903, -0.5654, -0.5098, 0.097]","[0.00107, 0.0113, 0.00455, 0.00164]"
2960,5,4,"[114.45, 74.11, 59.99, 95.98, 0.17]","[6.1509, -2.6765, -3.3126, 4.5472, 0.0]","[97.69388, 179.3661, 155.9706, 0.0, 331.4918]","[-0.38274, 0.81684, -0.96743, 0.2304, 7e-05]","[-1.29758, -0.28984, -0.02283, 1.60528, -0.00037]","[0.5697, 0.9005, 0.8751, 0.5118, 199.378]","[0.1283, -0.5019, -0.5618, 0.1352, 10.2036]","[-0.0779, 0.3628, 0.0427, -0.0129, -0.9689]","[0.0049, 0.01837, 0.01551, 0.00275, 196.2147]"
2961,5,4,"[19.86, 35.1, 31.74, 16.51, 0.4]","[-2.7237, 5.3806, -4.2441, 3.9061, 0.0006]","[1004.436, 438.4334, 687.7623, 0.0, 1218.038]","[0.72076, -4.6638, -2.11457, 4.63436, -0.00069]","[-2.15838, -1.24138, 2.62721, 3.17129, -0.00805]","[1.056, 0.5509, 0.852, 0.4798, 43.5784]","[0.4568, -0.1232, 0.1785, 0.0022, 8.4333]","[0.402, -0.0256, 0.475, -0.1208, 1.7302]","[0.01005, 0.00086, 0.00368, 0.00051, 39.38665]"
2962,5,3,"[31.52, 27.59, 34.56, 1.47, 6.07]","[3.651, -3.1948, 2.704, 0.0081, -0.0536]","[668.9946, 999.0567, 0.0, 2270.602, 2269.906]","[-3.42006, 1.37271, 6.67864, -0.0424, -0.10301]","[-4.59904, -3.78608, 1.09492, 0.04538, 0.11677]","[0.4379, 0.7525, 0.3787, 19.7297, 6.8922]","[0.2034, 0.4225, -0.0617, 1.4598, 1.5393]","[-0.0257, 0.4424, 0.111, 15.0161, 7.141]","[0.00011, 0.00068, 0.00012, 16.44662, 4.17899]"
