event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
2953,0.5493728,1.442989,1.0,0.0548328,-0.06041781,0,False,-1.0,0,0.884,1796618000000.0,0.0,0.0,0.1158023,6.091912,5.397134,1,0.884,71277510000.0,0.0,0.0,0.4091745,-26.15668,0.0784228,2,0.884,6.9,0.0,0.0,0.1310884,-47.47381,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2954,8.913832,14.89954,1.0,0.649385,1.949348,0,False,-1.0,0,1.378,53654440000000.0,0.0,0.0,0.5068267,84.85761,8.721632,1,1.378,248506000000.0,0.0,0.0,0.363012,62.45812,0.1092154,2,1.378,15.6,0.0,0.0,0.09925675,96.24368,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2955,1.317553,3.031044,1.0,-0.2393735,-0.05493761,0,False,-1.0,0,0.429,11097080000000.0,0.0,0.0,0.2999092,152.1932,7.704264,1,0.429,124761700000.0,0.0,0.0,0.3594101,243.6733,0.2566085,2,0.429,2.78,0.0,0.0,0.1849601,-152.1385,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2956,0.4426035,0.7905213,1.0,0.007140949,0.06236084,0,False,-1.0,0,0.441,771754600000.0,0.0,0.0,0.3487823,-79.29889,6.36336,1,0.441,26360380000.0,0.0,0.0,0.3542189,-74.35758,0.224528,2,0.441,16.21,0.0,0.0,0.08483082,-46.04403,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2957,2.139234,4.503377,1.0,-0.2236875,-0.07222858,0,False,-1.0,0,0.237,34319500000000.0,0.0,0.0,0.3365584,124.5048,7.881599,1,0.237,285591800000.0,0.0,0.0,0.1053468,145.0595,1.227811,2,0.237,3.62,0.0,0.0,0.08473165,-179.9833,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2958,1.463683,3.640162,1.0,0.0651976,0.0681707,0,False,-1.0,0,0.818,14014940000000.0,0.0,0.0,0.3471941,80.54855,5.469717,1,0.818,149250800000.0,0.0,0.0,0.1833396,61.91595,0.3125782,2,0.818,8.36,0.0,0.0,0.3043745,2.293317,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2959,1.681367,4.218639,1.0,0.1485788,-0.01863753,0,False,-1.0,0,1.425,15025580000000.0,0.0,0.0,0.2258756,47.14518,6.88377,1,1.425,115596100000.0,0.0,0.0,0.227719,99.66696,0.05712462,2,1.425,5.71,0.0,0.0,0.2448136,134.4651,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2960,1.486402,2.966909,1.0,-0.01838747,0.08812761,0,False,-1.0,0,1.436,56086150000000.0,0.0,0.0,0.486099,83.33703,4.601814,1,1.436,121075800000.0,0.0,0.0,0.1366613,112.7931,0.07496497,2,1.436,2.78,0.0,0.0,0.0564628,-172.1185,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2961,3.676281,10.29211,1.0,0.07228076,0.4064713,0,False,-1.0,0,1.117,70587670000000.0,0.0,0.0,0.2585227,-148.554,5.131583,1,1.117,182180600000.0,0.0,0.0,0.1671055,-137.5901,0.2172818,2,1.117,7.69,0.0,0.0,0.09771667,-158.7328,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2962,3.486366,11.59331,1.0,0.9065679,-1.126739,0,False,-1.0,0,1.332,62689090000000.0,0.0,0.0,0.3229978,33.11456,5.206936,1,1.332,133951000000.0,0.0,0.0,0.3992243,54.85924,0.1154185,2,1.332,7.55,0.0,0.0,0.2092793,-154.2656,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
