event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
5724,3,2,"[20.84, 11.06, 0.73]","[2.0876, -0.5155, 0.0034]","[0.0, 74.72059, 76.98124]","[-0.17336, 0.12526, 0.00672]","[-1.20046, 0.15675, 0.01089]","[0.3011, 1.3947, 19.0501]","[0.0655, 0.1825, 1.3824]","[-0.072, -1.4362, -5.2187]","[0.00204, 0.26324, 16.41185]"
3190,3,2,"[24.33, 35.55, 0.48]","[-1.7805, 5.0756, 0.0027]","[200.6792, 0.0, 224.9519]","[-0.21642, 0.01912, -0.00401]","[-0.52956, 1.57818, -0.01324]","[1.016, 0.4873, 21.4886]","[0.4831, 0.2524, 5.6404]","[-0.5731, -0.0457, -3.8569]","[0.05304, 0.00335, 17.33385]"
3196,3,2,"[55.47, 40.83, 1.36]","[3.2837, -1.4612, 0.0065]","[0.0, 6.564692, 8.253198]","[0.28311, -0.04375, -0.00188]","[-0.14121, 0.15151, 0.00371]","[0.3574, 0.8138, 13.8046]","[-0.1405, 0.6977, 2.8442]","[0.2978, 0.4819, 0.9563]","[0.03045, 0.23127, 12.16683]"
5725,3,3,"[77.11, 66.12, 13.51]","[2.9966, -1.3855, 0.0701]","[0.0, 91.12728, 94.44249]","[1.16848, -0.49676, -0.07103]","[-1.11045, 0.11799, 0.02442]","[0.3822, 1.2791, 5.4552]","[-0.0108, -0.8412, -1.9884]","[0.2187, 0.3033, 1.273]","[0.01616, 0.26304, 3.18715]"
5726,3,2,"[57.48, 17.3, 6.62]","[1.8263, -0.1984, 0.0438]","[0.0, 284.5646, 284.8997]","[1.02532, -0.082, -0.03554]","[1.59545, -0.15181, -0.06805]","[0.2269, 2.877, 7.4929]","[0.0834, 1.454, 2.545]","[-0.2079, -2.5398, -3.5823]","[0.008, 2.1044, 6.51432]"
5727,3,2,"[28.71, 23.48, 0.55]","[2.2094, -1.8723, 0.0014]","[0.0, 51.33903, 63.40413]","[-0.3776, -0.00564, 0.00127]","[-0.91819, 0.42645, 0.00756]","[0.3084, 0.7641, 28.8784]","[0.0896, 0.7612, 8.5883]","[-0.1331, 0.1017, -0.6153]","[0.01603, 0.18122, 26.78738]"
3197,3,2,"[57.7, 110.52, 0.98]","[-2.1608, 6.2333, 0.0003]","[80.93605, 0.0, 102.5551]","[-0.39038, 1.07382, -0.00281]","[-0.0973, 0.24977, -6e-05]","[0.8556, 0.5737, 60.7048]","[-0.5897, -0.1402, -10.7904]","[-0.3686, -0.0401, 9.2604]","[0.05003, 0.0031, 58.30336]"
3294,3,2,"[13.94, 10.88, 4.63]","[2.1142, -0.6177, 0.115]","[0.0, 64.31855, 64.55985]","[-0.8129, -0.00295, 0.00438]","[1.2487, -0.24328, -0.08411]","[0.2494, 1.9084, 4.6877]","[0.1544, 1.5568, 2.2032]","[0.2581, -0.1429, -0.2162]","[0.00915, 0.6137, 2.74236]"
3202,3,2,"[37.89, 0.44, 8.64]","[4.2905, 0.0007, -0.1498]","[0.0, 241.1137, 235.46]","[-1.6542, 0.00994, 0.16776]","[-1.02642, 0.01049, 0.15916]","[0.4176, 44.6, 2.104]","[-0.1011, 3.2232, -0.3244]","[-0.3097, -19.2035, -2.7906]","[0.00206, 41.78503, 0.71767]"
3205,5,4,"[71.73, 105.13, 52.92, 110.35, 1.39]","[-33.7973, -64.7548, 28.8175, 72.5257, 0.0097]","[0.262527, 0.190468, 0.0, 0.176992, 1.48932]","[-0.03341, 0.10737, -0.09137, 0.11265, 8e-05]","[-0.10983, 0.0502, 0.08256, -0.03853, -0.00015]","[0.6796, 0.6766, 0.625, 0.6531, 11.1731]","[0.3066, -0.215, -0.0187, -0.2531, 0.6437]","[-0.1956, -0.2716, 0.3249, 0.2062, 0.3985]","[0.02766, 0.02421, 0.01838, 0.02009, 6.80437]"
