event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
5724,0.6606766,1.389671,0.2469112,0.4112187,0.580772,0,True,0.2860191,2,0.954,3965675000000.0,1.227186,2.169792,0.2649141,-134.997,8.219744,3,0.954,57291040000.0,1.227186,2.169792,0.1567961,-167.2044,0.09526846,4,0.954,11.05,0.0,0.0,0.2245729,-99.12855,0.0,0,0.954,664306900000.0,0.0,0.0,0.2851296,104.4884,16.10304,1,0.954,22322580000.0,0.0,0.0,0.2893842,74.46473,0.08236461
3190,1.058697,2.120856,0.3507883,-0.8701817,3.649946,0,True,0.2734059,2,1.583,41117320000000.0,-2.659535,9.280478,0.3370537,-72.65742,2.814416,3,1.583,118306200000.0,-2.659535,9.280478,0.2389818,-46.35125,0.05221739,4,1.583,8.96,0.0,0.0,0.1557316,108.9569,0.0,0,1.583,1851774000000.0,0.0,0.0,0.1322898,162.2912,14.19476,1,1.583,47854960000.0,0.0,0.0,0.05490614,162.5798,0.115412
3196,0.21094,0.4387782,0.4449977,-0.2886412,-0.241384,0,True,0.2869803,2,0.927,2562745000000.0,-18.1774,-10.74958,0.6029864,-57.94472,6.804777,3,0.927,66020510000.0,-18.1774,-10.74958,0.3465753,-84.70282,0.1141558,4,0.927,2.78,0.0,0.0,0.0714336,27.70793,0.0,0,0.927,457081900000.0,0.0,0.0,0.3294514,-7.018894,14.24483,1,0.927,11826690000.0,0.0,0.0,0.3101795,-25.35437,0.08634246
5725,1.190356,2.069323,0.4623509,-1.026837,0.1261916,0,True,0.2871684,2,0.564,13790310000000.0,-37.07824,8.335101,0.118069,7.769273,5.363146,3,0.564,145753400000.0,-37.07824,8.335101,0.5328587,-8.263772,0.2293368,4,0.564,1.92,0.0,0.0,0.1273315,-39.3183,0.0,0,0.564,2947472000000.0,0.0,0.0,0.3212487,-100.6836,20.66585,1,0.564,72865680000.0,0.0,0.0,0.2382016,-101.3358,0.3382473
5726,0.8795214,2.068594,0.1086147,0.4473633,1.693903,0,True,0.2804911,2,0.573,18728130000000.0,-6.793534,96.64649,0.3904651,0.7139142,4.654886,3,0.573,123970100000.0,-6.793534,96.64649,0.3409099,52.58098,0.07719073,4,0.573,1.12,0.0,0.0,0.02457267,131.2437,0.0,0,0.573,6858091000000.0,0.0,0.0,0.2571862,-122.0347,11.27796,1,0.573,163738700000.0,0.0,0.0,0.2587551,-149.4429,0.2082699
5727,0.5412365,1.395137,0.8474031,0.8375789,-0.907378,0,True,0.2892488,2,0.812,11641090000000.0,32.01088,-31.6283,0.4301238,22.49027,4.322332,3,0.812,89330330000.0,32.01088,-31.6283,0.4523569,50.88302,0.2095301,4,0.812,3.01,0.0,0.0,0.146936,-103.597,0.0,0,0.812,1363654000000.0,0.0,0.0,0.2683694,15.85733,13.45665,1,0.812,50066560000.0,0.0,0.0,0.2486269,17.24668,0.1279844
3197,0.6904843,1.50477,0.3466577,1.568941,-0.77308,0,True,0.2829736,2,0.949,26553420000000.0,3.596776,-2.35361,0.1842557,-16.32302,6.222179,3,0.949,166401300000.0,3.596776,-2.35361,0.4990924,-85.81057,0.4210065,4,0.949,1.87,0.0,0.0,0.07285343,166.2533,0.0,0,0.949,3620962000000.0,0.0,0.0,0.3201002,127.3924,11.47012,1,0.949,50989110000.0,0.0,0.0,0.3894268,43.99935,0.07370897
3294,0.9283049,1.697651,0.2921842,-3.295166,1.027654,0,True,0.307791,2,0.446,35380760000000.0,-82.56043,7.318224,0.2003473,124.4819,7.487285,3,0.446,241344300000.0,-82.56043,7.318224,0.5522469,125.3755,0.4971174,4,0.446,10.12,0.0,0.0,0.06973868,-176.1977,0.0,0,0.446,1355733000000.0,0.0,0.0,0.5023791,-25.97652,22.56946,1,0.446,49017940000.0,0.0,0.0,0.3843148,-68.66457,0.2744849
3202,1.0843,2.173747,0.03492309,1.433668,-0.2269818,0,True,0.278806,2,0.893,20476910000000.0,36.82855,1.556021,0.3072182,68.93243,3.619662,3,0.893,252416700000.0,36.82855,1.556021,0.1593841,125.6442,0.188646,4,0.893,5.28,0.0,0.0,0.0755903,-19.89529,0.0,0,0.893,5481590000000.0,0.0,0.0,0.1452542,-48.44293,10.39121,1,0.893,58474920000.0,0.0,0.0,0.2654957,-15.48589,0.08485722
3205,0.119831,0.237244,1.0,-0.05807541,-0.1933666,0,True,0.273555,2,2.334,520531800000.0,-1.093101,-4.168887,0.2542805,66.12242,2.956095,3,2.334,7140349000.0,-1.093101,-4.168887,0.2723181,60.84277,0.02397972,4,2.334,8.69,0.0,0.0,0.01595944,-138.4888,0.0,0,2.334,131367700000.0,0.0,0.0,0.06741932,-61.61616,17.0002,1,2.334,948372400.0,0.0,0.0,0.110604,-32.99529,0.04155555
