event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0262,3,0,"[6.99, 2.9, 0.0]","[5.8953, -1.1138, 0.0]","[0.0, 50.82425, 108.0278]","[0.98314, -0.62239, -0.00051]","[-0.5825, 0.23801, 0.00018]","[0.3754, 0.5351, 548.2304]","[-0.2383, -0.7715, -117.5123]","[0.4046, 0.7202, 46.7795]","[0.01528, 0.07874, 546.4575]"
0001,3,2,"[16.22, 10.21, 6.69]","[1.5037, -0.5922, 0.2528]","[0.0, 16.22661, 16.23445]","[-0.08519, 0.01504, 0.00923]","[0.42158, -0.05443, -0.03359]","[0.1595, 2.3002, 3.9687]","[0.1895, 1.5828, 1.8716]","[0.0735, 0.9348, 1.1638]","[0.03594, 2.05394, 3.69293]"
0181,3,1,"[12.94, 3.71, 0.04]","[2.6366, -0.3313, 0.0]","[0.0, 224.1879, 253.4687]","[1.55526, -0.10132, -0.00105]","[1.56028, -0.42067, -0.00335]","[0.3633, 1.1543, 195.3323]","[0.1286, 1.6191, 58.0147]","[-0.0975, -0.6488, -34.5851]","[0.00183, 0.24869, 192.6236]"
0263,3,0,"[2.47, 0.46, 0.01]","[1.9185, -0.6508, 0.0]","[0.0, 237.2163, 271.4034]","[0.43309, -0.3278, -0.00206]","[1.79517, -0.30342, -0.00255]","[0.2644, 0.9139, 148.6093]","[0.0633, -0.2462, -8.6719]","[-0.1261, -1.218, -39.8478]","[0.0016, 0.14722, 145.9012]"
0264,3,0,"[3.58, 0.02, 1.05]","[3.1966, 0.0002, -0.1833]","[0.0, 1720.375, 1662.633]","[3.29954, -0.01152, -0.27557]","[-4.22065, 0.01781, 0.54388]","[0.4211, 82.2667, 1.8878]","[0.0267, 13.8574, 1.7232]","[0.1468, 37.7482, 1.8094]","[0.00198, 79.68057, 0.6291]"
0265,3,0,"[4.4, 0.0, 1.0]","[1.7309, 0.0, -0.1779]","[0.0, 592.5053, 540.82]","[2.00052, -0.00101, -0.26466]","[-2.48101, 0.00079, 0.19256]","[0.2043, 651.8605, 0.8984]","[-0.09, -69.3054, -0.8933]","[-0.2174, 132.1887, 2.1984]","[0.00031, 650.0674, 0.25411]"
0266,3,0,"[3.97, 4.6, 0.02]","[2.2668, -2.3466, 0.0]","[0.0, 21.81147, 40.2578]","[-0.36973, 0.15073, 0.00037]","[0.31707, -0.23143, -0.00043]","[0.2723, 0.4389, 176.5324]","[-0.043, 0.3759, 12.36]","[0.2941, 0.7744, 15.7258]","[0.01739, 0.09111, 175.17]"
0267,3,0,"[3.64, 0.07, 0.28]","[5.0365, 0.0006, -0.0087]","[0.0, 726.7182, 724.8206]","[-1.94063, 0.01969, 0.08128]","[-0.87902, 0.00637, 0.0272]","[0.3683, 53.9598, 8.5504]","[-0.3327, -26.4875, -10.2616]","[-0.2997, -18.6385, -8.1807]","[0.00205, 52.48729, 7.42296]"
0268,3,0,"[6.45, 5.72, 0.01]","[1.9469, -0.7239, 0.0]","[0.0, 62.42224, 94.04269]","[0.45315, -0.16756, -0.00032]","[-0.15446, 0.08194, 0.00017]","[0.257, 0.4868, 404.8625]","[-0.1482, -0.7945, -6.9802]","[0.1283, 1.0068, 65.1658]","[0.00712, 0.10934, 403.6041]"
0269,3,0,"[2.37, 0.04, 0.61]","[1.5377, 0.0006, -0.1552]","[0.0, 80.09791, 76.39842]","[0.13282, 0.0056, 0.06763]","[-1.51545, 0.01354, 0.25778]","[0.1587, 44.7956, 1.1959]","[0.2395, 5.9421, 2.433]","[-0.0079, -18.1312, -0.7505]","[0.00365, 43.26905, 0.60913]"
0270,3,0,"[3.18, 3.23, 0.16]","[-1.9968, 3.6511, 0.0043]","[223.3361, 0.0, 271.1764]","[-1.0238, 3.81752, -0.02728]","[-1.05665, -0.14487, -0.01029]","[0.9201, 0.4733, 16.8816]","[0.1955, -0.0564, -2.9665]","[-0.6848, 0.0195, -3.5215]","[0.14857, 0.01234, 15.24176]"
0271,3,0,"[1.85, 2.67, 3.43]","[4.1995, -6.2047, 5.1154]","[0.0, 62.92608, 28.10506]","[1.8877, -2.3634, -5.1053]","[-4.23789, -3.02946, -1.03011]","[0.3782, 0.5219, 0.4534]","[0.3784, 0.3462, 0.0532]","[-0.0726, -0.5196, -0.3169]","[0.00024, 0.00175, 0.00159]"
