event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.249064,0.4864485,0.3938264,-0.04553497,0.2083355,0,False,-1.0,0,0.616,1019691000000.0,0.0,0.0,0.3212714,92.64182,5.984148,1,0.616,21563430000.0,0.0,0.0,0.1761732,85.92304,0.1064603,2,0.616,1.24,0.0,0.0,0.03714836,105.2798,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0181,1.029295,2.582341,0.1256421,0.2336766,0.6512592,0,False,-1.0,0,0.863,7753462000000.0,0.0,0.0,0.04923793,145.7505,7.470773,1,0.863,75401900000.0,0.0,0.0,0.2744499,169.2407,0.06612525,2,0.863,7.27,0.0,0.0,0.1884468,-156.4467,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0182,0.534957,1.170815,0.2938502,-0.3023599,-0.1016745,0,False,-1.0,0,1.166,2408501000000.0,0.0,0.0,0.2092262,34.10941,5.09159,1,1.166,62465620000.0,0.0,0.0,0.03150827,-2.934525,0.05472123,2,1.166,4.15,0.0,0.0,0.01540547,-39.33439,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0183,0.1985017,0.4433714,0.521445,-0.2371511,0.1880491,0,True,0.2725243,2,1.741,3251626000000.0,-16.42986,15.43165,0.2304848,80.44192,4.576409,3,1.741,79511670000.0,-16.42986,15.43165,0.4015881,69.94886,0.0844673,4,1.741,2.29,0.0,0.0,0.03229873,115.6923,0.0,0,1.741,1469672000000.0,0.0,0.0,0.3175188,-46.45716,9.719799,1,1.741,60003940000.0,0.0,0.0,0.6414083,-50.81679,0.09095605
0034,0.2674578,0.7958359,0.5809161,-0.0445006,0.04824283,0,False,-1.0,0,2.153,3316891000000.0,0.0,0.0,0.3384454,4.324046,4.016325,1,2.153,56077060000.0,0.0,0.0,0.5470032,24.23946,0.02727048,2,2.153,3.94,0.0,0.0,0.1391736,113.3614,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0184,2.430926,5.360801,1.0,-0.14667,-0.2628833,0,False,-1.0,0,0.422,31307780000000.0,0.0,0.0,0.2870716,-40.99583,7.049149,1,0.422,247420800000.0,0.0,0.0,0.2657689,-65.33902,0.5065044,2,0.422,8.84,0.0,0.0,0.05960566,-44.80953,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0185,0.6884834,1.663474,0.5813935,0.07863698,-0.2912136,0,False,-1.0,0,0.715,3208025000000.0,0.0,0.0,0.2146949,-114.373,6.820715,1,0.715,80417740000.0,0.0,0.0,0.2672959,-163.86,0.09343218,2,0.715,3.62,0.0,0.0,0.0721709,-83.92261,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0186,0.1022301,0.1934847,0.112902,0.07561414,-0.05124583,0,False,-1.0,0,1.868,611785600000.0,0.0,0.0,0.1326944,105.654,3.458173,1,1.868,7029865000.0,0.0,0.0,0.2927302,86.93632,0.02667725,2,1.868,2.87,0.0,0.0,0.02508392,-30.66993,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0036,0.1715954,0.3739547,1.0,0.004414438,0.007416194,0,False,-1.0,0,2.171,1571692000000.0,0.0,0.0,0.2957671,-25.95391,4.013931,1,2.171,30173020000.0,0.0,0.0,0.2016269,-15.77054,0.04196846,2,2.171,3.27,0.0,0.0,0.0147292,-0.4354901,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0037,0.2375788,0.6449446,0.8354994,0.2059148,0.3175898,0,True,0.287471,2,1.06,2352023000000.0,18.40596,24.17372,0.2261781,153.1052,6.121749,3,1.06,84313600000.0,18.40596,24.17372,0.2080033,143.6041,0.1222949,4,1.06,6.87,0.0,0.0,0.1906592,125.1855,0.0,0,1.06,320572100000.0,0.0,0.0,0.2954501,118.0549,17.50424,1,1.06,6829898000.0,0.0,0.0,0.09175118,161.6974,0.2049627
0038,1.924214,5.257759,1.0,0.4077511,0.3638382,0,False,-1.0,0,1.104,18802080000000.0,0.0,0.0,0.321205,-108.2585,5.156887,1,1.104,136346500000.0,0.0,0.0,0.3069321,-98.0121,0.138312,2,1.104,11.06,0.0,0.0,0.2426572,70.62204,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,3.425832,6.602747,0.9373299,3.243259,-2.135575,0,False,-1.0,0,0.35,106219400000000.0,0.0,0.0,0.7370298,60.04184,6.274313,1,0.35,445283200000.0,0.0,0.0,0.1965997,77.73706,0.8187206,2,0.35,1.84,0.0,0.0,0.0490987,-139.2104,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
