event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[16.22, 10.21, 6.69]","[1.5037, -0.5922, 0.2528]","[0.0, 16.22661, 16.23445]","[-0.08519, 0.01504, 0.00923]","[0.42158, -0.05443, -0.03359]","[0.1595, 2.3002, 3.9687]","[0.1895, 1.5828, 1.8716]","[0.0735, 0.9348, 1.1638]","[0.03594, 2.05394, 3.69293]"
0002,3,3,"[14.17, 26.19, 20.62]","[3.8863, -5.2583, 4.9288]","[0.0, 40.31143, 23.85607]","[2.91094, 5.35621, 6.50913]","[-5.81975, -2.79092, -0.28357]","[0.4076, 0.6484, 0.4453]","[0.0393, -0.2747, -0.2566]","[0.3034, 0.4882, 0.1973]","[0.00577, 0.00988, 0.0083]"
0003,3,2,"[11.34, 12.87, 0.03]","[-3.1229, 4.6437, 0.0]","[19.88102, 0.0, 63.85024]","[0.08915, -0.23481, 0.00011]","[-0.30641, 0.34314, -0.00024]","[0.3662, 0.2827, 208.1638]","[0.7154, 0.2032, 14.166]","[0.4584, 0.5079, 5.9382]","[0.08244, 0.03827, 207.0434]"
0004,3,2,"[8.68, 10.49, 1.16]","[-0.7497, 2.101, 0.0108]","[57.54536, 0.0, 63.59793]","[0.06067, -0.68537, 0.00743]","[-0.41031, 0.81102, -0.02831]","[1.0709, 0.2679, 11.9515]","[1.1151, 0.0232, 5.0149]","[0.3091, 0.2437, 1.4487]","[0.75902, 0.05366, 11.41562]"
0005,3,2,"[15.71, 14.37, 0.06]","[3.5086, -2.0867, 0.0]","[0.0, 34.49154, 77.35221]","[0.39208, -0.25318, -0.00047]","[-0.55119, 0.37378, 0.00065]","[0.2669, 0.3804, 159.3479]","[0.1696, 0.3553, 0.9038]","[0.4728, 0.8585, 13.3426]","[0.03378, 0.10024, 158.3043]"
0006,3,2,"[17.89, 9.34, 0.05]","[1.8279, -0.4454, 0.0]","[0.0, 97.53874, 137.341]","[-0.08734, 0.09577, 0.00025]","[-0.90757, 0.31474, 0.00092]","[0.2082, 0.4584, 308.0977]","[0.2747, 1.324, -2.8124]","[-0.0669, -0.8864, -21.1924]","[0.00657, 0.1219, 307.0123]"
0007,3,2,"[12.41, 10.73, 0.28]","[2.8454, -1.3001, 0.0015]","[0.0, 47.64477, 61.78918]","[1.75267, -0.80021, -0.01532]","[-0.36402, 0.30181, 0.00562]","[0.3088, 0.6422, 27.763]","[-0.331, -0.743, -3.1268]","[0.1294, 0.5875, 5.2527]","[0.03968, 0.26029, 26.75066]"
0008,3,2,"[6.09, 14.44, 11.35]","[2.0827, -17.7466, 10.9519]","[0.0, 0.870694, 0.870796]","[-0.03824, 0.01094, 0.00831]","[-0.14879, 0.03182, 0.02537]","[0.2925, 1.1905, 1.4198]","[0.1067, 0.2129, 0.2143]","[-0.0947, -0.2175, -0.1975]","[0.10316, 0.88165, 1.09267]"
0009,3,2,"[8.01, 9.29, 0.44]","[2.2753, -1.7638, 0.0075]","[0.0, 17.27092, 20.82028]","[-0.5476, 0.18926, 0.00913]","[-0.57284, 0.32762, 0.01272]","[0.2814, 0.7195, 13.3026]","[0.0197, 0.4497, 1.6421]","[-0.2766, -0.6659, -3.8917]","[0.08311, 0.43186, 12.61436]"
0010,3,2,"[8.8, 9.81, 0.21]","[-1.4716, 2.1847, 0.0008]","[60.49401, 0.0, 84.58844]","[0.01223, 0.13927, -0.00036]","[-0.31995, 0.61227, -0.00424]","[0.5307, 0.2494, 36.3158]","[0.9408, 0.3011, 6.5906]","[0.1211, -0.1224, -0.6338]","[0.25597, 0.04792, 35.60026]"
0011,3,3,"[19.36, 11.88, 21.55]","[4.1815, 1.048, -4.4657]","[0.0, 7.115167, 7.02097]","[-0.31098, 0.03777, 0.10795]","[0.08295, 0.00756, 0.03388]","[0.4357, 2.1045, 1.1218]","[-0.2632, -0.3969, -0.3677]","[0.1003, -0.329, -0.3218]","[0.19937, 1.66643, 0.78289]"
0012,2,2,"[8.28, 9.46]","[-2.3363, 2.7006]","[500.4792, 0.0]","[-0.28945, 0.87797]","[-0.4433, 2.04925]","[0.8533, 0.3856]","[0.1776, 0.0205]","[-0.6465, -0.082]","[0.02385, 0.0004]"
0013,3,2,"[9.75, 11.06, 0.06]","[2.5071, -2.7408, 0.0001]","[0.0, 18.91, 43.454]","[1.18062, -0.81384, -0.00191]","[0.36464, 0.19798, -0.00014]","[0.2882, 0.4439, 117.8495]","[-0.2611, -0.6509, -35.1247]","[-0.1992, 0.5005, -0.1731]","[0.05402, 0.17138, 116.938]"
0014,3,2,"[11.21, 10.91, 0.04]","[-3.3376, 5.693, 0.0001]","[9.565431, 0.0, 29.02852]","[-0.28155, 0.45939, -0.00048]","[-0.32391, 0.30116, -0.00043]","[0.5095, 0.3738, 147.9491]","[0.1714, -0.221, -7.1078]","[-0.7147, -0.4095, -64.3703]","[0.18217, 0.09488, 146.5263]"
0015,3,2,"[10.75, 11.87, 2.13]","[-1.2825, 2.668, 0.1003]","[125.0889, 0.0, 127.6141]","[0.06264, 0.71518, 0.00398]","[-0.49788, 1.77788, -0.10314]","[1.1658, 0.3492, 4.4795]","[0.8747, 0.1637, 1.32]","[0.205, -0.1479, 0.6296]","[0.62829, 0.0288, 3.73311]"
0016,3,2,"[8.88, 9.74, 0.09]","[4.0202, -3.5613, 0.0003]","[0.0, 15.16774, 26.03454]","[0.04538, -0.04279, -0.00013]","[-0.42433, 0.2528, 0.00116]","[0.395, 0.5606, 55.011]","[0.3273, 0.6374, 1.539]","[0.1011, 0.26, -2.372]","[0.0201, 0.07628, 53.26952]"
0017,3,2,"[36.7, 13.28, 0.45]","[2.5379, -0.4727, 0.0006]","[0.0, 73.47373, 90.10738]","[-0.31746, 0.14926, 0.00315]","[-0.65588, 0.24677, 0.00518]","[0.2589, 0.7636, 45.4602]","[0.248, 0.7195, 5.1472]","[-0.3062, -1.286, -13.3255]","[0.04359, 0.44847, 44.71939]"
0018,3,2,"[12.0, 13.15, 4.06]","[-3.2187, 2.1059, 0.2147]","[5.468191, 0.0, 5.782373]","[-0.26272, 0.68655, -0.0397]","[0.20995, 0.2402, 0.00299]","[0.9406, 0.2235, 3.339]","[-0.1954, -0.2871, 0.352]","[0.5254, -0.2138, 0.83]","[0.76111, 0.08399, 3.05484]"
0019,3,2,"[8.72, 11.37, 0.84]","[-0.6305, 2.8312, 0.0164]","[18.17631, 0.0, 19.37657]","[-0.09391, 0.27092, -0.00997]","[-0.04372, 0.13426, -0.0046]","[1.0415, 0.2738, 9.4109]","[-0.766, -0.2143, -2.2269]","[-1.0005, -0.3581, -2.1798]","[0.7598, 0.08226, 8.93865]"
0020,3,2,"[10.51, 15.6, 0.73]","[-0.8777, 2.3813, 0.0041]","[33.58417, 0.0, 39.48222]","[-0.26333, 0.6, -0.01097]","[-0.07182, 0.23422, -0.00388]","[0.7641, 0.2668, 17.7104]","[-1.02, -0.3085, -3.7955]","[-0.3932, -0.1499, -4.7275]","[0.50794, 0.08069, 17.18997]"
0021,3,2,"[8.31, 9.55, 0.1]","[-1.1488, 2.2001, 0.0003]","[45.48547, 0.0, 63.8314]","[-0.60817, 1.37196, -0.00491]","[-0.21807, -0.09163, -0.00149]","[0.5433, 0.2625, 65.8599]","[-0.8458, -0.2966, -0.7006]","[-0.6032, 0.0369, -14.8414]","[0.16496, 0.01543, 64.67581]"
