event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.249064,0.4864485,0.3938264,-0.04553497,0.2083355,0,False,-1.0,0,0.616,1019691000000.0,0.0,0.0,0.3212714,92.64182,5.984148,1,0.616,21563430000.0,0.0,0.0,0.1761732,85.92304,0.1064603,2,0.616,1.24,0.0,0.0,0.03714836,105.2798,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,3.425832,6.602747,0.9373299,3.243259,-2.135575,0,False,-1.0,0,0.35,106219400000000.0,0.0,0.0,0.7370298,60.04184,6.274313,1,0.35,445283200000.0,0.0,0.0,0.1965997,77.73706,0.8187206,2,0.35,1.84,0.0,0.0,0.0490987,-139.2104,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.3645021,0.725854,0.6724948,-0.02767348,0.05857266,0,False,-1.0,0,0.975,3318274000000.0,0.0,0.0,0.2430552,178.8967,7.834799,1,0.975,70000850000.0,0.0,0.0,0.116368,131.1188,0.04864416,2,0.975,1.41,0.0,0.0,0.01763892,-78.57379,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.5363144,1.431171,0.3568188,-0.1429958,0.2897872,0,False,-1.0,0,0.479,17593300000000.0,0.0,0.0,0.4653795,143.4653,4.261528,1,0.479,137317300000.0,0.0,0.0,0.4295161,176.8063,0.3027743,2,0.479,1.02,0.0,0.0,0.0202997,134.9792,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.5816895,1.127795,0.5947411,0.08689202,-0.1265395,0,False,-1.0,0,0.922,3145859000000.0,0.0,0.0,0.1669114,140.0492,5.069815,1,0.922,81266190000.0,0.0,0.0,0.1166267,113.1158,0.07847164,2,0.922,2.34,0.0,0.0,0.02562788,-138.4278,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,0.6669165,1.235941,0.2436455,-0.07701438,-0.3888454,0,False,-1.0,0,0.96,3104946000000.0,0.0,0.0,0.3899002,-58.85199,5.172042,1,0.96,76632610000.0,0.0,0.0,0.291109,-90.56194,0.04857775,2,0.96,2.46,0.0,0.0,0.01843999,62.56993,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,1.198928,2.638286,0.4569021,0.5199305,-0.1344547,0,False,-1.0,0,0.228,6173129000000.0,0.0,0.0,0.04201137,18.48608,10.27734,1,0.228,118951000000.0,0.0,0.0,0.1951717,24.87734,0.3508305,2,0.228,1.52,0.0,0.0,0.01068119,-16.71755,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,0.09911701,0.1871772,0.6171244,-0.01241722,-0.03850779,0,False,-1.0,0,0.604,266172600000.0,0.0,0.0,0.2648813,76.2531,7.705862,1,0.604,4924413000.0,0.0,0.0,0.3223708,67.99608,0.1405063,2,0.604,2.38,0.0,0.0,0.08634242,-95.91019,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.4969012,1.163525,0.7752075,-0.1299472,-0.1674295,0,False,-1.0,0,0.461,1623854000000.0,0.0,0.0,0.3666464,-131.8671,7.530144,1,0.461,47621670000.0,0.0,0.0,0.2250775,-208.5014,0.2343105,2,0.461,3.31,0.0,0.0,0.05506439,-144.7192,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.4452075,0.940837,0.6735731,0.01874159,0.1813859,0,False,-1.0,0,1.575,2229018000000.0,0.0,0.0,0.2181817,-140.09,3.46587,1,1.575,82530310000.0,0.0,0.0,0.0372715,-123.2438,0.12047,2,1.575,3.95,0.0,0.0,0.05926428,-105.9977,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
