event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0033,1,1,[8.36],[3.3154],[0.0],[-2.20408],[-4.77373],[0.3929],[0.1997],[-0.1644],[0.00097]
0034,3,1,"[6.7, 9.17, 0.01]","[3.1769, -5.4687, 0.0]","[0.0, 33.46399, 113.0649]","[-0.30315, 0.17387, 9e-05]","[0.34019, -0.29684, -0.00013]","[0.3211, 0.4455, 591.3734]","[-0.0334, 0.3221, 154.6424]","[0.3808, 0.6218, 212.5109]","[0.03661, 0.11418, 590.0232]"
0035,1,1,[13.08],[4.9064],[0.0],[1.64283],[-2.24544],[0.4746],[0.0297],[0.2672],[0.00198]
0036,5,2,"[6.37, 10.7, 10.36, 6.46, 0.03]","[5.2625, 6.1311, -5.9163, -3.0776, 0.0001]","[0.0, 0.617865, 1.620493, 4.312224, 26.59206]","[0.19714, -0.15601, 0.04427, -0.06308, -4e-05]","[-0.00676, 0.11623, 0.18464, -0.16639, -7e-05]","[0.2727, 0.2765, 0.3644, 0.3949, 118.9589]","[-0.5811, -0.1697, 0.6737, 0.6199, 16.3236]","[0.036, 0.5758, -0.3451, -0.5539, -15.6656]","[0.07479, 0.0802, 0.14209, 0.1662, 118.131]"
0037,3,3,"[10.38, 9.16, 8.18]","[3.9089, -3.2659, 2.5759]","[2.356418, 2.98593, 0.0]","[0.06211, -0.14763, -0.28131]","[-0.29651, -0.1643, 0.2494]","[0.456, 0.7265, 0.3678]","[0.1748, -0.0504, -0.1]","[-0.0975, -0.6152, 0.0377]","[0.046, 0.08388, 0.02643]"
0038,5,1,"[9.86, 6.23, 3.28, 4.73, 0.05]","[6.0909, -3.9576, -0.7928, 2.1847, 0.0002]","[417.4932, 423.8944, 503.0503, 0.0, 568.3595]","[0.01637, 0.72475, -0.79122, 1.49689, -0.00523]","[-1.76744, -1.16071, -0.11417, 3.27756, -0.00326]","[0.5474, 0.7043, 1.0422, 0.3162, 75.086]","[0.0692, -0.0504, -1.1224, -0.0931, -15.9883]","[0.1895, 0.581, -0.0587, 0.0349, -10.8675]","[0.00586, 0.01664, 0.12241, 0.00079, 72.34315]"
0002,3,3,"[14.17, 26.19, 20.62]","[3.8863, -5.2583, 4.9288]","[0.0, 40.31143, 23.85607]","[2.91094, 5.35621, 6.50913]","[-5.81975, -2.79092, -0.28357]","[0.4076, 0.6484, 0.4453]","[0.0393, -0.2747, -0.2566]","[0.3034, 0.4882, 0.1973]","[0.00577, 0.00988, 0.0083]"
0039,3,2,"[13.3, 23.43, 1.12]","[-0.9815, 3.4286, 0.0152]","[59.03267, 0.0, 60.44197]","[-0.28439, 1.69077, -0.03067]","[-0.01638, 0.57656, -0.00679]","[1.3143, 0.4467, 10.5075]","[-1.0469, 0.12, -4.5935]","[0.147, 0.0065, -1.9179]","[0.46074, 0.00549, 9.16317]"
0040,3,1,"[10.76, 1.77, 0.13]","[5.9876, -0.1036, 0.0005]","[0.0, 317.4225, 326.6267]","[0.27607, -0.13293, -0.00763]","[2.2133, -0.22826, -0.01403]","[0.4725, 2.3831, 53.67]","[0.2547, 1.5167, 15.3532]","[-0.2153, -3.0443, -20.7]","[0.00385, 1.01862, 51.05575]"
0041,1,1,[17.05],[6.6081],[0.0],[-15.35032],[0.8506],[0.4568],[-0.3635],[0.1076],[0.00016]
0003,3,2,"[11.34, 12.87, 0.03]","[-3.1229, 4.6437, 0.0]","[19.88102, 0.0, 63.85024]","[0.08915, -0.23481, 0.00011]","[-0.30641, 0.34314, -0.00024]","[0.3662, 0.2827, 208.1638]","[0.7154, 0.2032, 14.166]","[0.4584, 0.5079, 5.9382]","[0.08244, 0.03827, 207.0434]"
0042,1,1,[8.09],[3.1183],[0.0],[3.26577],[-7.15566],[0.3908],[0.1375],[0.1774],[0.00051]
0043,2,1,"[2.7, 10.78]","[-0.2991, 3.396]","[246.1551, 0.0]","[-0.08287, -0.3152]","[-0.35082, 1.31701]","[0.9651, 0.3981]","[1.5707, 0.2598]","[-0.9367, 0.0168]","[0.16746, 0.00332]"
0044,1,1,[10.46],[3.7169],[0.0],[1.80152],[0.0325],[0.4271],[-0.2294],[0.0807],[0.00319]
0045,1,1,[10.88],[13.0629],[0.0],[-0.01471],[0.04997],[0.5209],[0.316],[0.2304],[0.00283]
0046,3,1,"[3.18, 9.65, 0.03]","[-0.5584, 4.9082, 0.0]","[66.07619, 0.0, 77.14085]","[-0.08918, 0.29455, -0.00046]","[-0.28585, 1.04402, -0.0017]","[1.0398, 0.4132, 170.9492]","[1.0533, 0.2514, 31.355]","[-0.8265, -0.2781, 1.1769]","[0.08182, 0.00217, 166.4901]"
0047,1,1,[13.21],[3.95],[0.0],[-0.04515],[-0.12352],[0.4181],[0.2422],[-0.1635],[0.16679]
0048,1,1,[10.0],[5.2665],[0.0],[-0.11103],[-1.24187],[0.4763],[0.1669],[-0.2377],[0.00462]
0049,3,2,"[13.84, 12.49, 4.84]","[11.9561, -9.6521, 2.795]","[0.201151, 0.203554, 0.0]","[-0.02447, -0.01514, 0.05133]","[-0.00493, 0.00672, 0.0273]","[0.6858, 0.9151, 0.3948]","[-0.0641, 0.0182, -0.0775]","[0.1047, 0.3324, 0.0502]","[0.00094, 0.00163, 0.0003]"
0024,5,4,"[11.92, 12.03, 9.57, 9.11, 0.58]","[-6.6611, 8.379, 3.7712, -3.5461, 0.019]","[2939.862, 2749.326, 0.0, 4120.667, 5066.99]","[1.21587, 10.18924, -17.46504, 5.7949, 0.18973]","[-14.21671, -11.25762, 5.52385, 8.13848, 0.06041]","[0.8219, 0.5885, 0.4129, 0.9239, 8.3919]","[0.426, -0.0232, -0.2778, 0.1503, -0.4395]","[-0.0198, 0.2224, 0.0482, -0.515, -1.3153]","[0.00522, 0.00318, 0.0016, 0.01263, 4.73913]"
0050,1,1,[9.19],[6.8017],[0.0],[-0.01172],[-0.01943],[0.582],[0.1315],[-0.102],[0.29207]
0051,1,1,[9.33],[3.0389],[0.0],[0.32931],[-0.00475],[0.3137],[-0.3528],[0.1319],[0.02525]
0052,3,1,"[5.57, 9.39, 0.21]","[-1.2576, 3.4236, 0.0017]","[200.584, 0.0, 250.8673]","[-0.51802, 0.6978, -0.01038]","[-0.45264, 1.37529, -0.00973]","[0.7409, 0.3758, 26.5264]","[-0.0445, 0.1876, -3.9903]","[-0.9275, -0.2498, -6.2817]","[0.25072, 0.0236, 25.42496]"
0053,1,1,[13.22],[3.2643],[0.0],[-0.14389],[4.54845],[0.4109],[0.187],[0.0757],[0.00291]
0005,3,2,"[15.71, 14.37, 0.06]","[3.5086, -2.0867, 0.0]","[0.0, 34.49154, 77.35221]","[0.39208, -0.25318, -0.00047]","[-0.55119, 0.37378, 0.00065]","[0.2669, 0.3804, 159.3479]","[0.1696, 0.3553, 0.9038]","[0.4728, 0.8585, 13.3426]","[0.03378, 0.10024, 158.3043]"
0054,1,1,[8.09],[3.1289],[0.0],[5.19316],[-12.0113],[0.3658],[0.1709],[0.231],[0.00014]
0055,1,1,[17.99],[6.1283],[0.0],[0.01476],[-0.03385],[0.52],[0.1987],[0.1667],[0.00121]
0056,5,1,"[3.21, 4.18, 7.05, 8.67, 0.02]","[1.8221, -0.7981, -2.0673, 3.0032, 0.0]","[0.0, 20.29351, 12.79063, 11.69394, 41.36575]","[0.3554, -0.3948, 0.35543, 0.01811, -0.00046]","[-0.62034, -0.06185, 0.36594, 0.57232, 0.00014]","[0.2201, 0.5105, 0.4644, 0.3037, 191.0716]","[0.0154, -1.1676, -0.147, 0.3776, -22.2594]","[0.2434, -0.3595, -0.8655, -0.0966, -18.5543]","[0.01384, 0.12989, 0.09773, 0.03709, 189.4253]"
0057,5,2,"[4.23, 5.36, 28.94, 0.01, 28.86]","[9.1958, -6.1216, 89.5929, 0.0, -88.9425]","[0.0, 3.819416, 1.485168, 31.76201, 1.485834]","[-0.54607, 0.33873, 0.11143, 0.0001, 0.05051]","[-0.11761, -0.37945, 0.53879, -6e-05, 0.54643]","[0.3257, 0.3494, 0.3484, 180.4602, 0.3496]","[-0.5527, 0.0532, 0.6001, 10.3552, 0.6532]","[-0.201, 0.7641, -0.2309, 17.1782, -0.0871]","[0.0518, 0.09649, 0.09165, 179.2226, 0.09623]"
