event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0033,2.905458,0.0,0.0,-3.12879,-11.40363,0,True,0.2791432,2,0.631,393779500000000.0,-41.40071,-224.9873,0.4371885,-178.5764,6.615955,3,0.631,793549800000.0,-41.40071,-224.9873,0.228991,-179.1798,1.027306,4,0.631,2.36,0.0,0.0,0.09315427,56.53346,0.0,0,0.631,22699270000000.0,0.0,0.0,0.1629929,146.1835,14.31047,1,0.631,113949800000.0,0.0,0.0,0.3066425,147.6251,0.2150024
0034,0.2674578,0.7958359,0.5809161,-0.0445006,0.04824283,0,False,-1.0,0,2.153,3316891000000.0,0.0,0.0,0.3384454,4.324046,4.016325,1,2.153,56077060000.0,0.0,0.0,0.5470032,24.23946,0.02727048,2,2.153,3.94,0.0,0.0,0.1391736,113.3614,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0035,1.486748,0.0,0.0,0.9124864,-0.737105,0,False,-1.0,0,1.833,30502570000000.0,0.0,0.0,0.3066661,68.09921,4.403741,1,1.833,108264800000.0,0.0,0.0,0.09603708,51.99968,0.2167691,2,1.833,5.1,0.0,0.0,0.03919576,-130.2116,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0036,0.1715954,0.3739547,1.0,0.004414438,0.007416194,0,False,-1.0,0,2.171,1571692000000.0,0.0,0.0,0.2957671,-25.95391,4.013931,1,2.171,30173020000.0,0.0,0.0,0.2016269,-15.77054,0.04196846,2,2.171,3.27,0.0,0.0,0.0147292,-0.4354901,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0037,0.2375788,0.6449446,0.8354994,0.2059148,0.3175898,0,True,0.287471,2,1.06,2352023000000.0,18.40596,24.17372,0.2261781,153.1052,6.121749,3,1.06,84313600000.0,18.40596,24.17372,0.2080033,143.6041,0.1222949,4,1.06,6.87,0.0,0.0,0.1906592,125.1855,0.0,0,1.06,320572100000.0,0.0,0.0,0.2954501,118.0549,17.50424,1,1.06,6829898000.0,0.0,0.0,0.09175118,161.6974,0.2049627
0038,1.924214,5.257759,1.0,0.4077511,0.3638382,0,False,-1.0,0,1.104,18802080000000.0,0.0,0.0,0.321205,-108.2585,5.156887,1,1.104,136346500000.0,0.0,0.0,0.3069321,-98.0121,0.138312,2,1.104,11.06,0.0,0.0,0.2426572,70.62204,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,3.425832,6.602747,0.9373299,3.243259,-2.135575,0,False,-1.0,0,0.35,106219400000000.0,0.0,0.0,0.7370298,60.04184,6.274313,1,0.35,445283200000.0,0.0,0.0,0.1965997,77.73706,0.8187206,2,0.35,1.84,0.0,0.0,0.0490987,-139.2104,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0039,0.7553669,2.062241,0.286275,1.433364,-3.426406,0,True,0.3243507,2,0.443,74067380000000.0,3.507835,-7.85116,0.3987661,38.06289,7.852802,3,0.443,311462900000.0,3.507835,-7.85116,0.03393272,76.07524,0.5581006,4,0.443,1.41,0.0,0.0,0.04844442,-12.75097,0.0,0,0.443,696925900000.0,0.0,0.0,0.5746695,-102.8405,16.87319,1,0.443,34172980000.0,0.0,0.0,0.2847616,-71.34256,0.1533596
0040,1.294229,2.475585,0.01729795,-0.3593715,-0.9131273,0,True,0.2788436,2,0.832,20637840000000.0,-2.756379,-4.020001,0.5380231,-106.229,5.123592,3,0.832,163398700000.0,-2.756379,-4.020001,0.2836175,-106.3433,0.08688308,4,0.832,2.92,0.0,0.0,0.1118242,114.7205,0.0,0,0.832,6093352000000.0,0.0,0.0,0.3611711,-15.43535,10.60672,1,0.832,95819660000.0,0.0,0.0,0.3031073,-16.93047,0.0975034
0041,7.010623,0.0,0.0,-10.2227,3.030639,0,False,-1.0,0,0.851,288309400000000.0,0.0,0.0,0.6676985,72.34056,5.139137,1,0.851,482475200000.0,0.0,0.0,0.2111349,120.9991,0.4686381,2,0.851,1.96,0.0,0.0,0.0600896,71.6785,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.3645021,0.725854,0.6724948,-0.02767348,0.05857266,0,False,-1.0,0,0.975,3318274000000.0,0.0,0.0,0.2430552,178.8967,7.834799,1,0.975,70000850000.0,0.0,0.0,0.116368,131.1188,0.04864416,2,0.975,1.41,0.0,0.0,0.01763892,-78.57379,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0042,3.847087,0.0,0.0,1.690836,-2.873204,0,False,-1.0,0,0.687,71478250000000.0,0.0,0.0,0.1725535,55.49904,6.492379,1,0.687,289254400000.0,0.0,0.0,0.3540358,76.97417,0.3153566,2,0.687,3.36,0.0,0.0,0.003799092,-102.7681,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0043,0.6892138,1.683939,0.08807438,0.07909656,0.4823509,0,False,-1.0,0,1.249,10828710000000.0,0.0,0.0,0.227762,-26.71415,6.769751,1,1.249,94946990000.0,0.0,0.0,0.3434438,-4.711332,0.03099132,2,1.249,2.68,0.0,0.0,0.08330363,140.3567,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
