event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0037,3,3,"[10.38, 9.16, 8.18]","[3.9089, -3.2659, 2.5759]","[2.356418, 2.98593, 0.0]","[0.06211, -0.14763, -0.28131]","[-0.29651, -0.1643, 0.2494]","[0.456, 0.7265, 0.3678]","[0.1748, -0.0504, -0.1]","[-0.0975, -0.6152, 0.0377]","[0.046, 0.08388, 0.02643]"
0039,3,2,"[13.3, 23.43, 1.12]","[-0.9815, 3.4286, 0.0152]","[59.03267, 0.0, 60.44197]","[-0.28439, 1.69077, -0.03067]","[-0.01638, 0.57656, -0.00679]","[1.3143, 0.4467, 10.5075]","[-1.0469, 0.12, -4.5935]","[0.147, 0.0065, -1.9179]","[0.46074, 0.00549, 9.16317]"
0049,3,2,"[13.84, 12.49, 4.84]","[11.9561, -9.6521, 2.795]","[0.201151, 0.203554, 0.0]","[-0.02447, -0.01514, 0.05133]","[-0.00493, 0.00672, 0.0273]","[0.6858, 0.9151, 0.3948]","[-0.0641, 0.0182, -0.0775]","[0.1047, 0.3324, 0.0502]","[0.00094, 0.00163, 0.0003]"
0064,3,2,"[10.15, 16.96, 0.22]","[-1.3543, 5.192, 0.001]","[68.10211, 0.0, 85.64418]","[-0.29824, 0.93913, -0.00496]","[-0.55411, 1.0133, -0.00777]","[0.9183, 0.4524, 34.999]","[0.5428, 0.0669, 3.8943]","[-0.6711, -0.3206, -11.5958]","[0.10106, 0.01406, 30.87572]"
0079,3,2,"[14.95, 15.62, 0.26]","[-2.2535, 3.2195, 0.002]","[42.71514, 0.0, 66.30375]","[-0.85015, 0.4277, -0.00671]","[-0.44077, 1.46678, -0.00722]","[0.6956, 0.3481, 25.0901]","[-0.4918, 0.2792, -0.1659]","[-0.5427, -0.1906, -8.2677]","[0.0533, 0.01231, 18.70901]"
0080,5,4,"[15.8, 15.03, 18.52, 16.52, 0.54]","[-3.6786, 4.6381, 5.7521, -4.5297, 0.0057]","[4.819932, 0.0, 1.698974, 3.556155, 12.46417]","[-0.29946, 0.51959, -0.41969, 0.21375, -0.00139]","[-0.3548, -0.25912, 0.34811, 0.43422, -0.00023]","[0.6578, 0.4045, 0.4241, 0.6144, 14.5361]","[0.1665, -0.1936, -0.0163, 0.3958, -2.5402]","[-0.601, 0.3186, 0.397, -0.4613, -1.1088]","[0.09962, 0.0835, 0.08195, 0.08078, 10.0851]"
0179,3,2,"[8.03, 8.28, 0.05]","[2.5206, -1.7243, 0.0]","[0.0, 196.4054, 222.8056]","[-0.31878, -0.02211, -0.00017]","[-1.92039, 0.45062, 0.00215]","[0.3684, 0.8929, 153.5005]","[0.043, 0.7661, 1.938]","[0.0168, 0.0669, 23.3181]","[0.00053, 0.04015, 150.1928]"
0094,4,3,"[8.55, 11.41, 7.82, 12.69]","[4.4636, -8.5135, -2.9895, 9.427]","[0.0, 369.6807, 923.6608, 322.795]","[-2.09137, 1.41586, -0.54314, 2.3709]","[-2.03665, -1.55979, 1.2437, -0.06552]","[0.4972, 0.6715, 0.9827, 0.5641]","[0.0911, 0.0983, 0.3457, -0.2704]","[-0.1431, 0.4644, 0.464, 0.1038]","[8e-05, 0.00021, 0.00082, 0.00014]"
0124,3,2,"[10.79, 11.39, 0.82]","[-2.793, 10.0172, 0.0406]","[73.39605, 0.0, 84.63307]","[0.70269, -1.31264, 0.04392]","[-0.09782, 0.63164, -0.00965]","[0.9503, 0.5514, 6.3797]","[-0.5849, -0.2011, -1.9016]","[0.1356, 0.2469, 0.8432]","[0.24713, 0.05601, 4.92261]"
0125,3,3,"[8.89, 17.11, 13.24]","[1.8143, -9.6919, 2.8484]","[0.0, 7026.575, 7041.011]","[-9.07247, 2.52624, 1.12279]","[-6.68066, 0.438, 0.52924]","[0.2259, 1.0636, 1.6612]","[-0.1058, -0.3195, -0.2848]","[-0.1918, 0.0719, -0.0706]","[5e-05, 0.00344, 0.02763]"
