event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0037,0.2375788,0.6449446,0.8354994,0.2059148,0.3175898,0,True,0.287471,2,1.06,2352023000000.0,18.40596,24.17372,0.2261781,153.1052,6.121749,3,1.06,84313600000.0,18.40596,24.17372,0.2080033,143.6041,0.1222949,4,1.06,6.87,0.0,0.0,0.1906592,125.1855,0.0,0,1.06,320572100000.0,0.0,0.0,0.2954501,118.0549,17.50424,1,1.06,6829898000.0,0.0,0.0,0.09175118,161.6974,0.2049627
0039,0.7553669,2.062241,0.286275,1.433364,-3.426406,0,True,0.3243507,2,0.443,74067380000000.0,3.507835,-7.85116,0.3987661,38.06289,7.852802,3,0.443,311462900000.0,3.507835,-7.85116,0.03393272,76.07524,0.5581006,4,0.443,1.41,0.0,0.0,0.04844442,-12.75097,0.0,0,0.443,696925900000.0,0.0,0.0,0.5746695,-102.8405,16.87319,1,0.443,34172980000.0,0.0,0.0,0.2847616,-71.34256,0.1533596
0049,0.02765017,0.08236978,0.8072937,-0.03212296,0.06925484,0,True,0.292763,2,1.891,203308500000.0,-0.1821169,0.4151987,0.335658,2.355021,4.096832,3,1.891,1308369000.0,-0.1821169,0.4151987,0.3022741,14.51381,0.0385466,4,1.891,12.01,0.0,0.0,0.1238327,56.41093,0.0,0,1.891,8710800000.0,0.0,0.0,0.4842112,4.321416,29.59175,1,1.891,3480491.0,0.0,0.0,0.3261994,20.96008,0.07960946
0064,0.9803619,1.996964,0.2608431,-0.6913014,2.993608,0,True,0.2996116,2,0.651,25685830000000.0,-3.08261,14.30366,0.3080897,-52.56926,6.027764,3,0.651,182522500000.0,-3.08261,14.30366,0.2817293,-50.11747,0.2284652,4,0.651,3.56,0.0,0.0,0.05263506,-118.092,0.0,0,0.651,1388306000000.0,0.0,0.0,0.3098372,141.816,22.95921,1,0.651,52838710000.0,0.0,0.0,0.2752322,135.0952,0.1371132
0079,1.236123,2.296007,0.6999592,3.894929,-3.800106,0,True,0.3183037,2,0.421,79087550000000.0,36.02081,-29.89724,0.3108149,99.09125,5.455314,3,0.421,346974300000.0,36.02081,-29.89724,0.2117828,89.70812,0.9266991,4,0.421,2.4,0.0,0.0,0.07912853,104.9193,0.0,0,0.421,1255347000000.0,0.0,0.0,0.1494784,-77.35829,41.71309,1,0.421,42917150000.0,0.0,0.0,0.3641107,-46.01817,0.2025109
0080,0.5418246,1.118471,1.0,-0.563973,-0.1817421,0,True,0.2964449,2,0.603,4487438000000.0,-30.29595,-9.640235,0.4323864,-72.16319,5.471482,3,0.603,58553780000.0,-30.29595,-9.640235,0.02358411,-121.513,0.1148693,4,0.603,2.28,0.0,0.0,0.05387113,176.0939,0.0,0,0.603,505309800000.0,0.0,0.0,0.2973453,144.8029,29.29873,1,0.603,33495940000.0,0.0,0.0,0.2696046,88.66895,0.2790286
0179,0.9532674,2.389504,0.684092,-1.613309,-0.3450686,0,True,0.2864876,2,0.834,16345330000000.0,-4.499162,0.6556489,0.1712741,-162.9469,6.128408,3,0.834,188293000000.0,-4.499162,0.6556489,0.2774708,-147.3501,0.2036138,4,0.834,2.4,0.0,0.0,0.08754736,103.1831,0.0,0,0.834,2296257000000.0,0.0,0.0,0.2457672,38.51786,14.37504,1,0.834,58098160000.0,0.0,0.0,0.4367769,70.44467,0.05659326
0094,2.150623,4.878234,1.0,-2.895524,1.553674,0,True,0.2678512,2,2.591,46428270000000.0,-13.02786,6.951087,0.3326155,-105.2678,5.551421,3,2.591,89317170000.0,-13.02786,6.951087,0.1043491,-135.56,0.03140936,4,2.591,6.72,0.0,0.0,0.1229355,173.9647,0.0,0,2.591,14907400000000.0,0.0,0.0,0.140401,-160.9661,7.870687,1,2.591,82679410000.0,0.0,0.0,0.03371135,-183.5317,0.0145373
0124,1.250488,2.143286,0.2788206,-3.724424,1.978352,0,True,0.2813824,2,0.554,107006500000000.0,-80.32635,33.74563,0.4835551,79.2581,5.750962,3,0.554,491187400000.0,-80.32635,33.74563,0.2724915,103.4078,0.8488671,4,0.554,1.28,0.0,0.0,0.03349643,-176.3565,0.0,0,0.554,19648580000000.0,0.0,0.0,0.2193125,112.8894,8.613016,1,0.554,166094700000.0,0.0,0.0,0.23851,71.8099,0.4997015
0125,6.111229,13.60903,0.29389,4.816372,-5.441943,0,True,0.2723985,2,0.778,310221300000000.0,172.972,-81.62158,0.5624511,66.43101,4.191417,3,0.778,841517600000.0,172.972,-81.62158,0.1412746,16.75623,0.9592291,4,0.778,2.82,0.0,0.0,0.04495405,-56.09137,0.0,0,0.778,99997550000000.0,0.0,0.0,0.6125395,-146.4924,10.2829,1,0.778,193048800000.0,0.0,0.0,0.3180165,-170.7489,0.1854882
0130,2.319828,4.75751,0.7508529,-1.944167,-1.931934,0,True,0.2923269,2,0.633,59329070000000.0,-5.631726,-4.679797,0.2328263,168.2259,3.839625,3,0.633,207616900000.0,-5.631726,-4.679797,0.381252,128.9551,0.2752338,4,0.633,4.16,0.0,0.0,0.1236211,-163.5004,0.0,0,0.633,4091906000000.0,0.0,0.0,0.1825155,-37.98621,20.83223,1,0.633,99827650000.0,0.0,0.0,0.1236473,-12.94462,0.1849708
0132,0.09911517,0.2082162,0.9393265,0.04866764,-0.237739,0,True,0.2780023,2,1.752,773925000000.0,1.229447,-13.47272,0.02946456,160.3957,5.291491,3,1.752,15324850000.0,1.229447,-13.47272,0.555232,190.1573,0.08366535,4,1.752,5.24,0.0,0.0,0.133045,-157.4918,0.0,0,1.752,155339000000.0,0.0,0.0,0.3246013,-148.8148,18.32359,1,1.752,1064678000.0,0.0,0.0,0.2642869,-159.6949,0.03004352
0156,0.08432207,0.1401166,0.808845,0.3215188,-0.01295182,0,True,0.292487,2,1.641,1293303000000.0,5.728246,0.4749116,0.2621448,136.8546,5.134344,3,1.641,38545630000.0,5.728246,0.4749116,0.06537115,127.6843,0.03158629,4,1.641,4.12,0.0,0.0,0.06277214,-43.83446,0.0,0,1.641,36077840000.0,0.0,0.0,0.4921267,-88.84655,35.95732,1,1.641,35221090.0,0.0,0.0,0.4293997,-113.3489,0.02444991
0170,1.83083,4.501419,1.0,0.6662956,3.482476,0,True,0.2800814,2,0.642,93057340000000.0,1.980497,8.51083,0.1597476,-94.00121,6.56066,3,0.642,361816600000.0,1.980497,8.51083,0.6068513,-119.7268,0.4208591,4,0.642,1.71,0.0,0.0,0.01774326,-123.4528,0.0,0,0.642,17704250000000.0,0.0,0.0,0.4990933,176.9618,9.003496,1,0.642,81316210000.0,0.0,0.0,0.2144603,169.3638,0.07419346
0173,0.05452296,0.1066236,0.6350069,-0.1916771,-0.146114,0,True,0.3132391,2,0.855,739859400000.0,-4.475324,-2.771998,0.2899771,113.8783,3.571357,3,0.855,21949150000.0,-4.475324,-2.771998,0.3412472,79.87552,0.2942508,4,0.855,6.29,0.0,0.0,0.02992377,-44.46975,0.0,0,0.855,12626780000.0,0.0,0.0,0.08380245,61.44537,53.30786,1,0.855,7957406.0,0.0,0.0,0.2740232,27.20872,0.1603737
0180,0.8507434,1.818109,0.9719476,-2.605791,0.1526733,0,True,0.2926276,2,0.672,30381540000000.0,-30.3943,-4.412771,0.2379333,138.6198,2.998446,3,0.672,219293400000.0,-30.3943,-4.412771,0.2501969,94.59117,0.7051052,4,0.672,4.97,0.0,0.0,0.02112467,65.85853,0.0,0,0.672,2589584000000.0,0.0,0.0,0.2443067,-108.3871,10.26511,1,0.672,54946510000.0,0.0,0.0,0.0581104,-99.22685,0.08205813
