event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0230,3,1,"[9.81, 5.59, 0.23]","[2.2196, -0.5359, 0.0015]","[0.0, 34.59237, 39.38398]","[-0.04201, 0.11071, 0.00348]","[-1.00305, 0.32796, 0.01151]","[0.2602, 0.9075, 28.8296]","[0.3095, 1.1082, 6.815]","[-0.0303, -0.8041, -6.9069]","[0.02664, 0.44524, 27.60935]"
0105,3,1,"[6.09, 19.17, 0.99]","[-0.3563, 3.686, 0.0119]","[183.6337, 0.0, 189.2694]","[0.00959, 0.64227, -0.00012]","[-0.50537, 2.1605, -0.06858]","[1.4814, 0.3878, 11.2972]","[1.7412, 0.3007, 4.7074]","[0.0809, -0.1144, 0.2551]","[0.9282, 0.02969, 10.49826]"
0106,3,1,"[4.24, 12.27, 0.03]","[-0.6873, 3.8394, 0.0]","[16.68562, 0.0, 37.67233]","[-0.34802, 0.53906, -0.00065]","[0.10734, 0.11571, 0.00019]","[0.492, 0.2366, 267.3709]","[-1.0859, -0.5212, -82.7493]","[0.7307, -0.2253, 67.0936]","[0.26132, 0.04092, 266.5608]"
0231,3,1,"[19.81, 6.89, 0.9]","[1.5097, -0.2475, 0.0033]","[0.0, 46.9894, 49.37638]","[-0.14525, 0.05272, 0.00476]","[-0.41554, 0.09032, 0.00772]","[0.1329, 1.0672, 19.411]","[0.2398, 1.1803, 0.9288]","[-0.1789, -1.6284, -6.1952]","[0.02521, 0.88296, 19.09378]"
0107,3,1,"[9.4, 0.14, 1.39]","[3.1953, 0.0008, -0.0492]","[0.0, 143.5247, 139.827]","[-0.99018, 0.01604, 0.15151]","[-0.38279, 0.00327, 0.02521]","[0.2691, 43.1985, 2.9142]","[-0.4426, -20.7928, -4.7537]","[-0.1592, -10.5765, -1.1746]","[0.02467, 42.3569, 2.39604]"
0232,3,1,"[9.89, 4.07, 0.04]","[1.5462, -0.1865, 0.0]","[0.0, 31.6989, 39.33297]","[0.25365, -0.04884, -0.00052]","[0.28094, -0.10834, -0.00115]","[0.1454, 0.7771, 165.6074]","[0.082, 1.5016, 49.9424]","[-0.2773, -1.7766, -39.3165]","[0.01806, 0.57013, 165.1145]"
0219,3,2,"[26.08, 8.55, 2.31]","[2.199, -0.4374, 0.0202]","[0.0, 157.0391, 159.2969]","[0.7703, -0.14075, -0.02543]","[-0.71666, 0.13919, 0.02723]","[0.2612, 1.5626, 9.1829]","[-0.048, -0.1647, 0.5483]","[0.2978, 1.6049, 4.1562]","[0.01492, 0.76681, 7.71097]"
0001,3,2,"[10.22, 13.07, 0.08]","[3.4488, -5.1416, 0.0002]","[0.0, 9.583883, 28.93944]","[0.45627, -0.3106, -0.00077]","[-0.01345, -0.18987, -0.00014]","[0.2946, 0.4133, 67.6243]","[-0.4514, -0.2699, -12.0289]","[0.0619, -0.6825, -9.1921]","[0.09011, 0.19334, 66.92671]"
0002,3,2,"[41.42, 17.98, 0.07]","[3.9956, -0.741, 0.0]","[0.0, 48.34213, 96.33139]","[-0.35091, 0.25128, 0.00058]","[-0.37371, 0.18446, 0.00048]","[0.2329, 0.4138, 205.676]","[-0.0042, -0.4417, -4.5592]","[-0.5815, -1.224, -50.4951]","[0.05499, 0.20115, 205.0755]"
0003,3,2,"[24.42, 30.83, 1.45]","[1.5422, -1.1077, 0.0013]","[0.0, 17.86882, 24.5843]","[-0.83673, 0.22261, 0.0047]","[-0.27986, 0.44785, 0.00563]","[0.1061, 0.5119, 31.6168]","[-0.333, 0.422, 11.615]","[-0.1992, -0.9813, -4.3507]","[0.0295, 0.41576, 31.38703]"
