event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0230,0.6270145,1.339738,0.2414232,-0.06974355,-0.3806395,0,False,-1.0,0,0.425,1183363000000.0,0.0,0.0,0.2365467,131.3592,13.29418,1,0.425,46009660000.0,0.0,0.0,0.2497417,137.4477,0.1465662,2,0.425,2.26,0.0,0.0,0.02057014,-84.19355,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0105,1.315719,2.739913,0.0966639,0.04529802,0.9273278,0,False,-1.0,0,0.5,56948510000000.0,0.0,0.0,0.2922245,15.45607,2.626408,1,0.5,229171600000.0,0.0,0.0,0.1224139,21.24804,0.4133131,2,0.5,3.95,0.0,0.0,0.04110901,-168.885,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0106,0.5476287,0.8871127,0.1790103,0.1383507,-0.02783733,0,False,-1.0,0,0.688,1134459000000.0,0.0,0.0,0.3337297,89.69135,5.743538,1,0.688,43374360000.0,0.0,0.0,0.4609265,68.00428,0.05306814,2,0.688,2.36,0.0,0.0,0.0542788,46.47548,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0231,0.3024576,0.5432193,0.1639441,-0.09029819,-0.2263014,0,False,-1.0,0,0.979,939326100000.0,0.0,0.0,0.1442377,154.8752,5.542777,1,0.979,44840010000.0,0.0,0.0,0.3398106,98.79452,0.07401588,2,0.979,1.49,0.0,0.0,0.0100012,-80.22171,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0107,0.6663681,1.212403,0.01540719,-0.7308888,-0.06871077,0,False,-1.0,0,1.107,1977838000000.0,0.0,0.0,0.4798076,103.3345,4.607498,1,1.107,68811410000.0,0.0,0.0,0.3820483,114.1987,0.0869163,2,1.107,6.15,0.0,0.0,0.1905998,-99.3056,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0232,0.1773942,0.4929987,0.1206332,0.1033289,0.167834,0,False,-1.0,0,1.114,952910800000.0,0.0,0.0,0.3634251,-171.5772,4.802069,1,1.114,22814350000.0,0.0,0.0,0.3754446,-190.8249,0.0264536,2,1.114,1.95,0.0,0.0,0.0575441,15.14422,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0219,0.5605507,1.249997,0.19892,-0.2285685,-0.6879492,0,True,0.2784073,2,1.228,8215882000000.0,-31.32845,-22.82973,0.3477115,-47.53201,5.846482,3,1.228,81318480000.0,-31.32845,-22.82973,0.4000525,-38.54033,0.1738279,4,1.228,2.97,0.0,0.0,0.04548775,-126.1702,0.0,0,1.228,1890467000000.0,0.0,0.0,0.1973307,132.1426,12.04105,1,1.228,78316760000.0,0.0,0.0,0.2561005,185.7903,0.1479717
0001,0.4086027,0.786896,0.6707581,0.05223874,0.004848423,0,False,-1.0,0,1.117,2292329000000.0,0.0,0.0,0.1284808,25.49719,2.972107,1,1.117,47550310000.0,0.0,0.0,0.2340643,119.0875,0.09951357,2,1.117,3.76,0.0,0.0,0.06862569,-3.022936,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.4078428,0.82109,0.1854583,-0.122735,-0.09498814,0,False,-1.0,0,1.201,4093002000000.0,0.0,0.0,0.3101706,116.7159,3.18621,1,1.201,84425820000.0,0.0,0.0,0.2126337,137.2559,0.05336991,2,1.201,2.06,0.0,0.0,0.02919417,106.8815,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.4189346,1.285206,0.7182746,-0.2616019,-0.1261766,0,False,-1.0,0,0.218,1377170000000.0,0.0,0.0,0.1104613,18.32901,5.858136,1,0.218,69026300000.0,0.0,0.0,0.6279334,1.299988,0.227322,2,0.218,0.59,0.0,0.0,0.02467575,-166.0886,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
