event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[10.22, 13.07, 0.08]","[3.4488, -5.1416, 0.0002]","[0.0, 9.583883, 28.93944]","[0.45627, -0.3106, -0.00077]","[-0.01345, -0.18987, -0.00014]","[0.2946, 0.4133, 67.6243]","[-0.4514, -0.2699, -12.0289]","[0.0619, -0.6825, -9.1921]","[0.09011, 0.19334, 66.92671]"
0002,3,2,"[41.42, 17.98, 0.07]","[3.9956, -0.741, 0.0]","[0.0, 48.34213, 96.33139]","[-0.35091, 0.25128, 0.00058]","[-0.37371, 0.18446, 0.00048]","[0.2329, 0.4138, 205.676]","[-0.0042, -0.4417, -4.5592]","[-0.5815, -1.224, -50.4951]","[0.05499, 0.20115, 205.0755]"
0003,3,2,"[24.42, 30.83, 1.45]","[1.5422, -1.1077, 0.0013]","[0.0, 17.86882, 24.5843]","[-0.83673, 0.22261, 0.0047]","[-0.27986, 0.44785, 0.00563]","[0.1061, 0.5119, 31.6168]","[-0.333, 0.422, 11.615]","[-0.1992, -0.9813, -4.3507]","[0.0295, 0.41576, 31.38703]"
0004,3,2,"[10.06, 12.96, 0.41]","[-1.1985, 1.7271, 0.0023]","[33.20883, 0.0, 41.69261]","[0.27126, -0.33297, 0.00548]","[-0.21272, 0.68326, -0.00626]","[0.4687, 0.1609, 21.8035]","[-0.2314, 0.148, -1.3971]","[1.0311, 0.3211, 0.7122]","[0.30098, 0.0408, 21.41381]"
0005,3,2,"[11.2, 12.71, 0.05]","[2.8657, -1.9547, 0.0]","[0.0, 103.1053, 165.1715]","[0.14888, -0.11291, -0.00043]","[-1.56198, 0.76104, 0.00206]","[0.357, 0.5552, 182.5099]","[0.254, 0.8228, 29.4505]","[0.0057, 0.1801, 34.1458]","[0.01313, 0.09854, 181.1076]"
0006,3,2,"[36.05, 25.4, 0.43]","[-5.2135, 3.5851, 0.0007]","[141.2525, 0.0, 193.2505]","[-0.98381, 2.12116, -0.00882]","[-0.33084, 0.40973, 0.00054]","[0.6439, 0.4204, 39.7198]","[-0.386, -0.2111, -4.1772]","[-0.4118, -0.1115, 11.8694]","[0.03941, 0.00614, 37.84911]"
0007,3,2,"[9.89, 21.79, 0.1]","[-1.2023, 4.1526, 0.0001]","[277.8446, 0.0, 368.7744]","[-0.31645, 1.15743, -0.00178]","[-0.54231, 1.21301, -0.00234]","[0.7528, 0.4466, 121.4002]","[0.5373, 0.0839, -5.3111]","[-0.7773, -0.2416, -15.0114]","[0.07785, 0.00567, 119.3524]"
0008,3,2,"[13.75, 24.47, 0.75]","[-0.4151, 1.8359, 0.0014]","[38.26549, 0.0, 45.11556]","[-0.24753, 0.65225, -0.00837]","[0.09168, 0.11494, 0.0026]","[0.93, 0.1944, 30.5048]","[-1.238, -0.3041, -7.962]","[0.9389, -0.109, 9.9364]","[0.68425, 0.03761, 30.03104]"
0009,3,2,"[25.04, 10.41, 3.63]","[1.2855, -0.1847, 0.0224]","[0.0, 53.89321, 54.10046]","[0.86409, -0.0916, -0.0285]","[-0.00342, 0.01392, 0.00477]","[0.1076, 1.8791, 8.4427]","[-0.1356, -2.4291, -2.9276]","[-0.003, 0.5351, 1.473]","[0.00798, 1.61766, 8.09365]"
0010,3,3,"[33.84, 24.55, 16.82]","[1.9673, -1.1592, 0.5346]","[0.0, 7.701179, 7.706614]","[-0.26579, 0.04873, 0.03022]","[-0.03023, -0.00836, -0.0048]","[0.2116, 1.8799, 3.0065]","[-0.3318, -1.1964, -1.3509]","[-0.056, 0.4532, 0.575]","[0.07832, 1.64991, 2.74991]"
0011,3,2,"[12.99, 23.67, 3.32]","[-0.801, 2.4367, 0.0488]","[1.836597, 0.0, 1.957166]","[0.037, -0.07205, 0.00505]","[-0.00063, 0.05001, -0.00042]","[1.3243, 0.27, 6.4962]","[-1.1634, -0.0629, -3.1165]","[0.0078, 0.3443, 0.103]","[1.17768, 0.15528, 6.28599]"
0012,3,2,"[14.16, 17.83, 1.16]","[-0.7913, 1.8809, 0.0046]","[38.57734, 0.0, 44.01185]","[0.00742, 0.13205, -0.00037]","[-0.46236, 1.17265, -0.02284]","[0.7197, 0.1956, 16.314]","[1.1577, 0.3349, 4.0607]","[0.0454, -0.057, 0.1971]","[0.52761, 0.06274, 15.92641]"
0013,3,2,"[36.42, 16.34, 2.36]","[2.8258, -0.6009, 0.0103]","[0.0, 30.92886, 33.14256]","[-0.99461, 0.32613, 0.02893]","[0.02272, 0.03706, 0.00366]","[0.2963, 1.0532, 11.7129]","[-0.372, -1.2788, -3.8481]","[0.0544, -0.1782, -1.7827]","[0.05344, 0.66988, 11.01643]"
0014,3,2,"[28.49, 38.77, 0.09]","[-1.8663, 3.4011, 0.0]","[18.837, 0.0, 40.53809]","[0.55129, -0.86453, 0.00116]","[-0.14958, 0.0384, -0.0002]","[0.3904, 0.2522, 145.0036]","[-0.814, -0.5098, -13.4497]","[0.4949, 0.0731, 4.9114]","[0.10623, 0.03485, 143.636]"
0015,3,2,"[24.71, 23.6, 0.18]","[4.2588, -4.6599, 0.0004]","[0.0, 161.3736, 233.8161]","[2.68257, -1.34131, -0.00737]","[-0.04844, 0.3326, 0.00091]","[0.4507, 0.6788, 49.7066]","[-0.2554, -0.4836, 0.0595]","[0.0403, 0.2897, -0.0686]","[0.00689, 0.04215, 47.39656]"
