event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.4086027,0.786896,0.6707581,0.05223874,0.004848423,0,False,-1.0,0,1.117,2292329000000.0,0.0,0.0,0.1284808,25.49719,2.972107,1,1.117,47550310000.0,0.0,0.0,0.2340643,119.0875,0.09951357,2,1.117,3.76,0.0,0.0,0.06862569,-3.022936,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.4078428,0.82109,0.1854583,-0.122735,-0.09498814,0,False,-1.0,0,1.201,4093002000000.0,0.0,0.0,0.3101706,116.7159,3.18621,1,1.201,84425820000.0,0.0,0.0,0.2126337,137.2559,0.05336991,2,1.201,2.06,0.0,0.0,0.02919417,106.8815,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.4189346,1.285206,0.7182746,-0.2616019,-0.1261766,0,False,-1.0,0,0.218,1377170000000.0,0.0,0.0,0.1104613,18.32901,5.858136,1,0.218,69026300000.0,0.0,0.0,0.6279334,1.299988,0.227322,2,0.218,0.59,0.0,0.0,0.02467575,-166.0886,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.5764809,1.08068,0.6939654,-0.1620421,0.2150887,0,False,-1.0,0,0.639,1741659000000.0,0.0,0.0,0.4368382,-55.78275,3.6819,1,0.639,77382150000.0,0.0,0.0,0.3824398,-60.3111,0.1958291,2,0.639,2.52,0.0,0.0,0.08298085,-107.3889,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,1.045873,2.337717,0.6821102,0.02644111,-0.4094642,0,False,-1.0,0,0.597,22608660000000.0,0.0,0.0,0.2637056,-110.3141,4.475822,1,0.597,135460300000.0,0.0,0.0,0.2781982,-138.0429,0.1082553,2,0.597,2.03,0.0,0.0,0.06651944,-52.11656,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,1.257174,3.192068,0.687664,0.4455992,0.1293635,0,False,-1.0,0,0.528,24958140000000.0,0.0,0.0,0.2613548,172.1014,6.999851,1,0.528,187328500000.0,0.0,0.0,0.5795889,220.4074,0.2519436,2,0.528,1.85,0.0,0.0,0.01474024,-114.2333,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,1.218476,2.292037,0.2895241,0.2457604,0.388222,0,False,-1.0,0,1.213,23425990000000.0,0.0,0.0,0.1036163,-78.82965,4.55495,1,1.213,170536700000.0,0.0,0.0,0.2332666,-101.5579,0.1026702,2,1.213,3.04,0.0,0.0,0.08623317,-169.5253,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,0.4416952,0.9000836,0.2260851,0.2575965,-0.02159018,0,False,-1.0,0,0.751,2838560000000.0,0.0,0.0,0.5342656,-124.9314,3.672272,1,0.751,61612780000.0,0.0,0.0,0.4358688,-128.5564,0.1249091,2,0.751,1.98,0.0,0.0,0.03431769,12.45902,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.2858271,0.9558466,0.1436836,0.5034225,-0.01231888,0,False,-1.0,0,0.46,1393811000000.0,0.0,0.0,0.4454576,8.026079,8.092629,1,0.46,46711120000.0,0.0,0.0,0.4930285,9.907389,0.1190996,2,0.46,0.88,0.0,0.0,0.04101636,178.0946,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.1529107,0.3152849,0.5892127,-0.1166337,0.002244012,0,False,-1.0,0,0.876,640983800000.0,0.0,0.0,0.2983396,-158.4072,4.485526,1,0.876,16619400000.0,0.0,0.0,0.2460954,-152.2013,0.1184087,2,0.876,2.08,0.0,0.0,0.04267526,76.29394,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
