event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0105,3,1,"[6.09, 19.17, 0.99]","[-0.3563, 3.686, 0.0119]","[183.6337, 0.0, 189.2694]","[0.00959, 0.64227, -0.00012]","[-0.50537, 2.1605, -0.06858]","[1.4814, 0.3878, 11.2972]","[1.7412, 0.3007, 4.7074]","[0.0809, -0.1144, 0.2551]","[0.9282, 0.02969, 10.49826]"
0106,3,1,"[4.24, 12.27, 0.03]","[-0.6873, 3.8394, 0.0]","[16.68562, 0.0, 37.67233]","[-0.34802, 0.53906, -0.00065]","[0.10734, 0.11571, 0.00019]","[0.492, 0.2366, 267.3709]","[-1.0859, -0.5212, -82.7493]","[0.7307, -0.2253, 67.0936]","[0.26132, 0.04092, 266.5608]"
0107,3,1,"[9.4, 0.14, 1.39]","[3.1953, 0.0008, -0.0492]","[0.0, 143.5247, 139.827]","[-0.99018, 0.01604, 0.15151]","[-0.38279, 0.00327, 0.02521]","[0.2691, 43.1985, 2.9142]","[-0.4426, -20.7928, -4.7537]","[-0.1592, -10.5765, -1.1746]","[0.02467, 42.3569, 2.39604]"
0108,1,1,[20.83],[3.3355],[0.0],[-6.28135],[1.49143],[0.4059],[-0.1437],[0.1802],[0.00713]
0001,3,2,"[10.22, 13.07, 0.08]","[3.4488, -5.1416, 0.0002]","[0.0, 9.583883, 28.93944]","[0.45627, -0.3106, -0.00077]","[-0.01345, -0.18987, -0.00014]","[0.2946, 0.4133, 67.6243]","[-0.4514, -0.2699, -12.0289]","[0.0619, -0.6825, -9.1921]","[0.09011, 0.19334, 66.92671]"
0002,3,2,"[41.42, 17.98, 0.07]","[3.9956, -0.741, 0.0]","[0.0, 48.34213, 96.33139]","[-0.35091, 0.25128, 0.00058]","[-0.37371, 0.18446, 0.00048]","[0.2329, 0.4138, 205.676]","[-0.0042, -0.4417, -4.5592]","[-0.5815, -1.224, -50.4951]","[0.05499, 0.20115, 205.0755]"
0109,1,1,[24.69],[7.2712],[0.0],[4.0549],[3.26537],[0.495],[-0.1881],[-0.2866],[0.0007]
0110,3,2,"[38.14, 41.81, 1.2]","[-5.1288, 5.1248, 0.0058]","[22.71605, 0.0, 33.23702]","[-0.40507, 0.65654, -0.00643]","[-0.05813, 0.0156, -0.00093]","[0.6346, 0.4103, 14.3009]","[-0.5681, -0.3871, -0.4977]","[-0.0757, 0.0523, -2.0459]","[0.09344, 0.02762, 12.159]"
0111,3,1,"[17.87, 7.2, 3.36]","[3.3599, -0.4786, 0.0806]","[0.0, 13.29523, 13.38055]","[-0.00721, 0.00124, 0.00032]","[0.27125, -0.0555, -0.019]","[0.3322, 1.9343, 5.602]","[0.3792, 1.7157, 2.9616]","[0.0673, 0.1365, 0.0324]","[0.06435, 1.4446, 4.959]"
0112,1,1,[25.07],[4.9728],[0.0],[3.86903],[-2.63933],[0.4911],[-0.0497],[0.2355],[0.00784]
0113,3,2,"[10.1, 14.22, 0.51]","[-1.9573, 4.4928, 0.0057]","[16.00986, 0.0, 19.83596]","[-0.28077, 0.33094, -0.00744]","[-0.08067, 0.52751, -0.00261]","[0.8272, 0.454, 14.7428]","[-0.606, 0.0079, -3.6531]","[-0.4166, -0.2747, -0.8683]","[0.19943, 0.02116, 13.15527]"
0006,3,2,"[36.05, 25.4, 0.43]","[-5.2135, 3.5851, 0.0007]","[141.2525, 0.0, 193.2505]","[-0.98381, 2.12116, -0.00882]","[-0.33084, 0.40973, 0.00054]","[0.6439, 0.4204, 39.7198]","[-0.386, -0.2111, -4.1772]","[-0.4118, -0.1115, 11.8694]","[0.03941, 0.00614, 37.84911]"
0007,3,2,"[9.89, 21.79, 0.1]","[-1.2023, 4.1526, 0.0001]","[277.8446, 0.0, 368.7744]","[-0.31645, 1.15743, -0.00178]","[-0.54231, 1.21301, -0.00234]","[0.7528, 0.4466, 121.4002]","[0.5373, 0.0839, -5.3111]","[-0.7773, -0.2416, -15.0114]","[0.07785, 0.00567, 119.3524]"
0114,1,1,[18.59],[3.4024],[0.0],[5.70378],[3.76021],[0.3925],[-0.0654],[-0.2663],[0.00393]
0115,3,2,"[20.85, 29.2, 0.22]","[-2.0348, 6.1415, 0.0005]","[45.49564, 0.0, 83.73791]","[-0.33956, 0.28943, -0.00171]","[-0.14123, 0.47035, -0.0009]","[0.6348, 0.4077, 48.424]","[-0.5192, 0.1781, -10.078]","[-0.596, -0.3953, -6.5768]","[0.15545, 0.03519, 46.77806]"
