event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0219,3,2,"[26.08, 8.55, 2.31]","[2.199, -0.4374, 0.0202]","[0.0, 157.0391, 159.2969]","[0.7703, -0.14075, -0.02543]","[-0.71666, 0.13919, 0.02723]","[0.2612, 1.5626, 9.1829]","[-0.048, -0.1647, 0.5483]","[0.2978, 1.6049, 4.1562]","[0.01492, 0.76681, 7.71097]"
0110,3,2,"[38.14, 41.81, 1.2]","[-5.1288, 5.1248, 0.0058]","[22.71605, 0.0, 33.23702]","[-0.40507, 0.65654, -0.00643]","[-0.05813, 0.0156, -0.00093]","[0.6346, 0.4103, 14.3009]","[-0.5681, -0.3871, -0.4977]","[-0.0757, 0.0523, -2.0459]","[0.09344, 0.02762, 12.159]"
0113,3,2,"[10.1, 14.22, 0.51]","[-1.9573, 4.4928, 0.0057]","[16.00986, 0.0, 19.83596]","[-0.28077, 0.33094, -0.00744]","[-0.08067, 0.52751, -0.00261]","[0.8272, 0.454, 14.7428]","[-0.606, 0.0079, -3.6531]","[-0.4166, -0.2747, -0.8683]","[0.19943, 0.02116, 13.15527]"
0115,3,2,"[20.85, 29.2, 0.22]","[-2.0348, 6.1415, 0.0005]","[45.49564, 0.0, 83.73791]","[-0.33956, 0.28943, -0.00171]","[-0.14123, 0.47035, -0.0009]","[0.6348, 0.4077, 48.424]","[-0.5192, 0.1781, -10.078]","[-0.596, -0.3953, -6.5768]","[0.15545, 0.03519, 46.77806]"
0118,3,2,"[10.83, 13.02, 0.12]","[-1.0324, 3.0004, 0.0003]","[238.9204, 0.0, 275.3109]","[-0.5243, 1.66431, -0.00516]","[0.05809, 0.44144, 0.00014]","[0.8948, 0.3541, 63.974]","[-0.9593, -0.2772, 2.0446]","[0.2436, -0.0843, 3.6445]","[0.05436, 0.00193, 60.64622]"
0120,3,2,"[16.48, 10.31, 0.58]","[3.455, -0.5091, 0.0015]","[0.0, 47.43123, 53.47807]","[-0.35228, 0.10182, 0.00391]","[-0.20436, 0.08082, 0.00283]","[0.3982, 1.0613, 29.7087]","[-0.0953, -0.2062, -4.37]","[-0.2523, -1.3876, -11.4223]","[0.03328, 0.52094, 28.63865]"
0131,3,2,"[8.59, 46.61, 0.13]","[-0.7705, 22.804, 0.0002]","[185.4985, 0.0, 221.7136]","[0.71822, -1.91269, 0.00666]","[0.01704, 0.16289, -0.00022]","[1.1256, 0.474, 80.1335]","[-1.1437, -0.4779, -23.5887]","[-0.076, 0.0667, 4.4268]","[0.08233, 0.0057, 75.30128]"
0220,3,2,"[20.5, 21.19, 0.79]","[2.3862, -2.082, 0.0053]","[0.0, 287.1356, 297.4562]","[-0.77896, 0.13483, 0.00599]","[-1.58889, 0.31795, 0.01925]","[0.3521, 1.0272, 15.8054]","[0.0015, 0.4145, 5.1975]","[0.0257, -0.5561, -2.1999]","[0.00197, 0.16099, 13.71264]"
0221,3,2,"[33.98, 9.79, 0.45]","[2.0004, -0.3993, 0.0004]","[0.0, 52.03107, 64.61645]","[0.46335, -0.22958, -0.00419]","[0.31199, -0.02042, -0.00059]","[0.2182, 0.9882, 60.8589]","[-0.1102, -1.5523, -29.9348]","[-0.315, -0.3077, -2.9589]","[0.02378, 0.57688, 59.58004]"
0148,3,2,"[27.72, 12.0, 7.13]","[3.2054, -0.6247, 0.2235]","[0.0, 19.98659, 20.00092]","[-0.28271, 0.02894, 0.01578]","[0.0213, -0.02156, -0.01171]","[0.3443, 2.4912, 4.3659]","[-0.3014, -0.5762, -0.6799]","[0.1645, 1.8688, 2.5285]","[0.00896, 1.14798, 2.69284]"
