event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0219,0.5605507,1.249997,0.19892,-0.2285685,-0.6879492,0,True,0.2784073,2,1.228,8215882000000.0,-31.32845,-22.82973,0.3477115,-47.53201,5.846482,3,1.228,81318480000.0,-31.32845,-22.82973,0.4000525,-38.54033,0.1738279,4,1.228,2.97,0.0,0.0,0.04548775,-126.1702,0.0,0,1.228,1890467000000.0,0.0,0.0,0.1973307,132.1426,12.04105,1,1.228,78316760000.0,0.0,0.0,0.2561005,185.7903,0.1479717
0110,0.464913,1.064169,0.9992227,-0.9171013,0.8132656,0,True,0.2903661,2,0.835,16896750000000.0,-32.44754,21.49084,0.4292343,-111.9874,6.267472,3,0.835,154934500000.0,-32.44754,21.49084,0.2660571,-150.5504,0.1458209,4,0.835,2.21,0.0,0.0,0.05499456,-116.4569,0.0,0,0.835,1594081000000.0,0.0,0.0,0.2384798,-28.27166,14.41395,1,0.835,47917690000.0,0.0,0.0,0.3788596,-19.15178,0.1808462
0113,0.4588062,0.8625961,0.4356581,-0.3778825,0.5193017,0,True,0.2969043,2,0.703,6493948000000.0,-1.774193,1.592264,0.3033236,50.66545,4.5822,3,0.703,119195700000.0,-1.774193,1.592264,0.07905734,44.37538,0.2100063,4,0.703,2.44,0.0,0.0,0.1364213,128.7085,0.0,0,0.703,540923700000.0,0.0,0.0,0.2223007,114.8701,14.41367,1,0.703,27901740000.0,0.0,0.0,0.3093799,65.69732,0.1395523
0115,0.5011729,0.8772936,0.331322,0.5479612,0.2713281,0,True,0.2722095,2,1.687,5254095000000.0,4.097522,1.702864,0.1697148,40.27779,3.208336,3,1.687,76190360000.0,4.097522,1.702864,0.266162,64.9049,0.02847215,4,1.687,3.15,0.0,0.0,0.06114229,-20.79781,0.0,0,1.687,2792472000000.0,0.0,0.0,0.3113965,75.30311,7.095432,1,1.687,77410490000.0,0.0,0.0,0.2628037,90.92902,0.09924972
0118,0.9248898,2.221931,0.3440912,0.762213,3.650706,0,True,0.2805357,2,1.09,53115490000000.0,4.456851,27.81815,0.2488652,119.3546,2.499969,3,1.09,232817800000.0,4.456851,27.81815,0.3289107,155.9764,0.2778726,4,1.09,4.33,0.0,0.0,0.1137998,75.93206,0.0,0,1.09,3953806000000.0,0.0,0.0,0.2150386,-156.8282,11.18941,1,1.09,95760160000.0,0.0,0.0,0.4805751,-173.8733,0.1048132
0120,0.2553079,0.5362182,0.1473673,0.07835529,-0.3045841,0,True,0.2730014,2,1.796,4304486000000.0,1.123842,-1.323139,0.06731795,-38.6528,3.116124,3,1.796,59825700000.0,1.123842,-1.323139,0.2681824,-41.00474,0.03847214,4,1.796,2.85,0.0,0.0,0.09540562,178.6443,0.0,0,1.796,1302785000000.0,0.0,0.0,0.4189934,118.0318,7.631461,1,1.796,30804610000.0,0.0,0.0,0.3147315,120.186,0.05302565
0131,1.580095,2.63495,0.03378609,-3.285203,-1.415941,0,True,0.2851212,2,0.795,31839840000000.0,-39.6216,-17.84075,0.2095704,-128.8116,3.917754,3,0.795,194806600000.0,-39.6216,-17.84075,0.1980349,-106.5786,0.1876394,4,0.795,6.68,0.0,0.0,0.05160789,-107.7328,0.0,0,0.795,4095469000000.0,0.0,0.0,0.2247359,94.83164,15.65228,1,0.795,84116870000.0,0.0,0.0,0.1839465,69.20622,0.1089104
0220,0.7571587,2.11448,0.8725006,-2.568967,1.43462,0,True,0.2762305,2,1.439,57014850000000.0,-9.467744,4.765186,0.4579072,-96.78896,4.264031,3,1.439,167023900000.0,-9.467744,4.765186,0.1545298,-66.99284,0.06091933,4,1.439,3.72,0.0,0.0,0.06185432,-104.932,0.0,0,1.439,1823974000000.0,0.0,0.0,0.04872762,59.25631,11.39612,1,1.439,68204800000.0,0.0,0.0,0.3251066,26.77758,0.1172072
0221,0.5388662,0.7685381,0.1996291,-0.2235171,-0.460292,0,True,0.2915194,2,0.864,14097790000000.0,-23.05023,-35.27784,0.2829327,177.8829,4.260112,3,0.864,142821600000.0,-23.05023,-35.27784,0.1027292,172.9542,0.197792,4,0.864,1.34,0.0,0.0,0.01849998,-128.6711,0.0,0,0.864,1171389000000.0,0.0,0.0,0.4578725,-112.8748,14.81903,1,0.864,58179880000.0,0.0,0.0,0.5289044,-92.91464,0.06645435
0148,0.1660005,0.314586,0.1948895,0.5459724,-0.4289827,0,True,0.286823,2,1.539,15262710000000.0,23.6433,-19.24343,0.2186007,37.21203,3.535237,3,1.539,90550270000.0,23.6433,-19.24343,0.1572263,18.14796,0.0860168,4,1.539,2.47,0.0,0.0,0.09962338,-133.8814,0.0,0,1.539,383150200000.0,0.0,0.0,0.2054382,-144.1463,24.34963,1,1.539,8048443000.0,0.0,0.0,0.2711281,-172.1497,0.04437836
0155,1.274968,2.329397,0.3610382,2.332325,2.109284,0,True,0.2907218,2,0.716,51723310000000.0,11.9891,14.18103,0.2792505,-162.6695,8.38661,3,0.716,295099700000.0,11.9891,14.18103,0.1669583,-192.7485,0.239073,4,0.716,1.76,0.0,0.0,0.04705915,-117.7205,0.0,0,0.716,3746749000000.0,0.0,0.0,0.2764049,-158.0173,23.32094,1,0.716,67528680000.0,0.0,0.0,0.314792,-257.2949,0.1393468
0156,1.044333,2.133269,0.1661303,0.2297386,1.689826,0,True,0.2871881,2,0.502,8467565000000.0,6.771523,12.64169,0.1869638,99.93166,4.918606,3,0.502,128594000000.0,6.771523,12.64169,0.2969928,95.69737,0.2460753,4,0.502,2.09,0.0,0.0,0.06058303,-132.0949,0.0,0,0.502,2240839000000.0,0.0,0.0,0.05499751,168.3959,26.37066,1,0.502,43095880000.0,0.0,0.0,0.5293474,168.6641,0.1317493
0158,0.3824835,0.8723137,0.9801862,-0.3875433,-0.4345017,0,True,0.2927827,2,0.955,4387778000000.0,-1.482341,-1.646484,0.464216,-61.03677,5.347763,3,0.955,57656230000.0,-1.482341,-1.646484,0.4478546,-44.27573,0.1020254,4,0.955,4.84,0.0,0.0,0.05176246,62.83082,0.0,0,0.955,367116000000.0,0.0,0.0,0.2188555,162.0113,17.16806,1,0.955,11105520000.0,0.0,0.0,0.5478768,207.5723,0.05081395
0222,3.221549,6.864069,0.6502801,-2.694715,-3.621457,0,True,0.2861932,2,0.566,88248160000000.0,-29.85168,-80.96745,0.3659924,162.178,3.621937,3,0.566,273029400000.0,-29.85168,-80.96745,0.3343167,151.8587,0.3410306,4,0.566,4.59,0.0,0.0,0.0805821,-89.58257,0.0,0,0.566,10619650000000.0,0.0,0.0,0.1871356,176.7155,24.93643,1,0.566,111861600000.0,0.0,0.0,0.1973084,177.2734,0.2885456
0160,0.3116671,0.5658735,1.0,0.2488665,-0.3186403,0,True,0.2772712,2,1.48,2756205000000.0,3.748429,-4.456365,0.1998453,119.1392,3.630819,3,1.48,38740580000.0,3.748429,-4.456365,0.3704632,106.6153,0.02889429,4,1.48,2.85,0.0,0.0,0.07349246,-70.67078,0.0,0,1.48,728708700000.0,0.0,0.0,0.334946,46.77168,11.97347,1,1.48,27353340000.0,0.0,0.0,0.5666076,67.43936,0.07338006
0223,0.3705575,0.7364457,0.562044,0.1738627,-0.831949,0,True,0.2924745,2,0.722,18681790000000.0,13.69519,-45.12167,0.4323035,-133.241,5.658277,3,0.722,174428200000.0,13.69519,-45.12167,0.2533951,-142.2128,0.2042184,4,0.722,1.27,0.0,0.0,0.07312318,118.8905,0.0,0,0.722,1692899000000.0,0.0,0.0,0.1502903,-89.42695,13.62384,1,0.722,44808690000.0,0.0,0.0,0.009217561,-51.98747,0.1615988
0224,0.4987099,0.9365001,0.4670312,0.2362563,-0.01489229,0,True,0.2819646,2,0.914,1621687000000.0,2.859133,2.351817,0.2054342,112.5274,3.878547,3,0.914,46277900000.0,2.859133,2.351817,0.2058707,132.8287,0.04651303,4,0.914,3.21,0.0,0.0,0.0501327,128.0017,0.0,0,0.914,568543400000.0,0.0,0.0,0.2719495,-53.28344,16.77877,1,0.914,31915280000.0,0.0,0.0,0.5000316,-104.3054,0.1179991
0175,0.1327805,0.2445763,0.5542866,-0.06996153,-0.1741796,0,True,0.2870908,2,0.744,1045645000000.0,0.1759319,-27.50395,0.3307799,24.37854,6.369636,3,0.744,37986010000.0,0.1759319,-27.50395,0.3041675,6.290298,0.09111016,4,0.744,1.84,0.0,0.0,0.03301271,144.611,0.0,0,0.744,288163600000.0,0.0,0.0,0.4358909,-122.1752,16.17011,1,0.744,5362031000.0,0.0,0.0,0.064042,-184.1496,0.09451583
0182,0.4266569,0.7884368,0.9265879,-1.065305,-0.6384629,0,True,0.3042712,2,0.776,20171360000000.0,-22.4061,-15.23854,0.3190718,-33.30161,2.720967,3,0.776,114657500000.0,-22.4061,-15.23854,0.5067191,28.94873,0.112329,4,0.776,1.69,0.0,0.0,0.02278795,-146.0067,0.0,0,0.776,553382600000.0,0.0,0.0,0.2392213,119.8561,18.26986,1,0.776,33821970000.0,0.0,0.0,0.1637699,96.64814,0.07428249
0192,0.3770754,0.8145741,0.05800041,0.3897,0.8577079,0,True,0.2856271,2,0.887,35158040000000.0,1.854704,2.107199,0.296423,41.03113,3.972445,3,0.887,211759100000.0,1.854704,2.107199,0.09203462,9.218747,0.1554267,4,0.887,1.42,0.0,0.0,0.01852927,53.2067,0.0,0,0.887,3241159000000.0,0.0,0.0,0.4047912,59.89089,7.579061,1,0.887,42275810000.0,0.0,0.0,0.3261147,71.54781,0.08415447
