event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[34.52, 20.11, 2.14]","[2.0451, -0.3762, 0.0042]","[0.0, 82.85969, 86.28857]","[-1.50854, 0.32686, 0.02702]","[-0.89667, 0.14422, 0.01162]","[0.2698, 1.0993, 17.1272]","[-0.1268, -1.0654, -3.4742]","[-0.1676, -1.2382, -2.6792]","[0.01069, 0.56502, 16.1359]"
0002,3,2,"[32.12, 24.43, 0.74]","[2.8607, -1.3152, 0.0012]","[0.0, 851.4687, 889.371]","[3.73276, -1.02132, -0.03213]","[3.83931, -0.70898, -0.02935]","[0.3563, 1.2849, 35.1316]","[0.0562, -0.4108, -1.8054]","[-0.2482, -0.8202, -17.6886]","[0.00284, 0.14437, 31.74954]"
0003,3,2,"[24.08, 10.89, 0.21]","[2.109, -0.5136, 0.0002]","[0.0, 112.933, 132.7316]","[-1.40136, 0.44231, 0.00584]","[-0.72339, 0.12537, 0.00198]","[0.2668, 0.6625, 71.6388]","[-0.186, -1.2378, -4.7097]","[-0.1699, -0.7271, -1.6219]","[0.0071, 0.2004, 70.43879]"
4942,3,1,"[8.03, 5.23, 0.03]","[2.0257, -0.4902, 0.0]","[0.0, 39.45096, 56.0128]","[-0.55911, 0.22234, 0.00056]","[-0.55707, 0.19203, 0.00045]","[0.2201, 0.5454, 401.005]","[-0.022, -0.1974, -35.2164]","[-0.3377, -1.4858, -59.1632]","[0.00752, 0.12597, 399.0565]"
2129,3,2,"[32.44, 16.58, 0.19]","[4.5185, -1.3479, 0.0002]","[0.0, 41.05602, 65.08337]","[-0.65706, 0.37893, 0.00201]","[-0.22521, 0.01907, 0.00033]","[0.3674, 0.6087, 74.1566]","[-0.3645, -0.9453, -9.9678]","[-0.2145, -0.0368, -6.1059]","[0.02698, 0.12358, 72.30049]"
4943,3,1,"[15.4, 3.49, 0.26]","[1.6053, -0.5344, 0.0008]","[0.0, 11.53733, 13.30125]","[-0.15722, 0.06112, 0.00169]","[-0.22271, 0.06343, 0.0017]","[0.1746, 0.6152, 36.9381]","[0.0688, 0.1425, -3.3541]","[-0.2316, -1.4139, -6.4594]","[0.01979, 0.37587, 36.41584]"
4944,2,1,"[12.9, 4.03]","[2.6763, -0.2933]","[0.0, 212.3626]","[-1.01854, 0.39729]","[0.96387, -0.06079]","[0.3335, 0.7843]","[-0.1811, -1.8109]","[0.1944, 0.4209]","[0.00196, 0.06647]"
2130,2,1,"[25.73, 3.06]","[3.2726, -0.055]","[0.0, 2142.104]","[-3.49096, 0.21607]","[0.18298, -0.02458]","[0.3826, 2.385]","[-0.2746, -4.4411]","[-0.0151, 0.6138]","[0.00011, 0.39888]"
4945,3,1,"[9.45, 5.75, 0.03]","[2.1495, -0.7391, 0.0]","[0.0, 35.93892, 55.12898]","[0.60977, -0.27305, -0.00107]","[0.15531, -0.11239, -0.00037]","[0.2049, 0.3985, 155.5537]","[-0.343, -0.9152, -2.0628]","[-0.222, -0.9366, -1.4108]","[0.01633, 0.12863, 154.6715]"
2131,5,4,"[14.48, 12.52, 16.44, 21.43, 0.43]","[-2.5506, 5.0825, 4.7798, -4.7801, 0.0044]","[3.910148, 0.253502, 0.0, 1.550796, 7.328521]","[-0.0884, 0.31638, -0.25067, 0.11909, -0.00054]","[-0.2159, -0.0405, 0.20827, 0.25886, -0.00139]","[0.8073, 0.4501, 0.4496, 0.6778, 16.6897]","[0.464, -0.3199, -0.0509, 0.3605, 2.97]","[-0.4624, 0.0574, 0.3018, -0.4279, -3.3032]","[0.10479, 0.02856, 0.02506, 0.06729, 13.2038]"
2132,3,1,"[15.57, 4.71, 0.13]","[3.8206, -0.3105, 0.0003]","[0.0, 180.8881, 210.0314]","[0.53546, -0.21318, -0.00477]","[-0.93471, 0.24853, 0.00462]","[0.3429, 0.8818, 61.5178]","[0.2176, 0.5046, -9.4719]","[0.3502, 1.7262, 16.3397]","[0.01247, 0.3495, 60.32523]"
2133,3,1,"[8.14, 7.46, 0.02]","[5.3126, -1.2218, 0.0]","[0.0, 160.3122, 200.7272]","[-0.34128, 0.16998, 0.00052]","[-1.37884, 0.49066, 0.00185]","[0.4543, 1.0051, 209.768]","[0.3209, 0.7243, 59.702]","[-0.0812, -0.5421, -43.8996]","[0.00392, 0.06947, 205.5489]"
2134,3,1,"[5.82, 20.95, 0.36]","[-1.2278, 5.2885, 0.0033]","[10.3178, 0.0, 13.22078]","[0.09922, -0.17809, 0.00281]","[-0.10678, 0.2248, -0.00274]","[0.8096, 0.4108, 20.0059]","[0.1917, 0.156, -1.9814]","[0.9022, 0.3657, 7.2553]","[0.34873, 0.06759, 18.88758]"
0004,2,2,"[19.48, 8.92]","[3.6559, -0.5902]","[0.0, 155.0587]","[-0.12684, 0.07611]","[-0.80781, 0.28829]","[0.3816, 0.6402]","[0.3126, 1.1682]","[-0.1055, -0.6775]","[0.002, 0.03666]"
4612,3,3,"[37.35, 23.57, 9.81]","[2.1728, -1.5483, 0.3537]","[0.0, 29.02912, 29.14856]","[-0.17518, 0.15301, 0.04988]","[-1.19986, 0.16254, 0.06992]","[0.2918, 1.319, 2.8849]","[0.1209, -0.1273, -0.0246]","[-0.1636, -0.8552, -0.8518]","[0.02024, 0.58456, 1.89975]"
1937,5,4,"[12.83, 8.06, 18.17, 11.3, 0.01]","[-3.3266, 3.2791, 9.7527, -6.5715, 0.0]","[8.869601, 0.0, 6.922726, 7.227066, 40.24344]","[0.03085, 0.52867, -0.53236, -0.44048, -0.00013]","[-0.46798, 0.36373, -0.13909, 0.21945, -0.0001]","[0.3592, 0.3312, 0.3627, 0.3189, 367.1389]","[0.7968, -0.1185, -0.5289, -0.3089, -63.1118]","[0.2764, -0.3583, -0.1546, 0.7216, -116.9228]","[0.031, 0.05749, 0.07988, 0.03435, 365.2913]"
0005,3,2,"[28.44, 0.95, 9.72]","[1.9869, 0.0023, -0.2312]","[0.0, 59.78915, 56.88756]","[-0.08873, 0.00819, 0.10157]","[-0.70102, 0.00801, 0.1157]","[0.2304, 24.5293, 1.1194]","[0.2426, -5.3532, 0.7534]","[-0.1737, -9.2508, -1.9419]","[0.00688, 23.76986, 0.69425]"
0006,3,2,"[24.59, 12.42, 0.45]","[2.2039, -2.2683, 0.0007]","[0.0, 112.1352, 153.5262]","[-0.11916, 0.20368, 0.00182]","[-1.98611, 0.94041, 0.01106]","[0.2826, 0.5392, 39.2354]","[0.2453, 0.7376, 4.5635]","[-0.0286, -0.3305, -3.756]","[0.02628, 0.17621, 38.18269]"
2136,3,1,"[9.57, 4.4, 0.97]","[3.1756, -0.3197, 0.0347]","[0.0, 81.3653, 82.1734]","[1.55889, -0.28647, -0.07416]","[0.55305, 0.14328, 0.03698]","[0.3517, 2.4517, 8.5898]","[-0.3083, -1.4092, -3.0725]","[-0.1016, 1.8025, 4.401]","[0.01225, 1.31906, 6.87073]"
4946,3,1,"[14.81, 0.67, 7.81]","[1.5278, 0.0027, -0.1883]","[0.0, 66.33641, 64.12087]","[-0.87004, 0.01598, 0.16362]","[-0.84286, 0.01469, 0.15208]","[0.1685, 22.0701, 1.3901]","[-0.0507, -0.5839, -0.1778]","[-0.1854, -8.1758, -2.3305]","[0.01789, 21.48926, 1.0646]"
0007,3,2,"[17.85, 12.82, 0.15]","[1.95, -0.3264, 0.0003]","[0.0, 10.82385, 13.22647]","[-0.36688, 0.11843, 0.00219]","[0.29987, -0.1264, -0.00231]","[0.2023, 0.809, 69.3074]","[-0.04, 0.1137, 2.9234]","[0.3492, 1.7569, 26.2608]","[0.04193, 0.56259, 68.69371]"
2138,3,1,"[6.8, 10.27, 0.03]","[-1.3461, 3.3656, 0.0]","[259.2819, 0.0, 316.483]","[-0.71577, 2.39744, -0.00285]","[0.50517, 0.53015, 0.00097]","[1.0401, 0.3975, 186.1158]","[-0.1945, -0.256, -53.6705]","[0.8406, -0.0171, 39.4991]","[0.03725, 0.00161, 181.2708]"
2139,3,1,"[24.92, 2.9, 0.22]","[3.5147, -0.0345, 0.0001]","[0.0, 712.5419, 734.1552]","[-1.50245, 0.08925, 0.00491]","[2.20551, -0.23549, -0.01263]","[0.4058, 2.9354, 102.8874]","[0.164, 4.3262, 36.6336]","[0.204, 3.7457, 32.9596]","[0.00365, 2.04298, 101.4096]"
4947,3,1,"[14.49, 5.38, 0.23]","[1.7399, -0.1999, 0.0001]","[0.0, 69.87763, 82.51568]","[-0.29934, 0.08468, 0.00113]","[0.42766, -0.11523, -0.00155]","[0.1857, 0.7304, 120.2444]","[0.1017, 0.6771, 7.3342]","[0.2792, 2.1484, 25.8197]","[0.01352, 0.43291, 119.5151]"
4948,2,1,"[15.74, 5.5]","[2.1809, -0.2239]","[0.0, 150.3536]","[0.59129, -0.13872]","[0.99693, -0.2681]","[0.2515, 0.6459]","[0.1491, 1.1887]","[-0.282, -1.7828]","[0.00208, 0.10211]"
2140,3,1,"[18.86, 6.09, 0.08]","[3.5016, -0.463, 0.0001]","[0.0, 156.4955, 185.3105]","[-1.05128, 0.332, 0.00352]","[-0.38322, 0.06592, 0.00093]","[0.3496, 0.8805, 87.1895]","[-0.3309, -1.3929, -5.6661]","[-0.1672, -0.4839, -9.1725]","[0.00606, 0.15067, 84.67453]"
2142,3,2,"[43.1, 11.51, 0.77]","[4.2067, -1.4546, 0.0065]","[0.0, 224.9993, 239.778]","[-1.32792, 0.41178, 0.02436]","[-2.22227, 0.72007, 0.02656]","[0.4372, 1.1888, 14.7878]","[0.1933, 0.4983, -1.0796]","[-0.204, -0.6891, -5.8996]","[0.00109, 0.02495, 9.85399]"
4613,3,2,"[11.24, 13.48, 2.07]","[2.0404, -0.3927, 0.0113]","[0.0, 43.50704, 44.54866]","[0.01962, -0.00352, -0.00145]","[-0.71085, 0.14402, 0.01973]","[0.2293, 1.303, 11.0991]","[0.3213, 1.6226, 3.5615]","[-0.0251, -0.0752, 1.0449]","[0.01407, 0.63859, 9.7423]"
2144,3,2,"[23.03, 12.23, 0.19]","[3.3837, -0.3092, 0.0001]","[0.0, 21.50012, 28.40545]","[0.1582, 0.0075, 0.00012]","[-0.24148, 0.11303, 0.00114]","[0.3058, 0.7843, 100.0088]","[0.3086, 1.8079, 27.915]","[0.3018, -0.1093, -16.9499]","[0.01566, 0.35367, 98.8927]"
4949,3,1,"[16.92, 5.6, 0.21]","[1.7765, -0.2755, 0.0002]","[0.0, 34.36393, 39.52175]","[0.04433, -0.01688, -0.00037]","[-0.27714, 0.07563, 0.00146]","[0.1992, 0.7409, 73.2947]","[0.2701, 1.7776, 12.4994]","[0.0735, 0.7328, 11.5934]","[0.01396, 0.42336, 72.56032]"
4614,3,2,"[13.77, 23.77, 0.11]","[-0.7526, 2.3461, 0.0001]","[99.74165, 0.0, 129.4335]","[-0.23576, 1.38166, -0.00146]","[-0.51315, 0.36979, -0.00269]","[0.8765, 0.2875, 120.4806]","[0.751, -0.1599, 38.2066]","[-0.8832, -0.2362, -19.7872]","[0.10768, 0.00256, 116.3807]"
0008,3,2,"[11.04, 22.69, 0.06]","[-0.8539, 7.5266, 0.0]","[26.50823, 0.0, 58.39759]","[0.37317, -0.61078, 0.00068]","[-0.16278, 0.17613, -0.00022]","[0.4066, 0.2718, 239.8083]","[-0.7431, -0.4779, -59.7143]","[0.9853, 0.4111, 10.3538]","[0.14636, 0.04965, 238.9586]"
