event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.8969035,2.110005,0.1839369,-0.6831406,-0.3490214,0,False,-1.0,0,0.348,5099770000000.0,0.0,0.0,0.09378769,173.4114,9.203206,1,0.348,81163180000.0,0.0,0.0,0.2775439,219.5967,0.2244824,2,0.348,1.98,0.0,0.0,0.05226355,56.0646,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,3.707585,6.57938,0.4597523,1.142591,1.03878,0,False,-1.0,0,0.54,26232780000000.0,0.0,0.0,0.3044473,75.31968,11.42004,1,0.54,208368200000.0,0.0,0.0,0.383869,134.4853,0.2258558,2,0.54,4.73,0.0,0.0,0.0564753,3.068154,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.8028793,2.029658,0.2435266,-0.6108618,-0.2241967,0,False,-1.0,0,0.628,6893095000000.0,0.0,0.0,0.3605867,-152.7001,5.098756,1,0.628,92559490000.0,0.0,0.0,0.3132109,-156.5006,0.1293293,2,0.628,7.7,0.0,0.0,0.06283365,89.32194,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4942,0.531235,1.082501,0.2419896,-0.2446398,-0.2251649,0,False,-1.0,0,0.737,786927400000.0,0.0,0.0,0.266189,-143.5981,11.03308,1,0.737,30730040000.0,0.0,0.0,0.1340056,-94.60101,0.03490951,2,0.737,4.92,0.0,0.0,0.04053018,113.8792,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2129,0.5346528,1.064403,0.2983106,0.2082112,1.850967,0,True,0.2863386,2,1.074,18633070000000.0,3.755834,14.93077,0.3817469,-94.45534,5.20807,3,1.074,140072400000.0,3.755834,14.93077,0.3001036,-93.0952,0.05763861,4,1.074,3.16,0.0,0.0,0.09432333,-107.5666,0.0,0,1.074,1430195000000.0,0.0,0.0,0.1008111,-97.69707,9.402881,1,1.074,56266280000.0,0.0,0.0,0.1013153,-26.48141,0.08563926
4943,0.1833737,0.359921,0.3328948,-0.07377335,-0.09506486,0,False,-1.0,0,1.156,562149900000.0,0.0,0.0,0.3537231,34.28233,5.259516,1,1.156,10459960000.0,0.0,0.0,0.2870561,-104.4038,0.03758733,2,1.156,2.59,0.0,0.0,0.05018115,-100.6855,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4944,0.8384079,1.747705,0.1095751,-0.5049783,0.1199806,0,False,-1.0,0,1.435,3439832000000.0,0.0,0.0,0.1682251,65.28878,6.979613,1,1.435,83105060000.0,0.0,0.0,0.06996821,22.03084,0.02382725,2,1.435,6.84,0.0,0.0,0.1913199,107.2367,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2130,1.895962,3.712833,0.01680596,-1.264357,0.04525135,0,False,-1.0,0,2.443,19736760000000.0,0.0,0.0,0.1641477,-146.3905,5.823487,1,2.443,97943010000.0,0.0,0.0,0.4881964,-127.0537,0.02299502,2,2.443,8.31,0.0,0.0,0.05374474,119.4647,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4945,0.3942511,0.9225127,0.3438427,0.2267864,0.07914962,0,False,-1.0,0,0.85,1395228000000.0,0.0,0.0,0.1643309,171.1346,5.661444,1,0.85,46724400000.0,0.0,0.0,0.2787225,199.5366,0.05807466,2,0.85,2.61,0.0,0.0,0.02869642,127.3852,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2131,0.2584256,0.619223,1.0,0.2285373,0.8324955,0,True,0.2913939,2,1.124,5658677000000.0,4.806538,17.32184,0.2022929,-103.79,1.902202,3,1.124,90674610000.0,4.806538,17.32184,0.09434694,-31.37713,0.1034893,4,1.124,4.26,0.0,0.0,0.02453966,-66.14575,0.0,0,1.124,396105100000.0,0.0,0.0,0.3095801,162.2545,18.78108,1,1.124,9070113000.0,0.0,0.0,0.2481335,149.0993,0.09121475
2132,0.8799395,1.400183,0.0812753,0.2719395,-0.4091306,0,False,-1.0,0,1.248,8777660000000.0,0.0,0.0,0.2204963,54.19871,4.146347,1,1.248,123706700000.0,0.0,0.0,0.3821701,84.93509,0.1057411,2,1.248,3.16,0.0,0.0,0.08317298,-155.05,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2133,0.9481902,1.938141,0.2299838,-0.9125314,1.687615,0,True,0.2749563,2,1.391,18083270000000.0,-6.001565,19.83659,0.2321282,157.7521,3.876073,3,1.391,106041900000.0,-6.001565,19.83659,0.6640032,154.0862,0.04270425,4,1.391,9.37,0.0,0.0,0.05176233,47.26001,0.0,0,1.391,3422957000000.0,0.0,0.0,0.3181213,-49.67668,9.731047,1,1.391,50023750000.0,0.0,0.0,0.3257888,-21.46507,0.04875045
2134,0.236045,0.4322535,0.2321744,-0.04385864,0.05951419,0,False,-1.0,0,1.396,813255200000.0,0.0,0.0,0.2842084,36.00348,7.844831,1,1.396,16035910000.0,0.0,0.0,0.3904614,65.0617,0.06861935,2,1.396,3.28,0.0,0.0,0.05484123,-34.2019,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.6755699,1.114731,0.161447,-0.06517936,-0.2891052,0,False,-1.0,0,2.182,4883355000000.0,0.0,0.0,0.2286018,-34.92145,4.422447,1,2.182,65817190000.0,0.0,0.0,0.5101039,-104.0116,0.02968069,2,2.182,5.43,0.0,0.0,0.02083897,23.48401,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4612,0.7414849,1.401371,0.7125752,3.400146,1.24025,0,True,0.3134715,2,0.369,45756900000000.0,33.10997,17.85743,0.2093254,153.9225,4.404003,3,0.369,330613400000.0,33.10997,17.85743,0.3112714,124.3986,0.7007831,4,0.369,5.34,0.0,0.0,0.05887642,114.2204,0.0,0,0.369,1407357000000.0,0.0,0.0,0.4335954,-90.25617,14.8016,1,0.369,47156540000.0,0.0,0.0,0.446971,-122.1069,0.3895239
1937,0.5709636,1.174137,1.0,0.03232975,0.0351364,0,False,-1.0,0,0.846,1002631000000.0,0.0,0.0,0.2522316,154.5197,7.692458,1,0.846,41195010000.0,0.0,0.0,0.4594672,117.0808,0.05352157,2,0.846,6.48,0.0,0.0,0.1620343,37.03546,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.6007902,0.8385915,0.1163844,-0.1428721,-0.3323545,0,False,-1.0,0,1.3,1388817000000.0,0.0,0.0,0.1673477,127.0434,3.865578,1,1.3,37985970000.0,0.0,0.0,0.6017068,98.1064,0.0907785,2,1.3,11.49,0.0,0.0,0.1106157,132.6009,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,1.431442,2.944281,0.9715833,-0.05345506,-0.5485878,0,False,-1.0,0,0.452,8780381000000.0,0.0,0.0,0.04342302,84.58568,5.971778,1,0.452,214726500000.0,0.0,0.0,0.1757206,106.8024,0.3117799,2,0.452,2.75,0.0,0.0,0.08473063,-91.38886,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2136,1.212516,1.89031,0.1006905,0.5655211,-0.2140881,0,False,-1.0,0,0.465,3887592000000.0,0.0,0.0,0.4435411,-122.6353,13.90078,1,0.465,80289410000.0,0.0,0.0,0.4618807,-124.3926,0.2739556,2,0.465,4.97,0.0,0.0,0.1034278,70.13547,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4946,0.594271,1.4347,0.1232521,-0.4716664,-0.4274161,0,False,-1.0,0,0.494,1585973000000.0,0.0,0.0,0.4263372,-179.1663,6.60894,1,0.494,56203670000.0,0.0,0.0,0.009218971,-193.8947,0.1438431,2,0.494,3.15,0.0,0.0,0.08456974,69.97657,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.2815101,0.6459275,0.1674075,-0.1518269,0.1478232,0,False,-1.0,0,0.537,451949900000.0,0.0,0.0,0.2109255,-85.22846,7.423166,1,0.537,14002040000.0,0.0,0.0,0.3228889,-141.7744,0.05348038,2,0.537,3.59,0.0,0.0,0.05520968,-2.555826,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2138,1.77608,3.113305,0.3999441,5.104061,-1.679407,0,True,0.2796781,2,0.918,61741710000000.0,47.59509,-17.04339,0.3138233,-115.9714,6.411689,3,0.918,314464200000.0,47.59509,-17.04339,0.3669204,-114.9513,0.3603714,4,0.918,10.08,0.0,0.0,0.05284647,24.46425,0.0,0,0.918,7490350000000.0,0.0,0.0,0.2795703,-158.7223,10.98147,1,0.918,75248460000.0,0.0,0.0,0.3313507,-106.3972,0.07208682
2139,1.006581,2.914095,0.009810789,-0.5394368,1.353408,0,False,-1.0,0,1.138,31773830000000.0,0.0,0.0,0.4982905,15.89026,2.976922,1,1.138,183788600000.0,0.0,0.0,0.3151152,20.19896,0.09455465,2,1.138,4.4,0.0,0.0,0.03429611,154.6804,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4947,0.3005918,0.6649815,0.1149161,-0.1630539,0.227185,0,False,-1.0,0,1.202,1606170000000.0,0.0,0.0,0.1199768,65.82574,6.130708,1,1.202,42422820000.0,0.0,0.0,0.01959918,80.71585,0.03774121,2,1.202,1.98,0.0,0.0,0.006165622,7.757167,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4948,0.655083,1.46056,0.1026678,0.2856537,0.5055864,0,False,-1.0,0,1.208,2133570000000.0,0.0,0.0,0.1495953,35.11996,6.307029,1,1.208,64651930000.0,0.0,0.0,0.3856789,48.94531,0.03511302,2,1.208,7.53,0.0,0.0,0.05570463,-35.21678,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2140,0.6714424,1.454371,0.1322118,-1.471862,-0.444838,0,True,0.2749626,2,1.445,7472366000000.0,-19.8608,-6.387188,0.2576273,26.3389,3.002519,3,1.445,101283000000.0,-19.8608,-6.387188,0.6163067,78.76397,0.07717418,4,1.445,6.2,0.0,0.0,0.08356048,-113.8389,0.0,0,1.445,2129867000000.0,0.0,0.0,0.1431623,129.3549,8.642731,1,1.445,72629540000.0,0.0,0.0,0.2758061,177.9931,0.07731129
2142,1.752303,3.418178,0.3457807,-2.759612,0.468717,0,True,0.2929264,2,0.649,32264290000000.0,-11.88732,9.06869,0.4641592,-159.5483,3.78522,3,0.649,174073500000.0,-11.88732,9.06869,0.2412576,-194.1027,0.1091577,4,0.649,6.26,0.0,0.0,0.01889013,-140.7667,0.0,0,0.649,2695161000000.0,0.0,0.0,0.3258437,142.68,25.24113,1,0.649,63282990000.0,0.0,0.0,0.6397359,98.49617,0.1790751
