event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[34.52, 20.11, 2.14]","[2.0451, -0.3762, 0.0042]","[0.0, 82.85969, 86.28857]","[-1.50854, 0.32686, 0.02702]","[-0.89667, 0.14422, 0.01162]","[0.2698, 1.0993, 17.1272]","[-0.1268, -1.0654, -3.4742]","[-0.1676, -1.2382, -2.6792]","[0.01069, 0.56502, 16.1359]"
0002,3,2,"[32.12, 24.43, 0.74]","[2.8607, -1.3152, 0.0012]","[0.0, 851.4687, 889.371]","[3.73276, -1.02132, -0.03213]","[3.83931, -0.70898, -0.02935]","[0.3563, 1.2849, 35.1316]","[0.0562, -0.4108, -1.8054]","[-0.2482, -0.8202, -17.6886]","[0.00284, 0.14437, 31.74954]"
0003,3,2,"[24.08, 10.89, 0.21]","[2.109, -0.5136, 0.0002]","[0.0, 112.933, 132.7316]","[-1.40136, 0.44231, 0.00584]","[-0.72339, 0.12537, 0.00198]","[0.2668, 0.6625, 71.6388]","[-0.186, -1.2378, -4.7097]","[-0.1699, -0.7271, -1.6219]","[0.0071, 0.2004, 70.43879]"
0004,2,2,"[19.48, 8.92]","[3.6559, -0.5902]","[0.0, 155.0587]","[-0.12684, 0.07611]","[-0.80781, 0.28829]","[0.3816, 0.6402]","[0.3126, 1.1682]","[-0.1055, -0.6775]","[0.002, 0.03666]"
0005,3,2,"[28.44, 0.95, 9.72]","[1.9869, 0.0023, -0.2312]","[0.0, 59.78915, 56.88756]","[-0.08873, 0.00819, 0.10157]","[-0.70102, 0.00801, 0.1157]","[0.2304, 24.5293, 1.1194]","[0.2426, -5.3532, 0.7534]","[-0.1737, -9.2508, -1.9419]","[0.00688, 23.76986, 0.69425]"
0006,3,2,"[24.59, 12.42, 0.45]","[2.2039, -2.2683, 0.0007]","[0.0, 112.1352, 153.5262]","[-0.11916, 0.20368, 0.00182]","[-1.98611, 0.94041, 0.01106]","[0.2826, 0.5392, 39.2354]","[0.2453, 0.7376, 4.5635]","[-0.0286, -0.3305, -3.756]","[0.02628, 0.17621, 38.18269]"
0007,3,2,"[17.85, 12.82, 0.15]","[1.95, -0.3264, 0.0003]","[0.0, 10.82385, 13.22647]","[-0.36688, 0.11843, 0.00219]","[0.29987, -0.1264, -0.00231]","[0.2023, 0.809, 69.3074]","[-0.04, 0.1137, 2.9234]","[0.3492, 1.7569, 26.2608]","[0.04193, 0.56259, 68.69371]"
0008,3,2,"[11.04, 22.69, 0.06]","[-0.8539, 7.5266, 0.0]","[26.50823, 0.0, 58.39759]","[0.37317, -0.61078, 0.00068]","[-0.16278, 0.17613, -0.00022]","[0.4066, 0.2718, 239.8083]","[-0.7431, -0.4779, -59.7143]","[0.9853, 0.4111, 10.3538]","[0.14636, 0.04965, 238.9586]"
0009,3,2,"[11.48, 37.54, 0.06]","[-0.8096, 1.8781, 0.0]","[106.9767, 0.0, 150.1406]","[-0.29363, 1.34622, -0.00113]","[-0.41091, 0.24812, -0.00088]","[0.6461, 0.2659, 186.8571]","[0.4868, -0.0489, 26.2174]","[-1.06, -0.0641, -19.6838]","[0.10481, 0.00354, 184.9153]"
0010,2,2,"[14.43, 30.89]","[-1.0965, 3.0424]","[316.2055, 0.0]","[-0.38856, 1.00164]","[-0.17306, 1.02522]","[0.8544, 0.3925]","[-0.7109, -0.0477]","[-0.6541, -0.1951]","[0.04324, 0.00116]"
0011,3,2,"[14.02, 9.5, 0.36]","[2.8949, -1.5229, 0.0025]","[0.0, 37.41835, 51.09374]","[-0.69902, 0.40269, 0.00802]","[-0.28541, 0.049, 0.00182]","[0.294, 0.6005, 21.5057]","[-0.3087, -0.8891, -3.9867]","[-0.2401, -0.1601, -1.9604]","[0.0758, 0.31339, 20.77285]"
0012,3,2,"[59.28, 30.78, 0.31]","[4.8982, -1.2438, 0.0001]","[0.0, 58.98435, 92.73129]","[0.61705, -0.36438, -0.00173]","[-0.49928, 0.22226, 0.00109]","[0.3626, 0.6082, 87.6644]","[-0.0988, -0.4349, -7.4037]","[0.4385, 0.8766, 8.9683]","[0.02113, 0.11371, 85.73186]"
0013,3,3,"[20.73, 11.31, 9.79]","[1.5043, -0.4018, 0.3007]","[0.0, 76.68602, 76.68691]","[1.27087, -0.10096, -0.08593]","[-0.49881, -0.00251, -0.0021]","[0.1641, 4.9489, 5.9955]","[-0.1802, -4.2477, -4.6416]","[0.0376, -0.1986, -0.2916]","[0.01278, 4.47571, 5.50246]"
0014,3,2,"[10.76, 16.49, 0.17]","[-2.1278, 3.9619, 0.001]","[7.009885, 0.0, 13.34544]","[-0.19728, 0.29942, -0.00151]","[-0.07172, -0.07034, -0.00025]","[0.5409, 0.3466, 33.0601]","[-0.5889, -0.3828, -6.9067]","[-0.5778, 0.1673, -3.539]","[0.26671, 0.09093, 32.29124]"
0015,3,2,"[31.88, 8.97, 0.62]","[2.0735, -0.4037, 0.0009]","[0.0, 11.61024, 12.98584]","[-0.22475, 0.06504, 0.00219]","[0.1067, -0.02808, -0.00075]","[0.2451, 0.7394, 34.908]","[-0.1388, -0.938, -7.5919]","[0.2615, 1.2905, 0.3955]","[0.01508, 0.38253, 34.20086]"
0016,3,2,"[11.81, 12.97, 0.04]","[2.1479, -0.5782, 0.0]","[0.0, 25.41008, 41.70801]","[0.40937, -0.09609, -0.00018]","[-0.32617, 0.23327, 0.00059]","[0.2249, 0.4773, 328.8911]","[-0.0683, 0.8728, 141.6695]","[0.3613, 1.114, 0.7232]","[0.00728, 0.14908, 327.8645]"
0017,3,2,"[19.33, 17.42, 0.3]","[3.5908, -3.3788, 0.0002]","[0.0, 440.5013, 513.882]","[-2.48878, 0.72426, 0.00488]","[-0.75337, 0.22941, 0.00189]","[0.4676, 0.8657, 79.0298]","[-0.0666, -0.4718, -5.225]","[-0.0233, -0.3023, -13.324]","[0.00158, 0.05074, 76.73288]"
0018,3,2,"[17.12, 52.7, 0.16]","[-0.9273, 3.6731, 0.0]","[267.6152, 0.0, 369.9861]","[-0.45871, 1.41894, -0.00223]","[-0.38682, 0.47694, -0.00093]","[0.7256, 0.3749, 189.2963]","[0.0107, -0.1861, -68.1104]","[-1.074, -0.2895, -22.2264]","[0.07195, 0.01136, 186.6481]"
0019,3,2,"[22.87, 21.41, 0.05]","[1.6582, -0.3227, 0.0]","[0.0, 107.9249, 142.3127]","[0.55392, -0.20551, -0.00088]","[-0.57105, 0.15741, 0.00062]","[0.1677, 0.5385, 307.9737]","[0.0267, -0.3915, -51.4303]","[0.2981, 1.7772, 47.0057]","[0.00783, 0.20311, 306.679]"
0020,3,2,"[22.38, 12.98, 0.31]","[2.4488, -0.6976, 0.0005]","[0.0, 496.6219, 527.5771]","[-1.77658, 0.36383, 0.01031]","[1.4962, -0.27049, -0.00632]","[0.338, 1.0735, 46.2309]","[-0.051, -0.2692, -8.7427]","[0.1652, 1.1689, 8.7915]","[0.00211, 0.19145, 43.97229]"
0021,3,2,"[17.53, 34.73, 3.73]","[-0.4138, 4.0705, 0.0244]","[14.58584, 0.0, 15.05831]","[-0.06841, 0.33633, -0.01286]","[-0.19984, 0.61997, -0.03475]","[1.7344, 0.3423, 9.3251]","[1.4294, 0.2745, 3.967]","[-0.9554, -0.3339, -3.5456]","[1.33093, 0.13185, 8.62904]"
0022,3,2,"[9.84, 15.19, 0.06]","[-0.9176, 2.0315, 0.0]","[15.83457, 0.0, 32.81809]","[0.29471, -0.53782, 0.00062]","[0.14744, 0.17572, 8e-05]","[0.4504, 0.2337, 193.9574]","[-0.5481, -0.2718, -47.7758]","[-1.0447, 0.1454, -9.7541]","[0.15542, 0.03752, 193.0155]"
0023,3,2,"[29.89, 42.02, 0.34]","[2.6535, -2.9355, 0.0003]","[0.0, 16.38007, 29.44369]","[-0.34029, 0.19788, 0.00107]","[0.39564, -0.26106, -0.00138]","[0.2946, 0.4842, 64.4148]","[0.0498, 0.2093, 5.7141]","[0.3439, 0.7503, 15.904]","[0.0596, 0.1961, 63.49043]"
0024,3,2,"[12.4, 21.8, 0.31]","[-0.7591, 3.0304, 0.0003]","[37.87475, 0.0, 57.02443]","[-0.31988, 0.38365, -0.00247]","[-0.14096, 0.58094, -0.0016]","[0.65, 0.3268, 67.5684]","[-0.9501, 0.042, -5.8221]","[-0.733, -0.3485, -22.7117]","[0.26854, 0.05387, 66.35255]"
0025,3,2,"[25.67, 17.67, 1.34]","[1.8506, -0.8927, 0.0051]","[0.0, 13.77727, 15.95766]","[0.52484, -0.30481, -0.01209]","[-0.65639, 0.13102, 0.00792]","[0.2175, 0.7099, 15.3985]","[-0.03, -0.8245, -1.7249]","[0.2664, 0.7242, 2.7263]","[0.05202, 0.45321, 14.83539]"
0026,3,2,"[14.64, 15.86, 0.98]","[-1.361, 2.3283, 0.013]","[9.806758, 0.0, 11.36607]","[-0.04773, 0.12193, -0.00297]","[-0.04578, 0.07932, -0.00248]","[0.7117, 0.2511, 10.0666]","[0.0257, -0.0921, -0.4671]","[-0.904, -0.3506, -2.2855]","[0.52975, 0.10684, 9.73756]"
0027,3,2,"[15.78, 39.54, 4.06]","[-0.8836, 1.9113, 0.0189]","[4.390418, 0.0, 4.829565]","[0.05886, 0.09928, 0.00316]","[-0.15976, 0.39996, -0.01363]","[0.9509, 0.2136, 8.9218]","[0.8391, 0.2678, 2.061]","[0.6557, -0.1534, 2.3882]","[0.76613, 0.07477, 8.60255]"
0028,2,2,"[39.11, 51.5]","[-0.7602, 1.8059]","[76.87076, 0.0]","[0.07197, 0.37717]","[-0.46303, 1.20645]","[0.6002, 0.2274]","[1.1385, 0.1768]","[0.4231, -0.1089]","[0.06234, 0.00312]"
0029,3,2,"[12.29, 16.66, 0.08]","[-0.977, 4.2389, 0.0]","[46.51376, 0.0, 81.2501]","[0.25488, -0.30459, 0.00078]","[-0.37266, 0.74449, -0.00129]","[0.6214, 0.3561, 175.2549]","[0.3335, 0.2796, 34.6003]","[1.0275, 0.3169, 62.6685]","[0.2212, 0.04592, 173.9189]"
0030,3,2,"[12.08, 11.32, 2.48]","[1.9109, -0.9116, 0.0219]","[0.0, 112.2893, 114.4975]","[1.12578, -0.20832, -0.02915]","[-0.49668, 0.12217, 0.01573]","[0.2567, 1.1933, 8.2664]","[-0.054, -0.4505, -1.5538]","[0.1622, 0.9651, 2.152]","[0.00604, 0.33492, 6.44635]"
0031,3,2,"[29.76, 21.98, 0.1]","[1.9125, -1.1354, 0.0]","[0.0, 113.4095, 169.6574]","[0.79326, -0.34571, -0.00115]","[-0.14922, -0.03389, 0.0001]","[0.2462, 0.4488, 173.2495]","[-0.2121, -1.0393, -8.6372]","[0.0189, -0.3232, 10.79]","[0.01076, 0.10294, 172.1166]"
0032,3,3,"[38.56, 12.3, 8.18]","[6.8404, -2.0639, 0.3616]","[0.0, 429.5058, 431.72]","[0.62469, 0.19604, 0.06522]","[-3.60394, 0.76911, 0.26112]","[0.5337, 1.6024, 3.3383]","[0.2388, 0.8131, 1.4108]","[0.1194, -0.4316, -0.8437]","[0.00695, 0.32011, 1.53326]"
0033,3,2,"[16.82, 8.17, 0.04]","[4.0876, -0.3504, 0.0]","[0.0, 37.30548, 56.62239]","[0.59168, -0.26252, -0.00106]","[-0.13302, 0.0909, 0.00042]","[0.2536, 0.597, 236.9898]","[-0.5119, -1.4246, -41.3548]","[0.2245, 0.9935, 61.6574]","[0.02906, 0.26605, 235.8839]"
