event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.8969035,2.110005,0.1839369,-0.6831406,-0.3490214,0,False,-1.0,0,0.348,5099770000000.0,0.0,0.0,0.09378769,173.4114,9.203206,1,0.348,81163180000.0,0.0,0.0,0.2775439,219.5967,0.2244824,2,0.348,1.98,0.0,0.0,0.05226355,56.0646,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,3.707585,6.57938,0.4597523,1.142591,1.03878,0,False,-1.0,0,0.54,26232780000000.0,0.0,0.0,0.3044473,75.31968,11.42004,1,0.54,208368200000.0,0.0,0.0,0.383869,134.4853,0.2258558,2,0.54,4.73,0.0,0.0,0.0564753,3.068154,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.8028793,2.029658,0.2435266,-0.6108618,-0.2241967,0,False,-1.0,0,0.628,6893095000000.0,0.0,0.0,0.3605867,-152.7001,5.098756,1,0.628,92559490000.0,0.0,0.0,0.3132109,-156.5006,0.1293293,2,0.628,7.7,0.0,0.0,0.06283365,89.32194,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.6755699,1.114731,0.161447,-0.06517936,-0.2891052,0,False,-1.0,0,2.182,4883355000000.0,0.0,0.0,0.2286018,-34.92145,4.422447,1,2.182,65817190000.0,0.0,0.0,0.5101039,-104.0116,0.02968069,2,2.182,5.43,0.0,0.0,0.02083897,23.48401,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.6007902,0.8385915,0.1163844,-0.1428721,-0.3323545,0,False,-1.0,0,1.3,1388817000000.0,0.0,0.0,0.1673477,127.0434,3.865578,1,1.3,37985970000.0,0.0,0.0,0.6017068,98.1064,0.0907785,2,1.3,11.49,0.0,0.0,0.1106157,132.6009,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,1.431442,2.944281,0.9715833,-0.05345506,-0.5485878,0,False,-1.0,0,0.452,8780381000000.0,0.0,0.0,0.04342302,84.58568,5.971778,1,0.452,214726500000.0,0.0,0.0,0.1757206,106.8024,0.3117799,2,0.452,2.75,0.0,0.0,0.08473063,-91.38886,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.2815101,0.6459275,0.1674075,-0.1518269,0.1478232,0,False,-1.0,0,0.537,451949900000.0,0.0,0.0,0.2109255,-85.22846,7.423166,1,0.537,14002040000.0,0.0,0.0,0.3228889,-141.7744,0.05348038,2,0.537,3.59,0.0,0.0,0.05520968,-2.555826,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,0.6353538,1.040685,0.1134568,-0.1562112,0.07573889,0,False,-1.0,0,0.917,2178700000000.0,0.0,0.0,0.2342328,88.34164,3.555552,1,0.917,57975540000.0,0.0,0.0,0.2964785,98.36686,0.06299733,2,0.917,5.03,0.0,0.0,0.08919658,43.4595,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.6345259,1.767323,0.4310616,0.3080802,0.1620846,0,False,-1.0,0,0.966,3752021000000.0,0.0,0.0,0.3343703,-13.9446,6.33215,1,0.966,79689910000.0,0.0,0.0,0.3726221,5.128259,0.0749043,2,0.966,5.77,0.0,0.0,0.1638369,-174.0691,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.8768497,1.835359,0.3604027,0.3314873,0.2164532,0,False,-1.0,0,2.441,7307999000000.0,0.0,0.0,0.2536449,50.19571,4.595935,1,2.441,63565950000.0,0.0,0.0,0.08468543,74.46603,0.02863706,2,2.441,9.71,0.0,0.0,0.04866864,-90.55005,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0011,0.568776,1.151345,0.5260847,-0.1967387,-0.04392652,0,False,-1.0,0,0.812,2526370000000.0,0.0,0.0,0.03009976,87.96633,5.197502,1,0.812,94939470000.0,0.0,0.0,0.02371385,119.9959,0.2062675,2,0.812,2.44,0.0,0.0,0.05277966,48.89904,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0012,0.6415656,1.218124,0.2539351,0.1795133,-0.1230132,0,False,-1.0,0,1.19,2390336000000.0,0.0,0.0,0.09382649,96.01626,7.589362,1,1.19,70037980000.0,0.0,0.0,0.1156557,125.7973,0.08861687,2,1.19,4.08,0.0,0.0,0.04649492,51.05646,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0013,0.6621694,1.458845,0.267083,0.7566627,-0.1076407,0,False,-1.0,0,0.516,1387458000000.0,0.0,0.0,0.267067,115.2805,6.788868,1,0.516,60298740000.0,0.0,0.0,0.3158436,125.3412,0.1767997,2,0.516,6.46,0.0,0.0,0.1113677,129.6163,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0014,0.2717122,0.4967026,0.5370508,0.05053742,0.006045478,0,False,-1.0,0,1.431,977670000000.0,0.0,0.0,0.3114931,-112.9738,3.712028,1,1.431,21630080000.0,0.0,0.0,0.1870823,-67.50131,0.08458145,2,1.431,5.85,0.0,0.0,0.1069414,151.4864,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0015,0.1497265,0.3195957,0.1946675,-0.1007138,0.05496968,0,False,-1.0,0,1.624,712398100000.0,0.0,0.0,0.1509647,122.7338,4.331992,1,1.624,7604650000.0,0.0,0.0,0.3717815,128.4535,0.031792,2,1.624,4.66,0.0,0.0,0.05712663,-151.8642,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0016,0.2522668,0.7539558,0.2691773,0.1169401,-0.1487013,0,False,-1.0,0,1.016,1160406000000.0,0.0,0.0,0.4148834,-167.9709,4.93419,1,1.016,28666870000.0,0.0,0.0,0.5722493,-188.2414,0.03363999,2,1.016,4.54,0.0,0.0,0.02307996,-33.58505,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0017,1.261154,3.359981,0.940972,-0.5144732,-0.1412061,0,False,-1.0,0,1.275,37326340000000.0,0.0,0.0,0.0750464,-35.01978,3.930917,1,1.275,143209600000.0,0.0,0.0,0.233647,-11.14473,0.1133957,2,1.275,4.12,0.0,0.0,0.1362192,22.3936,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0018,1.283501,2.066794,0.2524654,0.3503079,0.2736057,0,False,-1.0,0,1.772,5723209000000.0,0.0,0.0,0.1455719,22.55451,5.449625,1,1.772,130451500000.0,0.0,0.0,0.4791127,87.68314,0.07945783,2,1.772,9.14,0.0,0.0,0.1112435,148.5792,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0019,0.5529656,1.052334,0.1946238,0.2785729,-0.2621888,0,False,-1.0,0,1.179,1412099000000.0,0.0,0.0,0.4760381,114.21,7.530223,1,1.179,63855130000.0,0.0,0.0,0.2582915,93.71633,0.03887414,2,1.179,2.65,0.0,0.0,0.03702584,23.63861,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0020,1.261801,2.775337,0.2848766,-0.5969904,0.480352,0,False,-1.0,0,1.407,11504080000000.0,0.0,0.0,0.2740287,150.7466,5.504444,1,1.407,125042600000.0,0.0,0.0,0.2784259,110.8081,0.1205651,2,1.407,6.78,0.0,0.0,0.03516891,-71.66147,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0021,0.3737973,0.9142809,0.101662,0.07890172,0.2604731,0,False,-1.0,0,0.394,662066600000.0,0.0,0.0,0.1770031,-152.9145,12.4849,1,0.394,31206110000.0,0.0,0.0,0.5019885,-205.2832,0.1920299,2,0.394,2.95,0.0,0.0,0.0506033,-173.5226,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0022,0.4814298,0.833007,0.4516721,-0.1168386,-0.01813309,0,False,-1.0,0,0.978,986069400000.0,0.0,0.0,0.4651503,-60.31034,4.122574,1,0.978,31215970000.0,0.0,0.0,0.2328424,-87.21917,0.05523566,2,0.978,20.38,0.0,0.0,0.1343236,158.1099,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0023,0.3673259,0.8490488,0.9039478,-0.07169121,0.08606003,0,False,-1.0,0,1.033,1220253000000.0,0.0,0.0,0.1498497,-106.102,4.931157,1,1.033,35315910000.0,0.0,0.0,0.2215244,-150.0635,0.08368248,2,1.033,4.96,0.0,0.0,0.09581599,-44.17955,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0024,0.4887519,1.008011,0.2504944,0.1632976,0.08472101,0,False,-1.0,0,1.13,1487639000000.0,0.0,0.0,0.2059011,-45.50842,5.968447,1,1.13,56101550000.0,0.0,0.0,0.3494379,-45.1609,0.09407406,2,1.13,4.91,0.0,0.0,0.1482885,-100.921,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0025,0.5530809,1.143824,0.4824075,0.2267928,-0.1620065,0,False,-1.0,0,0.313,944563600000.0,0.0,0.0,0.1161623,118.9215,8.530847,1,0.313,35499530000.0,0.0,0.0,0.1131807,127.5894,0.2192514,2,0.313,7.83,0.0,0.0,0.12201,-73.82685,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0026,0.1041499,0.210787,0.584539,0.03457772,0.02961984,0,False,-1.0,0,2.189,959511800000.0,0.0,0.0,0.3373281,-113.2949,3.71277,1,2.189,16410450000.0,0.0,0.0,0.03665773,-115.0144,0.05850418,2,2.189,3.08,0.0,0.0,0.07862584,177.3289,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0027,0.2724476,0.5611728,0.462318,0.001918044,0.1344812,0,False,-1.0,0,0.378,549655100000.0,0.0,0.0,0.2927946,-178.0329,5.673505,1,0.378,16241970000.0,0.0,0.0,0.397758,-132.8316,0.1699743,2,0.378,4.13,0.0,0.0,0.07207645,-112.2826,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0028,0.8899525,1.697149,0.4209702,0.0479299,0.4283075,0,False,-1.0,0,0.708,1592108000000.0,0.0,0.0,0.4107276,41.38883,10.93762,1,0.708,58678710000.0,0.0,0.0,0.3982336,74.2929,0.05736525,2,0.708,7.07,0.0,0.0,0.06874871,-105.8782,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
