event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
4612,3,3,"[37.35, 23.57, 9.81]","[2.1728, -1.5483, 0.3537]","[0.0, 29.02912, 29.14856]","[-0.17518, 0.15301, 0.04988]","[-1.19986, 0.16254, 0.06992]","[0.2918, 1.319, 2.8849]","[0.1209, -0.1273, -0.0246]","[-0.1636, -0.8552, -0.8518]","[0.02024, 0.58456, 1.89975]"
0013,3,3,"[20.73, 11.31, 9.79]","[1.5043, -0.4018, 0.3007]","[0.0, 76.68602, 76.68691]","[1.27087, -0.10096, -0.08593]","[-0.49881, -0.00251, -0.0021]","[0.1641, 4.9489, 5.9955]","[-0.1802, -4.2477, -4.6416]","[0.0376, -0.1986, -0.2916]","[0.01278, 4.47571, 5.50246]"
2166,5,5,"[16.0, 16.93, 25.89, 23.5, 9.22]","[-1.3758, 4.3387, 2.103, -3.0067, 0.511]","[3.253993, 1.72941, 0.0, 1.875633, 3.270677]","[-0.00508, 0.43236, -0.52728, 0.20717, 0.00251]","[-0.17859, 0.11335, 0.37079, 0.3841, -0.07097]","[2.0167, 0.3948, 0.2897, 0.7313, 3.3737]","[1.3077, -0.2825, -0.1201, 0.2806, 1.9076]","[-0.2245, -0.2367, 0.121, -0.571, -0.1964]","[1.70717, 0.1887, 0.1049, 0.50102, 2.99291]"
0032,3,3,"[38.56, 12.3, 8.18]","[6.8404, -2.0639, 0.3616]","[0.0, 429.5058, 431.72]","[0.62469, 0.19604, 0.06522]","[-3.60394, 0.76911, 0.26112]","[0.5337, 1.6024, 3.3383]","[0.2388, 0.8131, 1.4108]","[0.1194, -0.4316, -0.8437]","[0.00695, 0.32011, 1.53326]"
0051,3,3,"[18.74, 12.4, 8.52]","[1.6592, -0.2466, 0.1148]","[0.0, 69.03206, 69.04551]","[0.29748, -0.02242, -0.01475]","[0.56014, -0.04664, -0.0306]","[0.2026, 3.5988, 5.9625]","[0.1012, 2.0632, 2.511]","[-0.1516, -2.5598, -3.0996]","[0.0131, 3.10645, 5.41808]"
1944,5,5,"[35.64, 34.85, 32.92, 19.28, 8.2]","[4.2817, -4.7588, 4.6999, -1.8118, 0.2694]","[0.0, 477.7483, 136.7225, 1589.801, 1599.068]","[-0.73027, 8.04175, 8.77924, -1.89409, -0.53193]","[-11.62743, -3.50773, 7.04364, 0.9832, 0.26952]","[0.4888, 0.7891, 0.5056, 1.7343, 3.7663]","[0.1565, -0.3306, -0.1141, -0.5873, -1.1746]","[0.0569, 0.3812, -0.1364, 0.8638, 1.6004]","[0.00174, 0.00848, 0.00267, 0.21793, 1.55256]"
0133,3,3,"[81.41, 84.52, 13.15]","[-0.9624, 2.5887, 0.0327]","[1.744854, 0.0, 1.900616]","[0.0116, 0.01171, 0.00092]","[-0.04033, 0.09802, -0.00437]","[1.0468, 0.2823, 7.1897]","[0.8426, 0.3465, 2.3891]","[0.5756, -0.0933, 1.4082]","[0.88406, 0.15736, 6.93696]"
0149,3,3,"[62.74, 20.35, 14.94]","[3.0865, -0.3509, 0.1855]","[0.0, 10.59869, 10.60163]","[0.15419, -0.01867, -0.0129]","[-0.26701, 0.03999, 0.02739]","[0.3067, 4.2999, 6.3813]","[0.2719, 2.463, 3.1166]","[0.2877, 2.77, 3.7223]","[0.12276, 3.97125, 6.02407]"
0173,3,3,"[13.3, 12.33, 19.52]","[6.0237, 5.41, -9.2009]","[0.0, 0.077529, 2.197528]","[-1.7298, -1.2655, -1.6984]","[-0.63212, 1.58363, 0.56706]","[0.3565, 0.3997, 0.4554]","[-0.4727, -0.1638, -0.5768]","[-0.1568, 0.3856, 0.2694]","[0.01904, 0.05322, 0.0523]"
2427,3,3,"[49.36, 37.43, 8.35]","[3.6205, -2.1289, 0.1467]","[0.0, 5.926469, 6.242114]","[0.01325, -0.12858, -0.01563]","[-0.62585, 0.20047, 0.03473]","[0.4307, 1.0696, 3.9532]","[0.2135, 0.1411, 0.8735]","[0.0487, 0.6743, 1.0688]","[0.11803, 0.5503, 3.08465]"
