event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
4612,0.7414849,1.401371,0.7125752,3.400146,1.24025,0,True,0.3134715,2,0.369,45756900000000.0,33.10997,17.85743,0.2093254,153.9225,4.404003,3,0.369,330613400000.0,33.10997,17.85743,0.3112714,124.3986,0.7007831,4,0.369,5.34,0.0,0.0,0.05887642,114.2204,0.0,0,0.369,1407357000000.0,0.0,0.0,0.4335954,-90.25617,14.8016,1,0.369,47156540000.0,0.0,0.0,0.446971,-122.1069,0.3895239
0013,0.6621694,1.458845,0.267083,0.7566627,-0.1076407,0,False,-1.0,0,0.516,1387458000000.0,0.0,0.0,0.267067,115.2805,6.788868,1,0.516,60298740000.0,0.0,0.0,0.3158436,125.3412,0.1767997,2,0.516,6.46,0.0,0.0,0.1113677,129.6163,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2166,0.3035216,0.9935734,1.0,1.273606,0.612869,0,True,0.3061423,2,0.179,7629674000000.0,23.89775,9.236672,0.001584298,-112.9479,6.369046,3,0.179,167385300000.0,23.89775,9.236672,0.2733515,-89.08112,1.609908,4,0.179,6.97,0.0,0.0,0.09838373,139.8746,0.0,0,0.179,748142800000.0,0.0,0.0,0.3754333,179.9978,10.81146,1,0.179,37354040000.0,0.0,0.0,0.6139109,173.6979,0.623282
0032,2.277709,4.394006,0.301719,-0.08146039,-0.8183412,0,False,-1.0,0,0.559,41032300000000.0,0.0,0.0,0.3659883,157.1448,9.559306,1,0.559,261527400000.0,0.0,0.0,0.3244032,135.9946,0.6538949,2,0.559,1.71,0.0,0.0,0.08028373,-111.6715,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0051,0.3021288,0.6859396,0.1486052,0.1551098,0.3073662,0,False,-1.0,0,1.453,1304259000000.0,0.0,0.0,0.1907411,-152.0181,4.793242,1,1.453,32397460000.0,0.0,0.0,0.1390847,-122.6379,0.08341903,2,1.453,3.84,0.0,0.0,0.02628013,-105.9657,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1944,9.503767,20.95327,1.0,1.616657,-0.947121,0,False,-1.0,0,0.377,198581200000000.0,0.0,0.0,0.3483094,-116.8063,7.269331,1,0.377,605878300000.0,0.0,0.0,0.2820135,-99.19905,1.318489,2,0.377,7.31,0.0,0.0,0.06801412,63.92814,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0133,0.06166229,0.138351,0.371774,-0.003623581,0.0294254,0,False,-1.0,0,1.032,427468800000.0,0.0,0.0,0.1908673,-139.4489,5.325529,1,1.032,5720076000.0,0.0,0.0,0.287934,-156.7144,0.0500431,2,1.032,1.55,0.0,0.0,0.05131849,-106.0976,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0149,0.1403394,0.3523281,0.1136761,0.05218413,-0.1411519,0,False,-1.0,0,1.179,564444500000.0,0.0,0.0,0.2503586,49.76084,3.796798,1,1.179,11259220000.0,0.0,0.0,0.5562401,30.45987,0.06724765,2,1.179,5.58,0.0,0.0,0.1019597,-16.86711,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0173,1.28116,2.263874,0.65469,-0.9447051,0.1894572,0,False,-1.0,0,0.534,5234662000000.0,0.0,0.0,0.3218621,64.65812,9.296178,1,0.534,152274000000.0,0.0,0.0,0.4622141,48.14205,0.4224203,2,0.534,11.03,0.0,0.0,0.2355807,-94.44127,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2427,0.4050286,0.8383979,0.5880165,-1.215751,-0.1895481,0,True,0.3108233,2,0.312,13114790000000.0,-12.16682,0.1390416,0.2445713,71.10514,5.123512,3,0.312,98273960000.0,-12.16682,0.1390416,0.4533116,101.8492,0.278622,4,0.312,1.4,0.0,0.0,0.04515976,77.8545,0.0,0,0.312,668023000000.0,0.0,0.0,0.2947197,60.30624,16.99903,1,0.312,27209470000.0,0.0,0.0,0.2939499,10.45399,0.3514172
