event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
2128,1,1,[36.76],[3.101],[0.0],[-8.22266],[-5.19133],[0.3851],[0.1581],[-0.1751],[0.00051]
2129,3,2,"[32.44, 16.58, 0.19]","[4.5185, -1.3479, 0.0002]","[0.0, 41.05602, 65.08337]","[-0.65706, 0.37893, 0.00201]","[-0.22521, 0.01907, 0.00033]","[0.3674, 0.6087, 74.1566]","[-0.3645, -0.9453, -9.9678]","[-0.2145, -0.0368, -6.1059]","[0.02698, 0.12358, 72.30049]"
2130,2,1,"[25.73, 3.06]","[3.2726, -0.055]","[0.0, 2142.104]","[-3.49096, 0.21607]","[0.18298, -0.02458]","[0.3826, 2.385]","[-0.2746, -4.4411]","[-0.0151, 0.6138]","[0.00011, 0.39888]"
2131,5,4,"[14.48, 12.52, 16.44, 21.43, 0.43]","[-2.5506, 5.0825, 4.7798, -4.7801, 0.0044]","[3.910148, 0.253502, 0.0, 1.550796, 7.328521]","[-0.0884, 0.31638, -0.25067, 0.11909, -0.00054]","[-0.2159, -0.0405, 0.20827, 0.25886, -0.00139]","[0.8073, 0.4501, 0.4496, 0.6778, 16.6897]","[0.464, -0.3199, -0.0509, 0.3605, 2.97]","[-0.4624, 0.0574, 0.3018, -0.4279, -3.3032]","[0.10479, 0.02856, 0.02506, 0.06729, 13.2038]"
2132,3,1,"[15.57, 4.71, 0.13]","[3.8206, -0.3105, 0.0003]","[0.0, 180.8881, 210.0314]","[0.53546, -0.21318, -0.00477]","[-0.93471, 0.24853, 0.00462]","[0.3429, 0.8818, 61.5178]","[0.2176, 0.5046, -9.4719]","[0.3502, 1.7262, 16.3397]","[0.01247, 0.3495, 60.32523]"
2133,3,1,"[8.14, 7.46, 0.02]","[5.3126, -1.2218, 0.0]","[0.0, 160.3122, 200.7272]","[-0.34128, 0.16998, 0.00052]","[-1.37884, 0.49066, 0.00185]","[0.4543, 1.0051, 209.768]","[0.3209, 0.7243, 59.702]","[-0.0812, -0.5421, -43.8996]","[0.00392, 0.06947, 205.5489]"
2134,3,1,"[5.82, 20.95, 0.36]","[-1.2278, 5.2885, 0.0033]","[10.3178, 0.0, 13.22078]","[0.09922, -0.17809, 0.00281]","[-0.10678, 0.2248, -0.00274]","[0.8096, 0.4108, 20.0059]","[0.1917, 0.156, -1.9814]","[0.9022, 0.3657, 7.2553]","[0.34873, 0.06759, 18.88758]"
0004,2,2,"[19.48, 8.92]","[3.6559, -0.5902]","[0.0, 155.0587]","[-0.12684, 0.07611]","[-0.80781, 0.28829]","[0.3816, 0.6402]","[0.3126, 1.1682]","[-0.1055, -0.6775]","[0.002, 0.03666]"
1937,5,4,"[12.83, 8.06, 18.17, 11.3, 0.01]","[-3.3266, 3.2791, 9.7527, -6.5715, 0.0]","[8.869601, 0.0, 6.922726, 7.227066, 40.24344]","[0.03085, 0.52867, -0.53236, -0.44048, -0.00013]","[-0.46798, 0.36373, -0.13909, 0.21945, -0.0001]","[0.3592, 0.3312, 0.3627, 0.3189, 367.1389]","[0.7968, -0.1185, -0.5289, -0.3089, -63.1118]","[0.2764, -0.3583, -0.1546, 0.7216, -116.9228]","[0.031, 0.05749, 0.07988, 0.03435, 365.2913]"
2135,1,1,[29.83],[3.3464],[0.0],[-3.21927],[0.49573],[0.3999],[0.0377],[0.2447],[6e-05]
