event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
2128,2.743068,0.0,0.0,-10.11895,-2.263036,0,True,0.2894745,2,0.307,123193300000000.0,-24.39355,12.02079,0.4319435,-153.7887,5.164724,3,0.307,680442900000.0,-24.39355,12.02079,0.09224635,-191.0381,1.823203,4,0.307,3.98,0.0,0.0,0.2751647,158.6242,0.0,0,0.307,16912760000000.0,0.0,0.0,0.359403,88.96799,11.55043,1,0.307,199412200000.0,0.0,0.0,0.3507987,13.64768,0.571099
2129,0.5346528,1.064403,0.2983106,0.2082112,1.850967,0,True,0.2863386,2,1.074,18633070000000.0,3.755834,14.93077,0.3817469,-94.45534,5.20807,3,1.074,140072400000.0,3.755834,14.93077,0.3001036,-93.0952,0.05763861,4,1.074,3.16,0.0,0.0,0.09432333,-107.5666,0.0,0,1.074,1430195000000.0,0.0,0.0,0.1008111,-97.69707,9.402881,1,1.074,56266280000.0,0.0,0.0,0.1013153,-26.48141,0.08563926
2130,1.895962,3.712833,0.01680596,-1.264357,0.04525135,0,False,-1.0,0,2.443,19736760000000.0,0.0,0.0,0.1641477,-146.3905,5.823487,1,2.443,97943010000.0,0.0,0.0,0.4881964,-127.0537,0.02299502,2,2.443,8.31,0.0,0.0,0.05374474,119.4647,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2131,0.2584256,0.619223,1.0,0.2285373,0.8324955,0,True,0.2913939,2,1.124,5658677000000.0,4.806538,17.32184,0.2022929,-103.79,1.902202,3,1.124,90674610000.0,4.806538,17.32184,0.09434694,-31.37713,0.1034893,4,1.124,4.26,0.0,0.0,0.02453966,-66.14575,0.0,0,1.124,396105100000.0,0.0,0.0,0.3095801,162.2545,18.78108,1,1.124,9070113000.0,0.0,0.0,0.2481335,149.0993,0.09121475
2132,0.8799395,1.400183,0.0812753,0.2719395,-0.4091306,0,False,-1.0,0,1.248,8777660000000.0,0.0,0.0,0.2204963,54.19871,4.146347,1,1.248,123706700000.0,0.0,0.0,0.3821701,84.93509,0.1057411,2,1.248,3.16,0.0,0.0,0.08317298,-155.05,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2133,0.9481902,1.938141,0.2299838,-0.9125314,1.687615,0,True,0.2749563,2,1.391,18083270000000.0,-6.001565,19.83659,0.2321282,157.7521,3.876073,3,1.391,106041900000.0,-6.001565,19.83659,0.6640032,154.0862,0.04270425,4,1.391,9.37,0.0,0.0,0.05176233,47.26001,0.0,0,1.391,3422957000000.0,0.0,0.0,0.3181213,-49.67668,9.731047,1,1.391,50023750000.0,0.0,0.0,0.3257888,-21.46507,0.04875045
2134,0.236045,0.4322535,0.2321744,-0.04385864,0.05951419,0,False,-1.0,0,1.396,813255200000.0,0.0,0.0,0.2842084,36.00348,7.844831,1,1.396,16035910000.0,0.0,0.0,0.3904614,65.0617,0.06861935,2,1.396,3.28,0.0,0.0,0.05484123,-34.2019,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,0.6755699,1.114731,0.161447,-0.06517936,-0.2891052,0,False,-1.0,0,2.182,4883355000000.0,0.0,0.0,0.2286018,-34.92145,4.422447,1,2.182,65817190000.0,0.0,0.0,0.5101039,-104.0116,0.02968069,2,2.182,5.43,0.0,0.0,0.02083897,23.48401,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1937,0.5709636,1.174137,1.0,0.03232975,0.0351364,0,False,-1.0,0,0.846,1002631000000.0,0.0,0.0,0.2522316,154.5197,7.692458,1,0.846,41195010000.0,0.0,0.0,0.4594672,117.0808,0.05352157,2,0.846,6.48,0.0,0.0,0.1620343,37.03546,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2135,0.7349413,0.0,0.0,-3.512262,2.544302,0,True,0.2826801,2,1.438,28693550000000.0,-4.827823,4.592858,0.3059078,36.751,4.680276,3,1.438,186939500000.0,-4.827823,4.592858,0.1620697,66.76558,0.2362722,4,1.438,4.65,0.0,0.0,0.07384946,60.26971,0.0,0,1.438,969153700000.0,0.0,0.0,0.1487798,-172.3762,15.72263,1,1.438,36429680000.0,0.0,0.0,0.03890047,-201.0242,0.02513559
2136,1.212516,1.89031,0.1006905,0.5655211,-0.2140881,0,False,-1.0,0,0.465,3887592000000.0,0.0,0.0,0.4435411,-122.6353,13.90078,1,0.465,80289410000.0,0.0,0.0,0.4618807,-124.3926,0.2739556,2,0.465,4.97,0.0,0.0,0.1034278,70.13547,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2137,0.190842,0.0,0.0,-0.01494344,0.08548557,0,False,-1.0,0,0.694,411840900000.0,0.0,0.0,0.07478019,-2.719409,12.70279,1,0.694,9444431000.0,0.0,0.0,0.2670855,42.77786,0.1519071,2,0.694,3.18,0.0,0.0,0.2184346,-155.1707,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2138,1.77608,3.113305,0.3999441,5.104061,-1.679407,0,True,0.2796781,2,0.918,61741710000000.0,47.59509,-17.04339,0.3138233,-115.9714,6.411689,3,0.918,314464200000.0,47.59509,-17.04339,0.3669204,-114.9513,0.3603714,4,0.918,10.08,0.0,0.0,0.05284647,24.46425,0.0,0,0.918,7490350000000.0,0.0,0.0,0.2795703,-158.7223,10.98147,1,0.918,75248460000.0,0.0,0.0,0.3313507,-106.3972,0.07208682
2139,1.006581,2.914095,0.009810789,-0.5394368,1.353408,0,False,-1.0,0,1.138,31773830000000.0,0.0,0.0,0.4982905,15.89026,2.976922,1,1.138,183788600000.0,0.0,0.0,0.3151152,20.19896,0.09455465,2,1.138,4.4,0.0,0.0,0.03429611,154.6804,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
